tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,0,64,0,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,0,64,0,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,3,,,,,,,,,0,,,62,91
0,control_change,0,0,3,,,,,,,,,0,7,127,,
0,program_change,0,0,3,,,,,,,,71,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,11,,,,,,,,,0,64,0,,
0,note_on,0,0,2,,,,,,,,,15,,,43,91
0,control_change,0,0,2,,,,,,,,,15,7,99,,
0,program_change,0,0,2,,,,,,,,0,15,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,0,64,0,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,0,64,0,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,0,64,0,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,0,64,0,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,0,64,0,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,428571,,,,,,,
0,control_change,0,0,1,,,,,,,,,15,7,99,,
0,program_change,0,0,1,,,,,,,,0,15,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,,
59,note_on,59,0,2,,,,,,,,,15,,,43,0
60,note_on,1,0,2,,,,,,,,,15,,,46,86
