tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,,,
0,program_change,,,,,0,0,2,,,,0,1,,,,
0,control_change,,,,,0,0,2,,,,,1,7,120,,
0,control_change,,,,,0,0,2,,,,,1,10,52,,
0,note_on,,,,,0,0,2,,,,,1,,,38,65
0,track_name,,,,,0,1,2,,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,,64,71
0,note_on,,,,,0,0,1,,,,,0,,,60,71
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,control_change,,,,,0,0,1,,,,,0,7,127,,
0,set_tempo,,,,,0,1,0,,348837,,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,control_change,,,,,0,0,1,,,,,0,10,72,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
24,control_change,,,,,24,0,2,,,,,1,64,127,,
120,note_on,,,,,0,0,1,,,,,0,,,60,0
120,note_on,,,,,0,0,1,,,,,0,,,66,71
120,note_on,,,,,0,0,1,,,,,0,,,62,71
120,note_on,,,,,120,0,1,,,,,0,,,64,0
192,note_on,,,,,168,0,2,,,,,1,,,38,0
224,control_change,,,,,32,0,2,,,,,1,64,0,,
240,note_on,,,,,120,0,1,,,,,0,,,66,0
240,note_on,,,,,16,0,2,,,,,1,,,57,65
240,note_on,,,,,0,0,2,,,,,1,,,50,65
240,note_on,,,,,0,0,1,,,,,0,,,62,0
240,note_on,,,,,0,0,1,,,,,0,,,60,71
240,note_on,,,,,0,0,1,,,,,0,,,64,71
360,note_on,,,,,120,0,1,,,,,0,,,64,0
360,note_on,,,,,0,0,1,,,,,0,,,60,0
360,note_on,,,,,0,0,1,,,,,0,,,62,71
360,note_on,,,,,0,0,1,,,,,0,,,66,71
432,note_on,,,,,192,0,2,,,,,1,,,50,0
432,note_on,,,,,0,0,2,,,,,1,,,57,0
480,note_on,,,,,48,0,2,,,,,1,,,50,65
480,note_on,,,,,0,0,1,,,,,0,,,67,71
480,note_on,,,,,120,0,1,,,,,0,,,66,0
480,note_on,,,,,0,0,1,,,,,0,,,62,0
480,note_on,,,,,0,0,1,,,,,0,,,64,71
480,note_on,,,,,0,0,2,,,,,1,,,59,65
600,note_on,,,,,0,0,1,,,,,0,,,64,0
600,note_on,,,,,0,0,1,,,,,0,,,69,71
600,note_on,,,,,0,0,1,,,,,0,,,66,71
600,note_on,,,,,120,0,1,,,,,0,,,67,0
672,note_on,,,,,192,0,2,,,,,1,,,59,0
672,note_on,,,,,0,0,2,,,,,1,,,50,0
720,note_on,,,,,48,0,2,,,,,1,,,38,65
720,note_on,,,,,0,0,1,,,,,0,,,67,71
720,note_on,,,,,0,0,1,,,,,0,,,66,0
720,note_on,,,,,120,0,1,,,,,0,,,69,0
720,note_on,,,,,0,0,1,,,,,0,,,71,71
790,control_change,,,,,70,0,2,,,,,1,64,127,,
912,note_on,,,,,122,0,2,,,,,1,,,38,0
960,note_on,,,,,0,0,1,,,,,0,,,66,71
960,note_on,,,,,0,0,1,,,,,0,,,69,71
960,note_on,,,,,0,0,1,,,,,0,,,67,0
960,note_on,,,,,48,0,2,,,,,1,,,60,65
960,note_on,,,,,240,0,1,,,,,0,,,71,0
960,note_on,,,,,0,0,2,,,,,1,,,50,65
960,control_change,,,,,0,0,2,,,,,1,64,0,,
1152,note_on,,,,,0,0,2,,,,,1,,,60,0
1152,note_on,,,,,192,0,2,,,,,1,,,50,0
1200,note_on,,,,,48,0,2,,,,,1,,,50,65
1200,note_on,,,,,0,0,1,,,,,0,,,64,71
1200,note_on,,,,,0,0,1,,,,,0,,,67,71
1200,note_on,,,,,0,0,1,,,,,0,,,66,0
1200,note_on,,,,,240,0,1,,,,,0,,,69,0
1200,note_on,,,,,0,0,2,,,,,1,,,59,65
1392,note_on,,,,,0,0,2,,,,,1,,,50,0
1392,note_on,,,,,192,0,2,,,,,1,,,59,0
1440,note_on,,,,,48,0,2,,,,,1,,,38,65
1440,note_on,,,,,0,0,1,,,,,0,,,66,71
1440,note_on,,,,,0,0,1,,,,,0,,,62,71
1440,note_on,,,,,0,0,1,,,,,0,,,64,0
1440,note_on,,,,,240,0,1,,,,,0,,,67,0
1455,control_change,,,,,15,0,2,,,,,1,64,0,,
1464,control_change,,,,,9,0,2,,,,,1,64,127,,
1560,note_on,,,,,120,0,1,,,,,0,,,66,0
1560,note_on,,,,,0,0,1,,,,,0,,,67,71
1560,note_on,,,,,0,0,1,,,,,0,,,64,71
1560,note_on,,,,,0,0,1,,,,,0,,,62,0
1632,note_on,,,,,168,0,2,,,,,1,,,38,0
1680,note_on,,,,,0,0,2,,,,,1,,,50,65
1680,note_on,,,,,0,0,1,,,,,0,,,69,71
1680,note_on,,,,,120,0,1,,,,,0,,,67,0
1680,note_on,,,,,0,0,1,,,,,0,,,64,0
1680,note_on,,,,,0,0,1,,,,,0,,,66,71
1680,note_on,,,,,0,0,2,,,,,1,,,57,65
1680,note_on,,,,,48,0,2,,,,,1,,,60,65
1688,control_change,,,,,8,0,2,,,,,1,64,0,,
1697,control_change,,,,,9,0,2,,,,,1,64,0,,
1800,note_on,,,,,120,0,1,,,,,0,,,69,0
1800,note_on,,,,,0,0,1,,,,,0,,,67,71
1800,note_on,,,,,0,0,1,,,,,0,,,71,71
1800,note_on,,,,,0,0,1,,,,,0,,,66,0
