tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,2,8,12,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,2,,,,0,64,0,,
0,control_change,,,,,0,0,2,,,,0,64,0,,
0,program_change,,,,,0,0,2,,,1,0,,,,
0,control_change,,,,,0,0,1,,,,0,64,0,,
0,control_change,,,,,0,0,1,,,,0,64,0,,
0,program_change,,,,,0,0,1,,,1,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,set_tempo,,,,,0,1,0,,600000,,,,,,
0,key_signature,,,,,0,1,0,Fm,,,,,,,
1024,set_tempo,,,,,0,1,0,,461538,,,,,,
1024,control_change,,,,,0,0,2,,,,0,64,0,,
1024,control_change,,,,,1024,0,2,,,,0,64,0,,
1024,control_change,,,,,1024,0,1,,,,0,64,0,,
1024,control_change,,,,,0,0,1,,,,0,64,0,,
1024,note_on,,,,,0,0,2,,,,0,,,41,23
1024,time_signature,2,2,48,8,1024,1,0,,,,,,,,
1561,control_change,,,,,537,0,1,,,,0,64,127,,
3072,note_on,,,,,2048,0,2,,,,0,,,53,29
3102,note_off,,,,,30,0,2,,,,0,,,41,0
3106,control_change,,,,,1545,0,1,,,,0,64,0,,
3710,control_change,,,,,604,0,1,,,,0,64,127,,
4784,control_change,,,,,1074,0,1,,,,0,64,0,,
5120,control_change,,,,,336,0,1,,,,0,64,0,,
5120,control_change,,,,,0,0,1,,,,0,64,127,,
5120,note_on,,,,,0,0,1,,,,0,,,58,38
5120,note_on,,,,,0,0,2,,,,0,,,54,29
5120,control_change,,,,,0,0,2,,,,0,64,0,,
5120,control_change,,,,,2018,0,2,,,,0,64,0,,
5150,note_off,,,,,30,0,2,,,,0,,,53,0
5343,control_change,,,,,223,0,1,,,,0,64,0,,
5679,control_change,,,,,336,0,1,,,,0,64,127,,
7168,note_on,,,,,1489,0,1,,,,0,,,70,45
7198,note_off,,,,,30,0,1,,,,0,,,58,0
7202,control_change,,,,,4,0,1,,,,0,64,0,,
7604,control_change,,,,,402,0,1,,,,0,64,127,,
9216,control_change,,,,,0,0,2,,,,0,64,0,,
9216,note_on,,,,,0,0,1,,,,0,,,71,45
9216,control_change,,,,,4066,0,2,,,,0,64,0,,
9216,control_change,,,,,0,0,1,,,,0,64,127,,
9216,control_change,,,,,1612,0,1,,,,0,64,0,,
9216,control_change,,,,,0,0,1,,,,0,64,0,,
9216,note_on,,,,,0,0,2,,,,0,,,39,27
9246,note_off,,,,,30,0,1,,,,0,,,70,0
9439,control_change,,,,,193,0,1,,,,0,64,0,,
9775,control_change,,,,,336,0,1,,,,0,64,127,,
11264,note_on,,,,,2048,0,2,,,,0,,,51,31
11294,note_off,,,,,30,0,2,,,,0,,,39,0
11298,control_change,,,,,1523,0,1,,,,0,64,0,,
