tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,pitch,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,91,100,2,,,,
0,control_change,0,0,2,,,,,,,93,30,2,,,,
0,control_change,0,0,2,,,,,,,1,0,2,,,,
0,pitchwheel,0,0,2,,,,,,,,,2,0,,,
0,control_change,0,0,2,,,,,,,7,122,2,,,,
0,program_change,0,0,2,,,,,,,,,2,,0,,
0,control_change,0,0,2,,,,,,,32,0,2,,,,
0,control_change,0,0,2,,,,,,,0,0,2,,,,
0,control_change,0,0,2,,,,,,,10,73,2,,,,
0,control_change,0,0,2,,,,,,,10,73,2,,,,
0,control_change,0,0,2,,,,,,,7,127,2,,,,
0,program_change,0,0,4,,,,,,,,,4,,0,,
0,control_change,0,0,2,,,,,,,64,0,2,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,7,127,5,,,,
0,control_change,0,0,5,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,10,73,5,,,,
0,control_change,0,0,5,,,,,,,0,0,5,,,,
0,control_change,0,0,5,,,,,,,32,0,5,,,,
0,control_change,0,0,5,,,,,,,7,125,5,,,,
0,pitchwheel,0,0,5,,,,,,,,,5,0,,,
0,control_change,0,0,5,,,,,,,1,0,5,,,,
0,control_change,0,0,5,,,,,,,93,30,5,,,,
0,control_change,0,0,2,,,,,,,64,0,2,,,,
0,control_change,0,0,5,,,,,,,91,100,5,,,,
0,control_change,0,0,4,,,,,,,32,0,4,,,,
0,control_change,0,0,4,,,,,,,7,120,4,,,,
0,control_change,0,0,3,,,,,,,91,100,3,,,,
0,control_change,0,0,3,,,,,,,93,30,3,,,,
0,control_change,0,0,3,,,,,,,1,0,3,,,,
0,pitchwheel,0,0,3,,,,,,,,,3,0,,,
0,control_change,0,0,3,,,,,,,7,112,3,,,,
0,program_change,0,0,3,,,,,,,,,3,,0,,
0,control_change,0,0,3,,,,,,,32,0,3,,,,
0,control_change,0,0,3,,,,,,,0,0,3,,,,
0,control_change,0,0,3,,,,,,,10,64,3,,,,
0,control_change,0,0,3,,,,,,,7,127,3,,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,control_change,0,0,4,,,,,,,0,0,4,,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,control_change,0,0,3,,,,,,,10,73,3,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,7,127,4,,,,
0,control_change,0,0,4,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,10,55,4,,,,
0,control_change,0,0,4,,,,,,,10,55,4,,,,
0,control_change,0,0,4,,,,,,,91,100,4,,,,
0,control_change,0,0,4,,,,,,,93,30,4,,,,
0,control_change,0,0,4,,,,,,,1,0,4,,,,
0,pitchwheel,0,0,4,,,,,,,,,4,0,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,control_change,0,0,5,,,,,,,10,55,5,,,,
0,program_change,0,0,5,,,,,,,,,5,,0,,
0,control_change,0,0,1,,,,,,,10,73,1,,,,
0,set_tempo,0,1,0,,,,,,350877,,,,,,,
0,set_tempo,0,1,0,,,,,,350877,,,,,,,
0,control_change,0,0,1,,,,,,,64,0,1,,,,
0,control_change,0,0,1,,,,,,,91,100,1,,,,
0,control_change,0,0,1,,,,,,,93,30,1,,,,
0,control_change,0,0,1,,,,,,,1,0,1,,,,
0,control_change,0,0,1,,,,,,,7,122,1,,,,
0,control_change,0,0,1,,,,,,,0,0,1,,,,
0,control_change,0,0,1,,,,,,,32,0,1,,,,
0,control_change,0,0,1,,,,,,,10,73,1,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,1,0,,,
0,program_change,0,0,1,,,,,,,,,1,,0,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,time_signature,0,1,0,3,2,24,8,,,,,,,,,
0,control_change,0,0,1,,,,,,,7,127,1,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
480,control_change,480,0,1,,,,,,,64,0,1,,,,
480,control_change,480,0,4,,,,,,,64,0,4,,,,
480,control_change,480,0,3,,,,,,,64,0,3,,,,
480,control_change,480,0,5,,,,,,,64,0,5,,,,
480,control_change,480,0,2,,,,,,,64,0,2,,,,
960,control_change,480,0,2,,,,,,,64,0,2,,,,
960,control_change,480,0,1,,,,,,,64,0,1,,,,
960,control_change,480,0,5,,,,,,,64,0,5,,,,
960,control_change,480,0,4,,,,,,,64,0,4,,,,
960,control_change,480,0,3,,,,,,,64,0,3,,,,
1440,control_change,480,0,2,,,,,,,64,127,2,,,,
1440,control_change,480,0,3,,,,,,,64,127,3,,,,
1440,control_change,480,0,5,,,,,,,64,127,5,,,,
1440,note_on,0,0,5,,,,,,,,,5,,,29,80
1440,note_on,0,0,5,,,,,,,,,5,,,41,80
