tick,type,frame_rate,hours,minutes,seconds,frames,sub_frames,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,smpte_offset,24,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
0,control_change,,,,,,,0,0,1,,,,,,,,0,7,89,,,
0,control_change,,,,,,,0,0,1,,,,,,,,0,10,114,,,
0,control_change,,,,,,,0,0,1,,,,,,,,0,91,99,,,
0,program_change,,,,,,,0,0,1,,,,,,,,0,,,73,,
0,midi_port,,,,,,,0,1,2,,,,,,,0,,,,,,
0,channel_prefix,,,,,,,0,1,2,,,,,,,,1,,,,,
0,control_change,,,,,,,0,0,2,,,,,,,,1,7,89,,,
0,channel_prefix,,,,,,,0,1,1,,,,,,,,0,,,,,
0,control_change,,,,,,,0,0,2,,,,,,,,1,10,14,,,
0,program_change,,,,,,,0,0,2,,,,,,,,1,,,0,,
0,channel_prefix,,,,,,,0,1,3,,,,,,,,2,,,,,
0,note_on,,,,,,,0,0,3,,,,,,,,2,,,,35,100
0,program_change,,,,,,,0,0,3,,,,,,,,2,,,0,,
0,control_change,,,,,,,0,0,3,,,,,,,,2,91,99,,,
0,control_change,,,,,,,0,0,3,,,,,,,,2,10,9,,,
0,control_change,,,,,,,0,0,3,,,,,,,,2,7,79,,,
0,control_change,,,,,,,0,0,2,,,,,,,,1,91,99,,,
0,midi_port,,,,,,,0,1,1,,,,,,,0,,,,,,
0,midi_port,,,,,,,0,1,3,,,,,,,0,,,,,,
0,set_tempo,,,,,,,0,1,0,500000,,,,,,,,,,,,
0,time_signature,,,,,,,0,1,0,,3,4,24,8,,,,,,,,
0,key_signature,,,,,,,0,1,0,,,,,,E,,,,,,,
240,note_on,,,,,,,240,0,3,,,,,,,,2,,,,47,100
241,note_on,,,,,,,1,0,3,,,,,,,,2,,,,50,100
474,note_off,,,,,,,233,0,3,,,,,,,,2,,,,50,100
474,note_off,,,,,,,0,0,3,,,,,,,,2,,,,47,100
480,note_on,,,,,,,6,0,3,,,,,,,,2,,,,54,100
714,note_off,,,,,,,234,0,3,,,,,,,,2,,,,54,100
720,note_on,,,,,,,6,0,3,,,,,,,,2,,,,59,100
940,note_off,,,,,,,220,0,3,,,,,,,,2,,,,35,100
954,note_off,,,,,,,14,0,3,,,,,,,,2,,,,59,100
960,note_on,,,,,,,6,0,3,,,,,,,,2,,,,38,100
1200,note_on,,,,,,,240,0,3,,,,,,,,2,,,,54,100
1200,note_on,,,,,,,0,0,3,,,,,,,,2,,,,59,100
1430,note_off,,,,,,,230,0,3,,,,,,,,2,,,,38,100
1434,note_off,,,,,,,4,0,3,,,,,,,,2,,,,59,100
1435,note_off,,,,,,,1,0,3,,,,,,,,2,,,,54,100
1440,note_on,,,,,,,5,0,3,,,,,,,,2,,,,42,100
1680,note_on,,,,,,,240,0,3,,,,,,,,2,,,,50,100
1680,note_on,,,,,,,0,0,3,,,,,,,,2,,,,54,100
1914,note_off,,,,,,,234,0,3,,,,,,,,2,,,,54,100
1914,note_off,,,,,,,0,0,3,,,,,,,,2,,,,50,100
1920,note_on,,,,,,,6,0,3,,,,,,,,2,,,,57,100
2153,note_off,,,,,,,233,0,3,,,,,,,,2,,,,57,100
2161,note_on,,,,,,,8,0,3,,,,,,,,2,,,,62,100
2381,note_off,,,,,,,220,0,3,,,,,,,,2,,,,42,100
2395,note_off,,,,,,,14,0,3,,,,,,,,2,,,,62,100
2400,note_on,,,,,,,5,0,3,,,,,,,,2,,,,50,100
2640,note_on,,,,,,,240,0,3,,,,,,,,2,,,,54,100
2640,note_on,,,,,,,0,0,3,,,,,,,,2,,,,57,100
2871,note_off,,,,,,,231,0,3,,,,,,,,2,,,,50,100
2874,note_off,,,,,,,3,0,3,,,,,,,,2,,,,54,100
2875,note_off,,,,,,,1,0,3,,,,,,,,2,,,,57,100
2880,note_on,,,,,,,5,0,3,,,,,,,,2,,,,49,100
3120,note_on,,,,,,,0,0,3,,,,,,,,2,,,,57,100
3120,note_on,,,,,,,240,0,3,,,,,,,,2,,,,52,100
3350,note_off,,,,,,,230,0,3,,,,,,,,2,,,,49,100
3354,note_off,,,,,,,4,0,3,,,,,,,,2,,,,52,100
3354,note_off,,,,,,,0,0,3,,,,,,,,2,,,,57,100
3360,note_on,,,,,,,6,0,3,,,,,,,,2,,,,61,100
3360,note_on,,,,,,,0,0,3,,,,,,,,2,,,,45,100
3593,note_off,,,,,,,233,0,3,,,,,,,,2,,,,61,100
