tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,2,,
0,track_name,0,1,3,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,58,95
0,note_on,0,0,2,,,,,,,,,1,63,77
0,note_on,0,0,2,,,,,,,,,1,66,80
0,program_change,0,0,2,,,,,,,,0,1,,
0,track_name,0,1,2,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,
0,program_change,0,0,1,,,,,,,,54,0,,
0,track_name,0,1,1,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,
0,midi_port,0,1,3,,,,,,,0,,,,
0,text,0,1,0,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,750000,,,,,
0,key_signature,0,1,0,,,,,Eb,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,
0,text,0,1,0,,,,,,,,,,,
39,note_on,39,0,2,,,,,,,,,1,58,0
39,note_on,0,0,2,,,,,,,,,1,63,0
39,note_on,0,0,2,,,,,,,,,1,66,0
40,note_on,0,0,2,,,,,,,,,1,63,73
40,note_on,0,0,2,,,,,,,,,1,66,75
40,note_on,1,0,2,,,,,,,,,1,58,82
79,note_on,0,0,2,,,,,,,,,1,58,0
79,note_on,0,0,2,,,,,,,,,1,63,0
79,note_on,39,0,2,,,,,,,,,1,66,0
80,note_on,1,0,2,,,,,,,,,1,66,71
80,note_on,0,0,2,,,,,,,,,1,63,70
80,note_on,0,0,2,,,,,,,,,1,58,82
119,note_on,0,0,2,,,,,,,,,1,63,0
119,note_on,39,0,2,,,,,,,,,1,58,0
119,note_on,0,0,2,,,,,,,,,1,66,0
120,note_on,0,0,2,,,,,,,,,1,63,72
120,note_on,0,0,2,,,,,,,,,1,58,80
120,note_on,1,0,2,,,,,,,,,1,66,77
159,note_on,0,0,2,,,,,,,,,1,58,0
159,note_on,39,0,2,,,,,,,,,1,63,0
159,note_on,0,0,2,,,,,,,,,1,66,0
160,note_on,0,0,2,,,,,,,,,1,63,71
160,note_on,0,0,2,,,,,,,,,1,66,71
160,note_on,1,0,2,,,,,,,,,1,58,80
199,note_on,0,0,2,,,,,,,,,1,58,0
199,note_on,39,0,2,,,,,,,,,1,63,0
199,note_on,0,0,2,,,,,,,,,1,66,0
200,note_on,1,0,2,,,,,,,,,1,66,71
200,note_on,0,0,2,,,,,,,,,1,63,66
200,note_on,0,0,2,,,,,,,,,1,58,75
239,note_on,39,0,2,,,,,,,,,1,58,0
239,note_on,0,0,2,,,,,,,,,1,63,0
239,note_on,0,0,2,,,,,,,,,1,66,0
240,note_on,1,0,2,,,,,,,,,1,58,85
240,note_on,0,0,2,,,,,,,,,1,66,75
240,note_on,240,0,3,,,,,,,,,2,38,87
240,note_on,0,0,2,,,,,,,,,1,63,71
279,note_on,0,0,2,,,,,,,,,1,58,0
279,note_on,39,0,2,,,,,,,,,1,66,0
279,note_on,0,0,2,,,,,,,,,1,63,0
280,note_on,1,0,2,,,,,,,,,1,58,78
280,note_on,0,0,2,,,,,,,,,1,66,65
280,note_on,0,0,2,,,,,,,,,1,63,66
