tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,data,control,value,channel,program,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,,
0,key_signature,,0,1,0,,,,,Fm,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,
4,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
6,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,
10,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 4, 11)",,,,,,
12,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 49, 3, 11)",,,,,,
14,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 110, 30)",,,,,,
16,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 60, 79)",,,,,,
18,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 2, 5)",,,,,,
20,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 100, 33)",,,,,,
22,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 61, 7, 123)",,,,,,
24,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 8, 121)",,,,,,
26,control_change,,2,0,1,,,,,,,,0,0,0,,,
28,control_change,,2,0,1,,,,,,,,32,1,0,,,
30,program_change,,2,0,1,,,,,,,,,,0,0,,
32,control_change,,2,0,1,,,,,,,,7,120,0,,,
34,control_change,,2,0,1,,,,,,,,11,120,0,,,
36,control_change,,2,0,1,,,,,,,,91,40,0,,,
38,control_change,,2,0,1,,,,,,,,93,0,0,,,
40,control_change,,2,0,1,,,,,,,,10,64,0,,,
42,control_change,,2,0,1,,,,,,,,99,1,0,,,
44,control_change,,2,0,1,,,,,,,,98,8,0,,,
46,control_change,,2,0,1,,,,,,,,6,64,0,,,
48,control_change,,2,0,1,,,,,,,,98,9,0,,,
50,control_change,,2,0,1,,,,,,,,6,64,0,,,
52,control_change,,2,0,1,,,,,,,,98,10,0,,,
54,control_change,,2,0,1,,,,,,,,6,64,0,,,
56,control_change,,2,0,1,,,,,,,,98,32,0,,,
58,control_change,,2,0,1,,,,,,,,6,64,0,,,
60,control_change,,2,0,1,,,,,,,,98,33,0,,,
62,control_change,,2,0,1,,,,,,,,6,64,0,,,
64,control_change,,2,0,1,,,,,,,,98,99,0,,,
66,control_change,,2,0,1,,,,,,,,6,64,0,,,
68,control_change,,2,0,1,,,,,,,,98,100,0,,,
70,control_change,,2,0,1,,,,,,,,6,80,0,,,
72,control_change,,2,0,1,,,,,,,,98,102,0,,,
74,control_change,,2,0,1,,,,,,,,6,64,0,,,
144,note_on,,70,0,1,,,,,,,,,,0,,72,40
144,set_tempo,1333333,144,1,0,,,,,,,,,,,,,
192,control_change,,192,0,3,,,,,,,,64,127,0,,,
192,set_tempo,1111111,48,1,0,,,,,,,,,,,,,
192,note_on,,192,0,2,,,,,,,,,,0,,41,24
216,note_on,,24,0,2,,,,,,,,,,0,,41,0
240,note_on,,0,0,2,,,,,,,,,,0,,65,24
240,note_on,,0,0,2,,,,,,,,,,0,,60,21
240,set_tempo,869565,48,1,0,,,,,,,,,,,,,
240,note_on,,24,0,2,,,,,,,,,,0,,56,18
240,note_on,,96,0,1,,,,,,,,,,0,,72,0
240,note_on,,0,0,1,,,,,,,,,,0,,77,36
264,note_on,,24,0,2,,,,,,,,,,0,,65,0
264,note_on,,0,0,2,,,,,,,,,,0,,56,0
264,note_on,,0,0,2,,,,,,,,,,0,,60,0
288,note_on,,48,0,1,,,,,,,,,,0,,77,0
288,note_on,,24,0,2,,,,,,,,,,0,,43,28
288,set_tempo,821917,48,1,0,,,,,,,,,,,,,
288,note_on,,0,0,1,,,,,,,,,,0,,75,40
290,control_change,,98,0,3,,,,,,,,64,0,0,,,
296,control_change,,6,0,3,,,,,,,,64,127,0,,,
312,note_on,,24,0,2,,,,,,,,,,0,,43,0
336,note_on,,48,0,1,,,,,,,,,,0,,75,0
336,note_on,,0,0,1,,,,,,,,,,0,,73,46
336,note_on,,0,0,2,,,,,,,,,,0,,58,22
336,note_on,,24,0,2,,,,,,,,,,0,,51,18
336,note_on,,0,0,2,,,,,,,,,,0,,63,26
336,set_tempo,800000,48,1,0,,,,,,,,,,,,,
360,note_on,,0,0,2,,,,,,,,,,0,,51,0
360,note_on,,0,0,2,,,,,,,,,,0,,58,0
360,note_on,,24,0,2,,,,,,,,,,0,,63,0
384,note_on,,48,0,1,,,,,,,,,,0,,73,0
384,note_on,,24,0,2,,,,,,,,,,0,,44,26
384,set_tempo,1000000,48,1,0,,,,,,,,,,,,,
384,control_change,,88,0,3,,,,,,,,64,127,0,,,
384,note_on,,0,0,1,,,,,,,,,,0,,72,40
386,control_change,,2,0,3,,,,,,,,64,0,0,,,
392,control_change,,6,0,3,,,,,,,,64,127,0,,,
408,note_on,,24,0,2,,,,,,,,,,0,,44,0
420,set_tempo,800000,36,1,0,,,,,,,,,,,,,
420,note_on,,0,0,1,,,,,,,,,,0,,71,30
420,note_on,,36,0,1,,,,,,,,,,0,,72,0
432,set_tempo,983606,12,1,0,,,,,,,,,,,,,
432,note_on,,24,0,2,,,,,,,,,,0,,60,18
432,note_on,,12,0,1,,,,,,,,,,0,,71,0
432,note_on,,0,0,1,,,,,,,,,,0,,72,30
432,note_on,,0,0,2,,,,,,,,,,0,,68,22
456,note_on,,0,0,2,,,,,,,,,,0,,60,0
456,note_on,,24,0,2,,,,,,,,,,0,,68,0
468,note_on,,36,0,1,,,,,,,,,,0,,72,0
468,set_tempo,769230,36,1,0,,,,,,,,,,,,,
468,note_on,,0,0,1,,,,,,,,,,0,,73,32
480,note_on,,0,0,1,,,,,,,,,,0,,72,34
480,note_on,,24,0,2,,,,,,,,,,0,,40,22
480,set_tempo,895522,12,1,0,,,,,,,,,,,,,
480,note_on,,12,0,1,,,,,,,,,,0,,73,0
482,control_change,,90,0,3,,,,,,,,64,0,0,,,
488,control_change,,6,0,3,,,,,,,,64,127,0,,,
504,note_on,,24,0,2,,,,,,,,,,0,,40,0
528,set_tempo,923076,48,1,0,,,,,,,,,,,,,
528,note_on,,24,0,2,,,,,,,,,,0,,58,14
528,note_on,,0,0,2,,,,,,,,,,0,,60,15
528,note_on,,0,0,2,,,,,,,,,,0,,67,16
552,note_on,,0,0,2,,,,,,,,,,0,,60,0
552,note_on,,0,0,2,,,,,,,,,,0,,58,0
552,note_on,,24,0,2,,,,,,,,,,0,,67,0
576,control_change,,88,0,3,,,,,,,,64,127,0,,,
576,note_on,,24,0,2,,,,,,,,,,0,,41,28
578,control_change,,2,0,3,,,,,,,,64,0,0,,,
584,control_change,,6,0,3,,,,,,,,64,127,0,,,
600,note_on,,24,0,2,,,,,,,,,,0,,41,0
624,note_on,,0,0,2,,,,,,,,,,0,,65,28
624,note_on,,144,0,1,,,,,,,,,,0,,72,0
624,note_on,,0,0,1,,,,,,,,,,0,,77,38
624,note_on,,24,0,2,,,,,,,,,,0,,56,20
624,note_on,,0,0,2,,,,,,,,,,0,,60,24
