tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,,,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,,F,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,,,340909,,,,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,93,20,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,91,80,0,,,
120,control_change,120,0,1,,,,,,,,,,,,,,,0,0,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,0,0,0,,,
122,program_change,2,0,1,,,,,,,,,,,,,,,,,0,0,,
123,control_change,1,0,1,,,,,,,,,,,,,,,7,127,0,,,
815,note_on,692,0,1,,,,,,,,,,,,,,,,,0,,84,68
834,note_on,19,0,1,,,,,,,,,,,,,,,,,0,,84,0
837,note_on,3,0,1,,,,,,,,,,,,,,,,,0,,86,68
860,note_on,23,0,1,,,,,,,,,,,,,,,,,0,,84,66
866,note_on,6,0,1,,,,,,,,,,,,,,,,,0,,86,0
883,note_on,17,0,1,,,,,,,,,,,,,,,,,0,,86,61
889,note_on,6,0,1,,,,,,,,,,,,,,,,,0,,84,0
902,note_on,13,0,1,,,,,,,,,,,,,,,,,0,,84,72
912,note_on,10,0,1,,,,,,,,,,,,,,,,,0,,86,0
917,note_on,5,0,1,,,,,,,,,,,,,,,,,0,,83,63
926,note_on,9,0,1,,,,,,,,,,,,,,,,,0,,84,0
939,note_on,13,0,1,,,,,,,,,,,,,,,,,0,,84,80
945,control_change,6,0,1,,,,,,,,,,,,,,,64,127,0,,,
947,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,83,0
960,note_on,13,0,1,,,,,,,,,,,,,,,,,0,,93,72
963,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,41,74
963,note_on,3,0,1,,,,,,,,,,,,,,,,,0,,84,0
964,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,48,89
987,note_on,23,0,1,,,,,,,,,,,,,,,,,0,,93,0
990,note_on,3,0,1,,,,,,,,,,,,,,,,,0,,91,59
1017,note_on,27,0,1,,,,,,,,,,,,,,,,,0,,91,0
1020,note_on,3,0,1,,,,,,,,,,,,,,,,,0,,89,60
1047,note_on,27,0,1,,,,,,,,,,,,,,,,,0,,89,0
