tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,data,program,note,velocity,pitch
0,set_tempo,500000,0,1,0,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,,,
0,control_change,,0,0,11,,,,,,,121,0,11,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,,,
0,control_change,,0,0,12,,,,,,,121,0,12,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,0,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,
0,control_change,,0,0,13,,,,,,,121,0,13,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,,,
0,control_change,,0,0,14,,,,,,,121,0,14,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,,,
0,control_change,,0,0,15,,,,,,,121,0,15,,,,,
0,track_name,,0,1,16,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,,,
0,control_change,,0,0,10,,,,,,,121,0,10,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,,121,0,1,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,,,
0,control_change,,0,0,8,,,,,,,121,0,7,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,,,
0,control_change,,0,0,9,,,,,,,121,0,8,,,,,
0,midi_port,,0,1,16,,,,,,0,,,,,,,,
0,sysex,,0,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,121,0,0,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,E,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,,,
80,control_change,,80,0,15,,,,,,,101,0,15,,,,,
80,control_change,,80,0,10,,,,,,,101,0,10,,,,,
80,control_change,,80,0,8,,,,,,,101,0,7,,,,,
80,sysex,,80,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,
80,control_change,,80,0,11,,,,,,,101,0,11,,,,,
80,control_change,,80,0,2,,,,,,,101,0,1,,,,,
80,control_change,,80,0,14,,,,,,,101,0,14,,,,,
80,control_change,,80,0,12,,,,,,,101,0,12,,,,,
80,control_change,,80,0,13,,,,,,,101,0,13,,,,,
80,control_change,,80,0,9,,,,,,,101,0,8,,,,,
100,control_change,,20,0,14,,,,,,,100,0,14,,,,,
100,control_change,,20,0,11,,,,,,,100,0,11,,,,,
100,control_change,,100,0,6,,,,,,,0,0,5,,,,,
100,control_change,,20,0,12,,,,,,,100,0,12,,,,,
100,control_change,,20,0,8,,,,,,,100,0,7,,,,,
100,control_change,,20,0,13,,,,,,,100,0,13,,,,,
100,control_change,,100,0,3,,,,,,,0,0,2,,,,,
100,control_change,,100,0,4,,,,,,,0,0,3,,,,,
100,control_change,,20,0,15,,,,,,,100,0,15,,,,,
100,control_change,,20,0,9,,,,,,,100,0,8,,,,,
100,control_change,,20,0,10,,,,,,,100,0,10,,,,,
100,control_change,,20,0,2,,,,,,,100,0,1,,,,,
100,control_change,,100,0,5,,,,,,,0,0,4,,,,,
100,control_change,,100,0,7,,,,,,,0,0,6,,,,,
120,control_change,,20,0,5,,,,,,,32,0,4,,,,,
120,control_change,,20,0,2,,,,,,,6,12,1,,,,,
120,control_change,,20,0,14,,,,,,,6,12,14,,,,,
120,control_change,,20,0,13,,,,,,,6,12,13,,,,,
120,control_change,,20,0,6,,,,,,,32,0,5,,,,,
120,control_change,,20,0,8,,,,,,,6,12,7,,,,,
120,control_change,,20,0,12,,,,,,,6,12,12,,,,,
120,control_change,,20,0,4,,,,,,,32,0,3,,,,,
120,control_change,,20,0,3,,,,,,,32,0,2,,,,,
120,control_change,,20,0,11,,,,,,,6,12,11,,,,,
120,control_change,,20,0,15,,,,,,,6,12,15,,,,,
120,control_change,,20,0,9,,,,,,,6,12,8,,,,,
120,control_change,,20,0,10,,,,,,,6,12,10,,,,,
120,control_change,,20,0,7,,,,,,,32,0,6,,,,,
140,program_change,,20,0,5,,,,,,,,,4,,49,,,
140,control_change,,20,0,13,,,,,,,10,52,13,,,,,
140,program_change,,20,0,7,,,,,,,,,6,,49,,,
140,control_change,,20,0,12,,,,,,,10,42,12,,,,,
140,control_change,,20,0,10,,,,,,,10,48,10,,,,,
140,control_change,,20,0,14,,,,,,,10,72,14,,,,,
140,program_change,,20,0,3,,,,,,,,,2,,49,,,
140,control_change,,20,0,2,,,,,,,10,64,1,,,,,
140,program_change,,20,0,6,,,,,,,,,5,,49,,,
140,control_change,,20,0,15,,,,,,,10,82,15,,,,,
140,control_change,,20,0,11,,,,,,,10,38,11,,,,,
140,control_change,,20,0,9,,,,,,,10,84,8,,,,,
140,program_change,,20,0,4,,,,,,,,,3,,49,,,
140,control_change,,20,0,8,,,,,,,10,48,7,,,,,
160,control_change,,20,0,5,,,,,,,10,79,4,,,,,
160,control_change,,20,0,11,,,,,,,7,100,11,,,,,
160,control_change,,20,0,6,,,,,,,10,109,5,,,,,
160,control_change,,20,0,13,,,,,,,7,100,13,,,,,
160,control_change,,20,0,3,,,,,,,10,19,2,,,,,
160,control_change,,20,0,7,,,,,,,10,94,6,,,,,
160,control_change,,20,0,12,,,,,,,7,100,12,,,,,
160,control_change,,20,0,15,,,,,,,7,100,15,,,,,
160,control_change,,20,0,10,,,,,,,7,100,10,,,,,
160,control_change,,20,0,4,,,,,,,10,49,3,,,,,
160,control_change,,20,0,9,,,,,,,7,100,8,,,,,
160,control_change,,20,0,8,,,,,,,7,100,7,,,,,
160,control_change,,20,0,14,,,,,,,7,100,14,,,,,
