tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,key,note,velocity
0,copyright,0,1,0,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,93,0,1,,,,
0,control_change,0,0,2,,,,,,91,0,1,,,,
0,control_change,0,0,2,,,,,,10,64,1,,,,
0,control_change,0,0,2,,,,,,1,0,1,,,,
0,control_change,0,0,2,,,,,,7,127,1,,,,
0,key_signature,0,1,2,,,,,,,,,,G,,
0,note_on,0,0,1,,,,,,,,0,,,50,100
0,note_on,0,0,1,,,,,,,,0,,,43,100
0,note_on,0,0,1,,,,,,,,0,,,59,100
0,track_name,0,1,1,,,,,,,,,,,,
0,key_signature,0,1,1,,,,,,,,,,G,,
0,key_signature,0,1,1,,,,,,,,,,G,,
0,program_change,0,0,1,,,,,,,,0,0,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,91,0,0,,,,
0,control_change,0,0,2,,,,,,0,0,1,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,
0,set_tempo,0,1,0,652033,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,1,53,,,
0,control_change,0,0,2,,,,,,32,0,1,,,,
0,control_change,0,0,1,,,,,,93,0,0,,,,
0,control_change,0,0,1,,,,,,7,80,0,,,,
0,control_change,0,0,1,,,,,,32,0,0,,,,
0,control_change,0,0,1,,,,,,1,0,0,,,,
0,control_change,0,0,1,,,,,,10,64,0,,,,
0,control_change,0,0,1,,,,,,0,0,0,,,,
36,control_change,36,0,1,,,,,,7,81,0,,,,
110,control_change,74,0,1,,,,,,7,82,0,,,,
184,control_change,74,0,1,,,,,,7,83,0,,,,
220,control_change,36,0,1,,,,,,7,84,0,,,,
240,note_on,20,0,1,,,,,,,,0,,,62,100
294,control_change,54,0,1,,,,,,7,85,0,,,,
331,control_change,37,0,1,,,,,,7,86,0,,,,
405,control_change,74,0,1,,,,,,7,87,0,,,,
468,note_on,63,0,1,,,,,,,,0,,,62,0
478,control_change,10,0,1,,,,,,7,88,0,,,,
480,note_on,2,0,1,,,,,,,,0,,,67,100
515,control_change,35,0,1,,,,,,7,89,0,,,,
588,control_change,73,0,1,,,,,,7,90,0,,,,
662,control_change,74,0,1,,,,,,7,91,0,,,,
699,control_change,37,0,1,,,,,,7,92,0,,,,
708,note_on,0,0,1,,,,,,,,0,,,59,0
708,note_on,9,0,1,,,,,,,,0,,,67,0
720,note_on,0,0,1,,,,,,,,0,,,66,100
720,note_on,12,0,1,,,,,,,,0,,,57,100
773,control_change,53,0,1,,,,,,7,93,0,,,,
846,control_change,73,0,1,,,,,,7,94,0,,,,
883,control_change,37,0,1,,,,,,7,95,0,,,,
948,note_on,65,0,1,,,,,,,,0,,,66,0
948,note_on,0,0,1,,,,,,,,0,,,57,0
957,control_change,9,0,1,,,,,,7,96,0,,,,
960,note_on,3,0,1,,,,,,,,0,,,60,100
960,note_on,0,0,1,,,,,,,,0,,,69,100
994,control_change,34,0,1,,,,,,7,97,0,,,,
1067,control_change,73,0,1,,,,,,7,98,0,,,,
1140,control_change,73,0,1,,,,,,7,99,0,,,,
1177,control_change,37,0,1,,,,,,7,100,0,,,,
1188,note_on,11,0,1,,,,,,,,0,,,69,0
1188,note_on,0,0,1,,,,,,,,0,,,60,0
1200,note_on,12,0,1,,,,,,,,0,,,67,100
1200,note_on,0,0,1,,,,,,,,0,,,59,100
1251,control_change,51,0,1,,,,,,7,101,0,,,,
1324,control_change,73,0,1,,,,,,7,102,0,,,,
1361,control_change,37,0,1,,,,,,7,103,0,,,,
1428,note_on,0,0,1,,,,,,,,0,,,67,0
1428,note_on,67,0,1,,,,,,,,0,,,59,0
1435,control_change,7,0,1,,,,,,7,104,0,,,,
1440,note_on,0,0,1,,,,,,,,0,,,72,100
1440,note_on,5,0,1,,,,,,,,0,,,64,100
1472,control_change,32,0,1,,,,,,7,105,0,,,,
1545,control_change,73,0,1,,,,,,7,106,0,,,,
1619,control_change,74,0,1,,,,,,7,107,0,,,,
1656,control_change,37,0,1,,,,,,7,108,0,,,,
