tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,5,,,,,,,,,,,,,,,4,,0,,
0,control_change,0,0,5,,,,,,,,,,,,,7,120,4,,,,
0,instrument_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,,,,,0,0,5,,,,
0,control_change,0,0,6,,,,,,,,,,,,,32,0,5,,,,
0,program_change,0,0,6,,,,,,,,,,,,,,,5,0,,,
0,control_change,0,0,6,,,,,,,,,,,,,64,0,5,,,,
0,control_change,0,0,6,,,,,,,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,1,0,4,,,,
0,control_change,0,0,6,,,,,,,,,,,,,7,125,5,,,,
0,control_change,0,0,6,,,,,,,,,,,,,1,0,5,,,,
0,control_change,0,0,6,,,,,,,,,,,,,91,80,5,,,,
0,control_change,0,0,6,,,,,,,,,,,,,10,55,5,,,,
0,control_change,0,0,2,,,,,,,,,,,,,64,0,1,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,,1,0,,,
0,control_change,0,0,2,,,,,,,,,,,,,32,0,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,0,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,6,,,,,,,,,,,,,,,5,,0,,
0,control_change,0,0,5,,,,,,,,,,,,,93,20,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,91,80,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,10,55,4,,,,
0,control_change,0,0,2,,,,,,,,,,,,,7,127,1,,,,
0,pitchwheel,0,0,2,,,,,,,,,,,,,,,1,,0,,
0,control_change,0,0,2,,,,,,,,,,,,,1,0,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,93,20,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,91,80,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,10,73,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,64,0,1,,,,
0,instrument_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,,,,,0,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,32,0,4,,,,
0,program_change,0,0,5,,,,,,,,,,,,,,,4,0,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,4,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,,,,,93,20,5,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,32,0,3,,,,
0,program_change,0,0,4,,,,,,,,,,,,,,,3,0,,,
0,control_change,0,0,4,,,,,,,,,,,,,64,0,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,64,0,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,7,102,3,,,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,3,,0,,
0,control_change,0,0,4,,,,,,,,,,,,,1,0,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,0,0,3,,,,
