tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
0,time_signature,4,4,96,8,0,1,0,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,
0,track_name,,,,,0,1,3,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,2,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,
0,track_name,,,,,0,1,1,,,,,,
0,set_tempo,,,,,0,1,0,413793,,,,,
375,note_on,,,,,375,0,1,,55,64,0,,
440,note_on,,,,,65,0,1,,56,61,0,,
442,control_change,,,,,0,0,1,,,,0,64,24
442,note_off,,,,,2,0,1,,55,64,0,,
470,control_change,,,,,28,0,1,,,,0,64,40
492,note_off,,,,,22,0,1,,56,64,0,,
510,control_change,,,,,18,0,1,,,,0,64,56
512,note_on,,,,,2,0,1,,57,58,0,,
567,note_on,,,,,0,0,1,,60,57,0,,
567,note_off,,,,,55,0,1,,57,64,0,,
585,control_change,,,,,18,0,1,,,,0,64,0
627,note_off,,,,,42,0,1,,60,64,0,,
632,note_on,,,,,5,0,1,,58,61,0,,
640,control_change,,,,,8,0,1,,,,0,64,24
647,control_change,,,,,7,0,1,,,,0,64,40
652,control_change,,,,,5,0,1,,,,0,64,72
660,control_change,,,,,8,0,1,,,,0,64,88
675,note_off,,,,,15,0,1,,58,64,0,,
687,control_change,,,,,12,0,1,,,,0,64,104
697,note_on,,,,,10,0,1,,67,65,0,,
722,control_change,,,,,25,0,1,,,,0,64,88
727,control_change,,,,,5,0,1,,,,0,64,56
735,control_change,,,,,8,0,1,,,,0,64,0
757,note_off,,,,,22,0,1,,67,64,0,,
767,note_on,,,,,10,0,1,,62,62,0,,
780,note_on,,,,,13,0,1,,56,48,0,,
787,note_on,,,,,7,0,1,,46,53,0,,
790,control_change,,,,,3,0,1,,,,0,64,24
795,control_change,,,,,5,0,1,,,,0,64,56
802,control_change,,,,,7,0,1,,,,0,64,72
810,control_change,,,,,8,0,1,,,,0,64,88
815,note_off,,,,,5,0,1,,62,64,0,,
830,note_on,,,,,15,0,1,,65,65,0,,
837,control_change,,,,,7,0,1,,,,0,64,104
840,note_off,,,,,3,0,1,,56,64,0,,
845,control_change,,,,,5,0,1,,,,0,64,127
877,control_change,,,,,32,0,1,,,,0,64,72
880,note_off,,,,,3,0,1,,65,64,0,,
885,control_change,,,,,5,0,1,,,,0,64,24
890,control_change,,,,,5,0,1,,,,0,64,0
897,note_on,,,,,7,0,1,,63,68,0,,
907,note_on,,,,,10,0,1,,55,45,0,,
922,note_off,,,,,15,0,1,,55,64,0,,
925,control_change,,,,,3,0,1,,,,0,64,56
932,control_change,,,,,7,0,1,,,,0,64,88
937,control_change,,,,,5,0,1,,,,0,64,127
955,note_off,,,,,18,0,1,,63,64,0,,
972,note_on,,,,,17,0,1,,55,64,0,,
1010,note_off,,,,,38,0,1,,55,64,0,,
1022,note_on,,,,,12,0,1,,39,48,0,,
1037,note_on,,,,,15,0,1,,58,58,0,,
1040,control_change,,,,,3,0,1,,,,0,64,72
1047,control_change,,,,,7,0,1,,,,0,64,0
1087,control_change,,,,,40,0,1,,,,0,64,56
1095,control_change,,,,,8,0,1,,,,0,64,127
1100,note_on,,,,,5,0,1,,63,58,0,,
1107,note_off,,,,,7,0,1,,58,64,0,,
1135,note_off,,,,,28,0,1,,63,64,0,,
1170,note_on,,,,,35,0,1,,67,64,0,,
1217,note_off,,,,,47,0,1,,67,64,0,,
1227,note_off,,,,,10,0,1,,39,64,0,,
1235,note_off,,,,,8,0,1,,46,64,0,,
1237,note_on,,,,,2,0,1,,68,60,0,,
1275,note_off,,,,,38,0,1,,68,64,0,,
1292,note_on,,,,,17,0,1,,69,65,0,,
1350,note_off,,,,,58,0,1,,69,64,0,,
1360,note_on,,,,,10,0,1,,72,68,0,,
1410,note_off,,,,,50,0,1,,72,64,0,,
1427,note_on,,,,,17,0,1,,70,67,0,,
1460,note_off,,,,,33,0,1,,70,64,0,,
1487,note_on,,,,,27,0,1,,79,68,0,,
1535,control_change,,,,,48,0,1,,,,0,64,72
1540,control_change,,,,,5,0,1,,,,0,64,0
1550,note_off,,,,,10,0,1,,79,64,0,,
1552,note_on,,,,,2,0,1,,74,74,0,,
1557,note_on,,,,,5,0,1,,68,40,0,,
1560,note_on,,,,,3,0,1,,58,42,0,,
1582,control_change,,,,,22,0,1,,,,0,64,40
1590,control_change,,,,,8,0,1,,,,0,64,88
1595,control_change,,,,,5,0,1,,,,0,64,127
1597,note_off,,,,,2,0,1,,74,64,0,,
1610,note_on,,,,,13,0,1,,77,78,0,,
1625,note_off,,,,,15,0,1,,68,64,0,,
1652,note_off,,,,,27,0,1,,58,64,0,,
1657,note_off,,,,,5,0,1,,77,64,0,,
1657,control_change,,,,,0,0,1,,,,0,64,56
1665,control_change,,,,,8,0,1,,,,0,64,0
1670,note_on,,,,,5,0,1,,75,71,0,,
1672,note_on,,,,,2,0,1,,58,20,0,,
1675,note_on,,,,,3,0,1,,67,52,0,,
1690,note_off,,,,,15,0,1,,67,64,0,,
1705,control_change,,,,,15,0,1,,,,0,64,56
1710,control_change,,,,,5,0,1,,,,0,64,127
