tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,data,control,value,channel,program,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,Eb,,,,,,,,
0,time_signature,,0,1,0,12,8,24,8,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
4,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
6,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,
10,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 4, 11)",,,,,,
12,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 49, 3, 11)",,,,,,
14,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 110, 30)",,,,,,
16,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 60, 79)",,,,,,
18,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 2, 5)",,,,,,
20,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 100, 33)",,,,,,
22,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 61, 7, 123)",,,,,,
24,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 8, 121)",,,,,,
26,control_change,,2,0,1,,,,,,,,0,0,0,,,
28,control_change,,2,0,1,,,,,,,,32,1,0,,,
30,program_change,,2,0,1,,,,,,,,,,0,0,,
32,control_change,,2,0,1,,,,,,,,7,120,0,,,
34,control_change,,2,0,1,,,,,,,,11,120,0,,,
36,control_change,,2,0,1,,,,,,,,91,40,0,,,
38,control_change,,2,0,1,,,,,,,,93,0,0,,,
40,control_change,,2,0,1,,,,,,,,10,64,0,,,
42,control_change,,2,0,1,,,,,,,,99,1,0,,,
44,control_change,,2,0,1,,,,,,,,98,8,0,,,
46,control_change,,2,0,1,,,,,,,,6,64,0,,,
48,control_change,,2,0,1,,,,,,,,98,9,0,,,
50,control_change,,2,0,1,,,,,,,,6,64,0,,,
52,control_change,,2,0,1,,,,,,,,98,10,0,,,
54,control_change,,2,0,1,,,,,,,,6,64,0,,,
56,control_change,,2,0,1,,,,,,,,98,32,0,,,
58,control_change,,2,0,1,,,,,,,,6,64,0,,,
60,control_change,,2,0,1,,,,,,,,98,33,0,,,
62,control_change,,2,0,1,,,,,,,,6,64,0,,,
64,control_change,,2,0,1,,,,,,,,98,99,0,,,
66,control_change,,2,0,1,,,,,,,,6,64,0,,,
68,control_change,,2,0,1,,,,,,,,98,100,0,,,
70,control_change,,2,0,1,,,,,,,,6,80,0,,,
72,control_change,,2,0,1,,,,,,,,98,102,0,,,
74,control_change,,2,0,1,,,,,,,,6,64,0,,,
264,control_change,,264,0,3,,,,,,,,64,127,0,,,
264,set_tempo,1621621,264,1,0,,,,,,,,,,,,,
264,note_on,,190,0,1,,,,,,,,,,0,,70,42
286,note_on,,22,0,1,,,,,,,,,,0,,70,0
288,note_on,,288,0,2,,,,,,,,,,0,,39,26
288,note_on,,2,0,1,,,,,,,,,,0,,79,56
288,control_change,,24,0,3,,,,,,,,64,127,0,,,
288,set_tempo,1463414,24,1,0,,,,,,,,,,,,,
290,control_change,,2,0,3,,,,,,,,64,0,0,,,
296,control_change,,6,0,3,,,,,,,,64,127,0,,,
300,note_on,,12,0,2,,,,,,,,,,0,,39,0
312,note_on,,0,0,2,,,,,,,,,,0,,63,28
312,note_on,,12,0,2,,,,,,,,,,0,,55,24
312,set_tempo,952380,24,1,0,,,,,,,,,,,,,
336,note_on,,0,0,2,,,,,,,,,,0,,67,24
336,note_on,,0,0,2,,,,,,,,,,0,,63,22
336,note_on,,0,0,2,,,,,,,,,,0,,58,20
336,note_on,,0,0,2,,,,,,,,,,0,,55,0
336,set_tempo,923076,24,1,0,,,,,,,,,,,,,
336,note_on,,24,0,2,,,,,,,,,,0,,63,0
358,note_on,,0,0,2,,,,,,,,,,0,,58,0
358,note_on,,0,0,2,,,,,,,,,,0,,63,0
358,note_on,,22,0,2,,,,,,,,,,0,,67,0
360,set_tempo,845070,24,1,0,,,,,,,,,,,,,
360,note_on,,2,0,2,,,,,,,,,,0,,51,28
362,control_change,,66,0,3,,,,,,,,64,0,0,,,
368,control_change,,6,0,3,,,,,,,,64,127,0,,,
372,note_on,,12,0,2,,,,,,,,,,0,,51,0
384,note_on,,0,0,2,,,,,,,,,,0,,62,34
384,note_on,,0,0,1,,,,,,,,,,0,,77,58
384,note_on,,96,0,1,,,,,,,,,,0,,79,0
384,set_tempo,952380,24,1,0,,,,,,,,,,,,,
384,note_on,,12,0,2,,,,,,,,,,0,,56,30
408,note_on,,0,0,2,,,,,,,,,,0,,56,0
408,note_on,,0,0,2,,,,,,,,,,0,,59,32
408,note_on,,0,0,2,,,,,,,,,,0,,62,34
408,note_on,,0,0,2,,,,,,,,,,0,,68,36
408,note_on,,24,0,2,,,,,,,,,,0,,62,0
408,set_tempo,1153846,24,1,0,,,,,,,,,,,,,
408,note_on,,0,0,1,,,,,,,,,,0,,79,68
408,note_on,,24,0,1,,,,,,,,,,0,,77,0
430,note_on,,0,0,2,,,,,,,,,,0,,59,0
430,note_on,,0,0,2,,,,,,,,,,0,,62,0
430,note_on,,22,0,2,,,,,,,,,,0,,68,0
432,note_on,,2,0,2,,,,,,,,,,0,,39,26
432,set_tempo,1000000,24,1,0,,,,,,,,,,,,,
432,note_on,,0,0,1,,,,,,,,,,0,,77,56
432,note_on,,24,0,1,,,,,,,,,,0,,79,0
434,control_change,,66,0,3,,,,,,,,64,0,0,,,
440,control_change,,6,0,3,,,,,,,,64,127,0,,,
444,note_on,,12,0,2,,,,,,,,,,0,,39,0
456,set_tempo,845070,24,1,0,,,,,,,,,,,,,
456,note_on,,12,0,2,,,,,,,,,,0,,55,24
456,note_on,,0,0,2,,,,,,,,,,0,,63,28
480,note_on,,24,0,2,,,,,,,,,,0,,63,0
480,note_on,,0,0,2,,,,,,,,,,0,,55,0
480,note_on,,0,0,2,,,,,,,,,,0,,58,22
480,note_on,,0,0,2,,,,,,,,,,0,,63,24
480,note_on,,0,0,2,,,,,,,,,,0,,67,26
480,set_tempo,923076,24,1,0,,,,,,,,,,,,,
502,note_on,,22,0,2,,,,,,,,,,0,,67,0
502,note_on,,0,0,2,,,,,,,,,,0,,58,0
502,note_on,,0,0,2,,,,,,,,,,0,,63,0
