tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,0,0,1,1,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,sysex,,0,0,0,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,sysex,,0,0,0,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,
0,time_signature,,0,1,0,,3,4,24,8,,,,,,,,
0,key_signature,,0,1,0,,,,,,Eb,,,,,,,
0,set_tempo,,0,1,0,,,,,,,300000,,,,,,
0,marker,,0,1,0,,,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
119,control_change,,119,0,1,,,,,,,,93,20,0,,,
119,control_change,,0,0,1,,,,,,,,0,0,0,,,
119,control_change,,0,0,1,,,,,,,,91,64,0,,,
122,control_change,,3,0,1,,,,,,,,0,0,0,,,
122,program_change,,0,0,1,,,,,,,,,,0,0,,
123,control_change,,1,0,1,,,,,,,,7,127,0,,,
300,control_change,,177,0,1,,,,,,,,64,127,0,,,
1018,set_tempo,,1018,1,0,,,,,,,1052632,,,,,,
1021,note_on,,721,0,1,,,,,,,,,,0,,82,56
1034,note_on,,13,0,1,,,,,,,,,,0,,82,0
1058,note_on,,24,0,1,,,,,,,,,,0,,70,36
1067,note_on,,9,0,1,,,,,,,,,,0,,79,41
1069,note_on,,2,0,1,,,,,,,,,,0,,70,0
1077,note_on,,8,0,1,,,,,,,,,,0,,79,0
1078,note_on,,1,0,1,,,,,,,,,,0,,39,53
1080,note_on,,2,0,1,,,,,,,,,,0,,87,56
1082,set_tempo,,64,1,0,,,,,,,1224490,,,,,,
1084,note_on,,4,0,1,,,,,,,,,,0,,39,0
1085,note_on,,1,0,1,,,,,,,,,,0,,87,0
1121,note_on,,36,0,1,,,,,,,,,,0,,51,43
1123,set_tempo,,41,1,0,,,,,,,952381,,,,,,
1128,note_on,,7,0,1,,,,,,,,,,0,,70,40
1129,note_on,,1,0,1,,,,,,,,,,0,,58,46
1131,note_on,,2,0,1,,,,,,,,,,0,,51,0
1136,note_on,,5,0,1,,,,,,,,,,0,,79,46
1140,note_on,,4,0,1,,,,,,,,,,0,,67,47
1142,note_on,,2,0,1,,,,,,,,,,0,,82,50
1145,note_on,,3,0,1,,,,,,,,,,0,,58,0
1148,note_on,,3,0,1,,,,,,,,,,0,,70,0
1150,note_on,,2,0,1,,,,,,,,,,0,,67,0
1156,note_on,,6,0,1,,,,,,,,,,0,,79,0
1164,note_on,,8,0,1,,,,,,,,,,0,,82,0
1166,set_tempo,,43,1,0,,,,,,,909091,,,,,,
1181,note_on,,17,0,1,,,,,,,,,,0,,51,42
1183,note_on,,2,0,1,,,,,,,,,,0,,70,47
1188,note_on,,0,0,1,,,,,,,,,,0,,58,43
1188,note_on,,5,0,1,,,,,,,,,,0,,51,0
1189,note_on,,1,0,1,,,,,,,,,,0,,79,50
1197,note_on,,8,0,1,,,,,,,,,,0,,67,45
1201,note_on,,4,0,1,,,,,,,,,,0,,81,59
1202,note_on,,1,0,1,,,,,,,,,,0,,58,0
1205,note_on,,3,0,1,,,,,,,,,,0,,67,0
1210,note_on,,5,0,1,,,,,,,,,,0,,79,0
1212,note_on,,2,0,1,,,,,,,,,,0,,70,0
1220,note_on,,8,0,1,,,,,,,,,,0,,81,0
1241,note_on,,21,0,1,,,,,,,,,,0,,51,45
1242,note_on,,1,0,1,,,,,,,,,,0,,70,41
1250,note_on,,8,0,1,,,,,,,,,,0,,51,0
1250,note_on,,0,0,1,,,,,,,,,,0,,58,45
1253,note_on,,3,0,1,,,,,,,,,,0,,79,45
1255,note_on,,2,0,1,,,,,,,,,,0,,82,55
1258,note_on,,3,0,1,,,,,,,,,,0,,67,46
1263,set_tempo,,97,1,0,,,,,,,857143,,,,,,
1264,note_on,,0,0,1,,,,,,,,,,0,,70,0
1264,note_on,,6,0,1,,,,,,,,,,0,,58,0
1265,note_on,,1,0,1,,,,,,,,,,0,,79,0
1271,note_on,,6,0,1,,,,,,,,,,0,,67,0
1276,note_on,,5,0,1,,,,,,,,,,0,,82,0
1295,note_on,,19,0,1,,,,,,,,,,0,,51,47
1297,note_on,,2,0,1,,,,,,,,,,0,,70,40
1305,note_on,,8,0,1,,,,,,,,,,0,,58,48
1307,note_on,,2,0,1,,,,,,,,,,0,,51,0
1309,note_on,,2,0,1,,,,,,,,,,0,,79,46
1315,note_on,,6,0,1,,,,,,,,,,0,,67,50
1319,note_on,,4,0,1,,,,,,,,,,0,,70,0
1320,note_on,,1,0,1,,,,,,,,,,0,,84,59
1325,note_on,,0,0,1,,,,,,,,,,0,,67,0
1325,note_on,,5,0,1,,,,,,,,,,0,,58,0
1328,note_on,,3,0,1,,,,,,,,,,0,,79,0
1336,note_on,,8,0,1,,,,,,,,,,0,,84,0
1355,note_on,,19,0,1,,,,,,,,,,0,,51,48
1360,note_on,,5,0,1,,,,,,,,,,0,,70,40
1365,note_on,,5,0,1,,,,,,,,,,0,,58,51
1367,note_on,,2,0,1,,,,,,,,,,0,,51,0
1370,note_on,,3,0,1,,,,,,,,,,0,,79,47
1376,note_on,,6,0,1,,,,,,,,,,0,,67,53
1378,note_on,,2,0,1,,,,,,,,,,0,,82,57
1385,note_on,,7,0,1,,,,,,,,,,0,,79,0
1385,note_on,,0,0,1,,,,,,,,,,0,,70,0
1386,note_on,,1,0,1,,,,,,,,,,0,,58,0
1390,note_on,,4,0,1,,,,,,,,,,0,,67,0
1396,note_on,,6,0,1,,,,,,,,,,0,,82,0
1412,note_on,,16,0,1,,,,,,,,,,0,,70,45
1412,control_change,,0,0,1,,,,,,,,64,0,0,,,
1418,note_on,,6,0,1,,,,,,,,,,0,,50,42
1423,note_on,,5,0,1,,,,,,,,,,0,,80,48
1425,note_on,,2,0,1,,,,,,,,,,0,,70,0
1426,control_change,,1,0,1,,,,,,,,64,127,0,,,
1427,note_on,,1,0,1,,,,,,,,,,0,,50,0
1428,note_on,,1,0,1,,,,,,,,,,0,,58,42
1436,note_on,,8,0,1,,,,,,,,,,0,,80,0
1440,note_on,,4,0,1,,,,,,,,,,0,,89,61
1440,note_on,,0,0,1,,,,,,,,,,0,,68,47
1445,note_on,,5,0,1,,,,,,,,,,0,,68,0
1446,note_on,,1,0,1,,,,,,,,,,0,,58,0
1449,note_on,,3,0,1,,,,,,,,,,0,,89,0
1478,note_on,,29,0,1,,,,,,,,,,0,,50,41
1482,note_on,,4,0,1,,,,,,,,,,0,,70,35
1485,note_on,,3,0,1,,,,,,,,,,0,,50,0
1485,note_on,,0,0,1,,,,,,,,,,0,,58,42
1490,note_on,,5,0,1,,,,,,,,,,0,,80,43
1498,note_on,,8,0,1,,,,,,,,,,0,,82,58
1498,note_on,,0,0,1,,,,,,,,,,0,,68,43
1504,note_on,,6,0,1,,,,,,,,,,0,,58,0
1505,note_on,,1,0,1,,,,,,,,,,0,,68,0
1506,note_on,,1,0,1,,,,,,,,,,0,,70,0
1519,note_on,,13,0,1,,,,,,,,,,0,,80,0
1524,note_on,,5,0,1,,,,,,,,,,0,,82,0
1537,note_on,,13,0,1,,,,,,,,,,0,,50,47
1538,note_on,,1,0,1,,,,,,,,,,0,,70,43
1542,note_on,,4,0,1,,,,,,,,,,0,,50,0
1544,note_on,,2,0,1,,,,,,,,,,0,,58,50
1546,note_on,,2,0,1,,,,,,,,,,0,,80,48
1557,note_on,,11,0,1,,,,,,,,,,0,,81,58
1557,note_on,,0,0,1,,,,,,,,,,0,,68,51
1564,note_on,,7,0,1,,,,,,,,,,0,,70,0
1565,note_on,,1,0,1,,,,,,,,,,0,,68,0
1566,note_on,,1,0,1,,,,,,,,,,0,,58,0
1572,note_on,,6,0,1,,,,,,,,,,0,,80,0
1580,note_on,,8,0,1,,,,,,,,,,0,,81,0
1597,note_on,,17,0,1,,,,,,,,,,0,,70,43
1598,note_on,,1,0,1,,,,,,,,,,0,,50,46
1606,note_on,,8,0,1,,,,,,,,,,0,,80,47
1607,note_on,,1,0,1,,,,,,,,,,0,,58,48
1609,note_on,,2,0,1,,,,,,,,,,0,,50,0
1618,note_on,,9,0,1,,,,,,,,,,0,,82,59
1619,note_on,,1,0,1,,,,,,,,,,0,,68,50
1625,note_on,,6,0,1,,,,,,,,,,0,,68,0
1626,note_on,,1,0,1,,,,,,,,,,0,,70,0
1629,note_on,,3,0,1,,,,,,,,,,0,,58,0
1630,note_on,,1,0,1,,,,,,,,,,0,,80,0
1640,note_on,,10,0,1,,,,,,,,,,0,,82,0
1654,note_on,,14,0,1,,,,,,,,,,0,,70,41
1659,note_on,,5,0,1,,,,,,,,,,0,,50,47
1665,note_on,,6,0,1,,,,,,,,,,0,,58,50
1666,note_on,,1,0,1,,,,,,,,,,0,,50,0
1668,note_on,,2,0,1,,,,,,,,,,0,,80,47
1675,note_on,,7,0,1,,,,,,,,,,0,,70,0
1678,note_on,,3,0,1,,,,,,,,,,0,,84,57
1682,note_on,,4,0,1,,,,,,,,,,0,,68,55
1690,note_on,,8,0,1,,,,,,,,,,0,,68,0
1691,note_on,,1,0,1,,,,,,,,,,0,,80,0
1698,note_on,,7,0,1,,,,,,,,,,0,,84,0
1700,note_on,,2,0,1,,,,,,,,,,0,,58,0
1714,note_on,,14,0,1,,,,,,,,,,0,,70,42
1718,note_on,,4,0,1,,,,,,,,,,0,,50,55
1727,note_on,,9,0,1,,,,,,,,,,0,,58,55
1728,note_on,,1,0,1,,,,,,,,,,0,,80,50
1731,note_on,,3,0,1,,,,,,,,,,0,,50,0
1732,set_tempo,,469,1,0,,,,,,,895522,,,,,,
1738,note_on,,7,0,1,,,,,,,,,,0,,82,57
1741,note_on,,3,0,1,,,,,,,,,,0,,68,59
1742,note_on,,1,0,1,,,,,,,,,,0,,70,0
1748,note_on,,6,0,1,,,,,,,,,,0,,68,0
1751,note_on,,3,0,1,,,,,,,,,,0,,80,0
1752,note_on,,1,0,1,,,,,,,,,,0,,58,0
1754,set_tempo,,22,1,0,,,,,,,909091,,,,,,
1755,note_on,,3,0,1,,,,,,,,,,0,,82,0
1766,note_on,,11,0,1,,,,,,,,,,0,,70,40
1775,control_change,,9,0,1,,,,,,,,64,0,0,,,
1776,set_tempo,,22,1,0,,,,,,,923077,,,,,,
1777,note_on,,2,0,1,,,,,,,,,,0,,79,47
1777,note_on,,0,0,1,,,,,,,,,,0,,51,46
1780,note_on,,3,0,1,,,,,,,,,,0,,70,0
1785,note_on,,5,0,1,,,,,,,,,,0,,82,48
1787,note_on,,2,0,1,,,,,,,,,,0,,58,47
1788,control_change,,0,0,1,,,,,,,,64,127,0,,,
1788,note_on,,1,0,1,,,,,,,,,,0,,79,0
1791,note_on,,3,0,1,,,,,,,,,,0,,51,0
1793,note_on,,2,0,1,,,,,,,,,,0,,82,0
1799,note_on,,6,0,1,,,,,,,,,,0,,67,48
1800,note_on,,1,0,1,,,,,,,,,,0,,91,59
1808,note_on,,8,0,1,,,,,,,,,,0,,91,0
1809,note_on,,1,0,1,,,,,,,,,,0,,67,0
1813,note_on,,4,0,1,,,,,,,,,,0,,58,0
1837,note_on,,0,0,1,,,,,,,,,,0,,53,41
1837,control_change,,24,0,1,,,,,,,,64,0,0,,,
1841,note_on,,4,0,1,,,,,,,,,,0,,70,45
1847,control_change,,6,0,1,,,,,,,,64,127,0,,,
1847,note_on,,0,0,1,,,,,,,,,,0,,58,45
1849,note_on,,2,0,1,,,,,,,,,,0,,53,0
1850,note_on,,1,0,1,,,,,,,,,,0,,74,50
1854,note_on,,4,0,1,,,,,,,,,,0,,82,50
1855,note_on,,1,0,1,,,,,,,,,,0,,62,45
1861,note_on,,0,0,1,,,,,,,,,,0,,68,47
1861,note_on,,6,0,1,,,,,,,,,,0,,70,0
1863,note_on,,2,0,1,,,,,,,,,,0,,74,0
1863,note_on,,0,0,1,,,,,,,,,,0,,86,61
1864,note_on,,1,0,1,,,,,,,,,,0,,62,0
1869,note_on,,5,0,1,,,,,,,,,,0,,58,0
1872,note_on,,3,0,1,,,,,,,,,,0,,82,0
1875,note_on,,3,0,1,,,,,,,,,,0,,86,0
1877,note_on,,2,0,1,,,,,,,,,,0,,68,0
1893,control_change,,16,0,1,,,,,,,,64,0,0,,,
1895,note_on,,2,0,1,,,,,,,,,,0,,70,43
1901,note_on,,6,0,1,,,,,,,,,,0,,55,45
1904,control_change,,3,0,1,,,,,,,,64,127,0,,,
1907,note_on,,3,0,1,,,,,,,,,,0,,75,47
1907,note_on,,0,0,1,,,,,,,,,,0,,58,46
1914,note_on,,7,0,1,,,,,,,,,,0,,82,56
1915,note_on,,1,0,1,,,,,,,,,,0,,63,47
1916,note_on,,1,0,1,,,,,,,,,,0,,70,0
1920,note_on,,0,0,1,,,,,,,,,,0,,67,47
1920,note_on,,4,0,1,,,,,,,,,,0,,75,0
1921,note_on,,1,0,1,,,,,,,,,,0,,55,0
1921,note_on,,0,0,1,,,,,,,,,,0,,87,66
1926,note_on,,5,0,1,,,,,,,,,,0,,82,0
1928,note_on,,2,0,1,,,,,,,,,,0,,58,0
1929,note_on,,1,0,1,,,,,,,,,,0,,63,0
1931,note_on,,2,0,1,,,,,,,,,,0,,67,0
1933,note_on,,2,0,1,,,,,,,,,,0,,87,0
1960,note_on,,27,0,1,,,,,,,,,,0,,71,51
1960,set_tempo,,184,1,0,,,,,,,882353,,,,,,
1961,note_on,,1,0,1,,,,,,,,,,0,,43,53
1966,set_tempo,,6,1,0,,,,,,,869565,,,,,,
1969,note_on,,8,0,1,,,,,,,,,,0,,51,55
1970,note_on,,1,0,1,,,,,,,,,,0,,71,0
1970,note_on,,0,0,1,,,,,,,,,,0,,75,55
1971,note_on,,1,0,1,,,,,,,,,,0,,43,0
1978,note_on,,7,0,1,,,,,,,,,,0,,59,57
1981,note_on,,3,0,1,,,,,,,,,,0,,75,0
1983,note_on,,2,0,1,,,,,,,,,,0,,86,64
1984,note_on,,1,0,1,,,,,,,,,,0,,51,0
1988,note_on,,0,0,1,,,,,,,,,,0,,59,0
1988,note_on,,4,0,1,,,,,,,,,,0,,86,0
2019,control_change,,31,0,1,,,,,,,,64,0,0,,,
2022,note_on,,3,0,1,,,,,,,,,,0,,44,57
2025,note_on,,3,0,1,,,,,,,,,,0,,72,56
2029,note_on,,4,0,1,,,,,,,,,,0,,51,58
2030,note_on,,1,0,1,,,,,,,,,,0,,44,0
2030,control_change,,0,0,1,,,,,,,,64,127,0,,,
2032,note_on,,2,0,1,,,,,,,,,,0,,75,58
2037,note_on,,5,0,1,,,,,,,,,,0,,60,61
2040,note_on,,3,0,1,,,,,,,,,,0,,51,0
2043,note_on,,3,0,1,,,,,,,,,,0,,60,0
2045,note_on,,2,0,1,,,,,,,,,,0,,84,71
2054,note_on,,9,0,1,,,,,,,,,,0,,72,0
2057,note_on,,3,0,1,,,,,,,,,,0,,75,0
2064,note_on,,7,0,1,,,,,,,,,,0,,84,0
2075,note_on,,11,0,1,,,,,,,,,,0,,45,57
2080,control_change,,5,0,1,,,,,,,,64,0,0,,,
2082,note_on,,2,0,1,,,,,,,,,,0,,53,59
2083,note_on,,1,0,1,,,,,,,,,,0,,72,57
2086,note_on,,3,0,1,,,,,,,,,,0,,45,0
2089,control_change,,3,0,1,,,,,,,,64,127,0,,,
2091,note_on,,2,0,1,,,,,,,,,,0,,77,61
2097,note_on,,6,0,1,,,,,,,,,,0,,53,0
2098,note_on,,1,0,1,,,,,,,,,,0,,63,63
2100,note_on,,2,0,1,,,,,,,,,,0,,72,0
2104,note_on,,4,0,1,,,,,,,,,,0,,63,0
2104,note_on,,0,0,1,,,,,,,,,,0,,89,72
2108,note_on,,4,0,1,,,,,,,,,,0,,77,0
2116,note_on,,8,0,1,,,,,,,,,,0,,89,0
2137,note_on,,21,0,1,,,,,,,,,,0,,46,59
2144,note_on,,7,0,1,,,,,,,,,,0,,51,61
2145,note_on,,1,0,1,,,,,,,,,,0,,70,53
2145,control_change,,0,0,1,,,,,,,,64,0,0,,,
2151,note_on,,6,0,1,,,,,,,,,,0,,46,0
2152,control_change,,1,0,1,,,,,,,,64,127,0,,,
2153,note_on,,1,0,1,,,,,,,,,,0,,55,63
2156,note_on,,3,0,1,,,,,,,,,,0,,70,0
2156,note_on,,0,0,1,,,,,,,,,,0,,79,61
2159,note_on,,3,0,1,,,,,,,,,,0,,51,0
2159,note_on,,0,0,1,,,,,,,,,,0,,63,64
2165,note_on,,6,0,1,,,,,,,,,,0,,79,0
2167,note_on,,2,0,1,,,,,,,,,,0,,87,77
2171,note_on,,4,0,1,,,,,,,,,,0,,55,0
2172,note_on,,1,0,1,,,,,,,,,,0,,63,0
2176,note_on,,4,0,1,,,,,,,,,,0,,87,0
2198,note_on,,22,0,1,,,,,,,,,,0,,46,58
2204,control_change,,6,0,1,,,,,,,,64,0,0,,,
2206,note_on,,2,0,1,,,,,,,,,,0,,54,58
2209,note_on,,3,0,1,,,,,,,,,,0,,72,48
2213,control_change,,4,0,1,,,,,,,,64,127,0,,,
2214,note_on,,0,0,1,,,,,,,,,,0,,78,48
2214,note_on,,1,0,1,,,,,,,,,,0,,46,0
2215,note_on,,1,0,1,,,,,,,,,,0,,72,0
2215,note_on,,0,0,1,,,,,,,,,,0,,57,59
2221,note_on,,6,0,1,,,,,,,,,,0,,54,0
2221,note_on,,0,0,1,,,,,,,,,,0,,81,52
2223,note_on,,2,0,1,,,,,,,,,,0,,63,61
2227,note_on,,4,0,1,,,,,,,,,,0,,78,0
2228,note_on,,1,0,1,,,,,,,,,,0,,87,71
2230,note_on,,2,0,1,,,,,,,,,,0,,81,0
2231,note_on,,1,0,1,,,,,,,,,,0,,57,0
2234,note_on,,3,0,1,,,,,,,,,,0,,63,0
2240,note_on,,6,0,1,,,,,,,,,,0,,87,0
2257,note_on,,17,0,1,,,,,,,,,,0,,46,61
2266,note_on,,9,0,1,,,,,,,,,,0,,53,61
2267,control_change,,1,0,1,,,,,,,,64,0,0,,,
2268,note_on,,1,0,1,,,,,,,,,,0,,70,46
2269,note_on,,1,0,1,,,,,,,,,,0,,46,0
2274,note_on,,5,0,1,,,,,,,,,,0,,77,50
2275,control_change,,1,0,1,,,,,,,,64,127,0,,,
2275,note_on,,0,0,1,,,,,,,,,,0,,58,61
2281,note_on,,6,0,1,,,,,,,,,,0,,70,0
2282,note_on,,0,0,1,,,,,,,,,,0,,82,57
2282,note_on,,1,0,1,,,,,,,,,,0,,53,0
2284,note_on,,2,0,1,,,,,,,,,,0,,62,61
2287,note_on,,3,0,1,,,,,,,,,,0,,77,0
2287,note_on,,0,0,1,,,,,,,,,,0,,86,67
2287,note_on,,0,0,1,,,,,,,,,,0,,58,0
2292,note_on,,0,0,1,,,,,,,,,,0,,62,0
2292,note_on,,5,0,1,,,,,,,,,,0,,82,0
2294,note_on,,2,0,1,,,,,,,,,,0,,86,0
2323,note_on,,29,0,1,,,,,,,,,,0,,48,58
2327,control_change,,0,0,1,,,,,,,,64,0,0,,,
2327,note_on,,4,0,1,,,,,,,,,,0,,70,43
2330,note_on,,3,0,1,,,,,,,,,,0,,55,59
2336,note_on,,0,0,1,,,,,,,,,,0,,58,59
2336,control_change,,0,0,1,,,,,,,,64,127,0,,,
2336,note_on,,6,0,1,,,,,,,,,,0,,76,52
2338,set_tempo,,372,1,0,,,,,,,882353,,,,,,
2339,note_on,,3,0,1,,,,,,,,,,0,,48,0
2340,note_on,,1,0,1,,,,,,,,,,0,,79,53
2343,note_on,,3,0,1,,,,,,,,,,0,,64,59
2346,note_on,,3,0,1,,,,,,,,,,0,,85,63
2349,note_on,,3,0,1,,,,,,,,,,0,,70,0
2350,note_on,,1,0,1,,,,,,,,,,0,,55,0
2352,note_on,,2,0,1,,,,,,,,,,0,,76,0
2353,note_on,,1,0,1,,,,,,,,,,0,,58,0
2354,note_on,,1,0,1,,,,,,,,,,0,,64,0
2355,note_on,,1,0,1,,,,,,,,,,0,,79,0
2361,note_on,,6,0,1,,,,,,,,,,0,,85,0
2372,set_tempo,,34,1,0,,,,,,,895522,,,,,,
2383,note_on,,22,0,1,,,,,,,,,,0,,48,58
2385,control_change,,2,0,1,,,,,,,,64,0,0,,,
2386,note_on,,1,0,1,,,,,,,,,,0,,68,45
2392,note_on,,6,0,1,,,,,,,,,,0,,56,58
2393,note_on,,1,0,1,,,,,,,,,,0,,48,0
2393,control_change,,0,0,1,,,,,,,,64,127,0,,,
2393,note_on,,0,0,1,,,,,,,,,,0,,77,52
2394,note_on,,1,0,1,,,,,,,,,,0,,68,0
2397,note_on,,3,0,1,,,,,,,,,,0,,80,55
2405,note_on,,8,0,1,,,,,,,,,,0,,65,58
2406,note_on,,1,0,1,,,,,,,,,,0,,56,0
2406,set_tempo,,34,1,0,,,,,,,909091,,,,,,
2407,note_on,,1,0,1,,,,,,,,,,0,,84,63
2409,note_on,,2,0,1,,,,,,,,,,0,,77,0
2410,note_on,,1,0,1,,,,,,,,,,0,,65,0
2414,note_on,,4,0,1,,,,,,,,,,0,,80,0
2417,note_on,,3,0,1,,,,,,,,,,0,,84,0
2437,note_on,,20,0,1,,,,,,,,,,0,,48,50
2440,set_tempo,,34,1,0,,,,,,,923077,,,,,,
2440,control_change,,3,0,1,,,,,,,,64,0,0,,,
2444,note_on,,4,0,1,,,,,,,,,,0,,55,48
2446,note_on,,2,0,1,,,,,,,,,,0,,72,48
2450,control_change,,4,0,1,,,,,,,,64,127,0,,,
2451,note_on,,1,0,1,,,,,,,,,,0,,79,59
2452,note_on,,1,0,1,,,,,,,,,,0,,48,0
2454,note_on,,2,0,1,,,,,,,,,,0,,60,48
2456,note_on,,2,0,1,,,,,,,,,,0,,82,53
2464,note_on,,8,0,1,,,,,,,,,,0,,67,47
2465,note_on,,1,0,1,,,,,,,,,,0,,55,0
2466,note_on,,1,0,1,,,,,,,,,,0,,88,62
2468,note_on,,2,0,1,,,,,,,,,,0,,60,0
2468,note_on,,0,0,1,,,,,,,,,,0,,79,0
2471,note_on,,3,0,1,,,,,,,,,,0,,72,0
2473,note_on,,2,0,1,,,,,,,,,,0,,67,0
2474,set_tempo,,34,1,0,,,,,,,937500,,,,,,
2477,note_on,,4,0,1,,,,,,,,,,0,,82,0
2483,note_on,,6,0,1,,,,,,,,,,0,,88,0
2501,control_change,,18,0,1,,,,,,,,64,0,0,,,
2503,note_on,,2,0,1,,,,,,,,,,0,,72,43
2508,note_on,,5,0,1,,,,,,,,,,0,,80,45
2508,set_tempo,,34,1,0,,,,,,,952381,,,,,,
2511,control_change,,3,0,1,,,,,,,,64,127,0,,,
2513,note_on,,2,0,1,,,,,,,,,,0,,72,0
2520,set_tempo,,12,1,0,,,,,,,1250000,,,,,,
2520,note_on,,7,0,1,,,,,,,,,,0,,41,57
2523,note_on,,3,0,1,,,,,,,,,,0,,89,57
2524,note_on,,1,0,1,,,,,,,,,,0,,80,0
2528,note_on,,4,0,1,,,,,,,,,,0,,41,0
2533,note_on,,5,0,1,,,,,,,,,,0,,89,0
2552,set_tempo,,32,1,0,,,,,,,937500,,,,,,
2563,note_on,,30,0,1,,,,,,,,,,0,,53,51
2565,note_on,,2,0,1,,,,,,,,,,0,,72,43
2570,note_on,,5,0,1,,,,,,,,,,0,,80,47
2574,note_on,,4,0,1,,,,,,,,,,0,,60,52
2575,note_on,,1,0,1,,,,,,,,,,0,,53,0
2580,set_tempo,,28,1,0,,,,,,,865801,,,,,,
2580,note_on,,5,0,1,,,,,,,,,,0,,84,57
2583,note_on,,3,0,1,,,,,,,,,,0,,68,53
2592,note_on,,9,0,1,,,,,,,,,,0,,60,0
2595,note_on,,3,0,1,,,,,,,,,,0,,68,0
2598,note_on,,3,0,1,,,,,,,,,,0,,72,0
2601,note_on,,3,0,1,,,,,,,,,,0,,80,0
2612,note_on,,11,0,1,,,,,,,,,,0,,84,0
2617,note_on,,5,0,1,,,,,,,,,,0,,53,46
2624,note_on,,7,0,1,,,,,,,,,,0,,71,39
2626,note_on,,2,0,1,,,,,,,,,,0,,60,47
2629,note_on,,3,0,1,,,,,,,,,,0,,53,0
2629,note_on,,0,0,1,,,,,,,,,,0,,80,40
2636,note_on,,7,0,1,,,,,,,,,,0,,68,50
2640,set_tempo,,60,1,0,,,,,,,855920,,,,,,
2641,note_on,,5,0,1,,,,,,,,,,0,,83,56
2642,note_on,,1,0,1,,,,,,,,,,0,,71,0
2650,note_on,,8,0,1,,,,,,,,,,0,,68,0
2652,note_on,,2,0,1,,,,,,,,,,0,,60,0
2653,note_on,,1,0,1,,,,,,,,,,0,,80,0
2660,note_on,,7,0,1,,,,,,,,,,0,,83,0
2676,note_on,,16,0,1,,,,,,,,,,0,,53,46
2682,note_on,,6,0,1,,,,,,,,,,0,,72,40
2688,note_on,,6,0,1,,,,,,,,,,0,,60,47
2690,note_on,,2,0,1,,,,,,,,,,0,,80,45
2692,note_on,,2,0,1,,,,,,,,,,0,,53,0
2699,note_on,,7,0,1,,,,,,,,,,0,,84,55
2699,note_on,,0,0,1,,,,,,,,,,0,,68,47
2703,note_on,,4,0,1,,,,,,,,,,0,,72,0
2703,set_tempo,,63,1,0,,,,,,,837989,,,,,,
2707,note_on,,4,0,1,,,,,,,,,,0,,80,0
2710,note_on,,3,0,1,,,,,,,,,,0,,68,0
2711,note_on,,1,0,1,,,,,,,,,,0,,60,0
2732,note_on,,21,0,1,,,,,,,,,,0,,84,0
2733,note_on,,1,0,1,,,,,,,,,,0,,53,46
2742,note_on,,9,0,1,,,,,,,,,,0,,73,41
2743,note_on,,1,0,1,,,,,,,,,,0,,60,47
2746,note_on,,3,0,1,,,,,,,,,,0,,80,43
2747,note_on,,1,0,1,,,,,,,,,,0,,53,0
2755,note_on,,8,0,1,,,,,,,,,,0,,68,48
2758,note_on,,3,0,1,,,,,,,,,,0,,85,55
2759,note_on,,1,0,1,,,,,,,,,,0,,73,0
2766,note_on,,7,0,1,,,,,,,,,,0,,80,0
2767,note_on,,1,0,1,,,,,,,,,,0,,60,0
2769,note_on,,2,0,1,,,,,,,,,,0,,68,0
2790,note_on,,21,0,1,,,,,,,,,,0,,85,0
2794,note_on,,4,0,1,,,,,,,,,,0,,53,48
2800,note_on,,6,0,1,,,,,,,,,,0,,72,41
2802,note_on,,2,0,1,,,,,,,,,,0,,60,50
2807,note_on,,5,0,1,,,,,,,,,,0,,53,0
2807,note_on,,0,0,1,,,,,,,,,,0,,80,46
2813,note_on,,6,0,1,,,,,,,,,,0,,68,51
2818,note_on,,5,0,1,,,,,,,,,,0,,84,52
2822,note_on,,4,0,1,,,,,,,,,,0,,72,0
