tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,key,note,velocity
0,set_tempo,599809,0,1,0,,,,,,,,,,,
0,control_change,,0,0,1,,,,,32,0,0,,,,
0,control_change,,0,0,1,,,,,1,0,0,,,,
0,control_change,,0,0,1,,,,,10,64,0,,,,
0,control_change,,0,0,1,,,,,91,0,0,,,,
0,control_change,,0,0,1,,,,,93,0,0,,,,
0,program_change,,0,0,1,,,,,,,0,0,,,
0,key_signature,,0,1,1,,,,,,,,,D,,
0,key_signature,,0,1,1,,,,,,,,,D,,
0,track_name,,0,1,1,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,0,,,67,100
0,note_on,,0,0,1,,,,,,,0,,,50,100
0,note_on,,0,0,1,,,,,,,0,,,57,100
0,note_on,,0,0,1,,,,,,,0,,,69,100
0,control_change,,0,0,1,,,,,0,0,0,,,,
0,control_change,,0,0,1,,,,,7,96,0,,,,
0,key_signature,,0,1,2,,,,,,,,,D,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,
0,control_change,,0,0,2,,,,,0,0,1,,,,
0,control_change,,0,0,2,,,,,32,0,1,,,,
0,program_change,,0,0,2,,,,,,,1,53,,,
0,control_change,,0,0,2,,,,,1,0,1,,,,
0,control_change,,0,0,2,,,,,10,64,1,,,,
0,control_change,,0,0,2,,,,,91,0,1,,,,
0,control_change,,0,0,2,,,,,93,0,1,,,,
0,control_change,,0,0,2,,,,,7,95,1,,,,
0,track_name,,0,1,2,,,,,,,,,,,
342,note_on,,342,0,1,,,,,,,0,,,67,0
360,note_on,,18,0,1,,,,,,,0,,,66,100
474,note_on,,114,0,1,,,,,,,0,,,66,0
480,note_on,,6,0,1,,,,,,,0,,,64,100
594,note_on,,114,0,1,,,,,,,0,,,64,0
600,note_on,,6,0,1,,,,,,,0,,,66,100
714,note_on,,114,0,1,,,,,,,0,,,66,0
720,note_on,,6,0,1,,,,,,,0,,,62,100
936,note_on,,216,0,1,,,,,,,0,,,69,0
936,note_on,,0,0,1,,,,,,,0,,,57,0
936,note_on,,0,0,1,,,,,,,0,,,50,0
948,note_on,,12,0,1,,,,,,,0,,,62,0
960,note_on,,12,0,1,,,,,,,0,,,50,100
960,note_on,,0,0,1,,,,,,,0,,,57,100
960,note_on,,0,0,1,,,,,,,0,,,67,100
960,note_on,,0,0,1,,,,,,,0,,,69,100
1302,note_on,,342,0,1,,,,,,,0,,,67,0
1320,note_on,,18,0,1,,,,,,,0,,,66,100
1434,note_on,,114,0,1,,,,,,,0,,,66,0
1440,note_on,,6,0,1,,,,,,,0,,,64,100
1554,note_on,,114,0,1,,,,,,,0,,,64,0
1560,note_on,,6,0,1,,,,,,,0,,,66,100
1674,note_on,,114,0,1,,,,,,,0,,,66,0
1680,note_on,,6,0,1,,,,,,,0,,,62,100
1896,note_on,,0,0,1,,,,,,,0,,,57,0
1896,note_on,,0,0,1,,,,,,,0,,,50,0
1896,note_on,,216,0,1,,,,,,,0,,,69,0
1908,note_on,,12,0,1,,,,,,,0,,,62,0
1920,note_on,,12,0,1,,,,,,,0,,,68,100
1920,note_on,,0,0,1,,,,,,,0,,,65,100
1920,note_on,,0,0,1,,,,,,,0,,,59,100
1920,note_on,,0,0,1,,,,,,,0,,,50,100
2034,note_on,,114,0,1,,,,,,,0,,,59,0
2034,note_on,,0,0,1,,,,,,,0,,,68,0
2040,note_on,,0,0,1,,,,,,,0,,,56,100
2040,note_on,,6,0,1,,,,,,,0,,,71,100
2148,note_on,,108,0,1,,,,,,,0,,,65,0
2154,note_on,,0,0,1,,,,,,,0,,,71,0
2154,note_on,,6,0,1,,,,,,,0,,,56,0
2160,note_on,,6,0,1,,,,,,,0,,,69,100
2160,note_on,,0,0,1,,,,,,,0,,,66,100
2160,note_on,,0,0,1,,,,,,,0,,,57,100
2856,note_on,,696,0,1,,,,,,,0,,,50,0
2868,note_on,,0,0,1,,,,,,,0,,,69,0
2868,note_on,,0,0,1,,,,,,,0,,,66,0
2868,note_on,,12,0,1,,,,,,,0,,,57,0
2880,note_on,,0,0,1,,,,,,,0,,,50,100
2880,note_on,,0,0,1,,,,,,,0,,,65,100
2880,note_on,,0,0,1,,,,,,,0,,,59,100
2880,note_on,,12,0,1,,,,,,,0,,,68,100
2994,note_on,,114,0,1,,,,,,,0,,,59,0
2994,note_on,,0,0,1,,,,,,,0,,,68,0
3000,note_on,,6,0,1,,,,,,,0,,,71,100
3000,note_on,,0,0,1,,,,,,,0,,,56,100
3108,note_on,,108,0,1,,,,,,,0,,,65,0
3114,note_on,,6,0,1,,,,,,,0,,,56,0
3114,note_on,,0,0,1,,,,,,,0,,,71,0
3120,note_on,,0,0,1,,,,,,,0,,,66,100
3120,note_on,,0,0,1,,,,,,,0,,,57,100
3120,note_on,,6,0,1,,,,,,,0,,,69,100
3816,note_on,,696,0,1,,,,,,,0,,,50,0
3828,note_on,,12,0,1,,,,,,,0,,,57,0
3828,note_on,,0,0,1,,,,,,,0,,,66,0
3828,note_on,,0,0,1,,,,,,,0,,,69,0
3840,note_on,,12,0,1,,,,,,,0,,,50,100
3840,note_on,,0,0,1,,,,,,,0,,,57,100
3840,note_on,,0,0,1,,,,,,,0,,,67,100
3840,note_on,,0,0,1,,,,,,,0,,,69,100
4182,note_on,,342,0,1,,,,,,,0,,,67,0
4200,note_on,,18,0,1,,,,,,,0,,,66,100
4314,note_on,,114,0,1,,,,,,,0,,,66,0
4320,note_on,,6,0,1,,,,,,,0,,,64,100
4434,note_on,,114,0,1,,,,,,,0,,,64,0
4440,note_on,,6,0,1,,,,,,,0,,,66,100
4554,note_on,,114,0,1,,,,,,,0,,,66,0
4560,note_on,,6,0,1,,,,,,,0,,,62,100
4776,note_on,,216,0,1,,,,,,,0,,,69,0
4776,note_on,,0,0,1,,,,,,,0,,,57,0
4776,note_on,,0,0,1,,,,,,,0,,,50,0
4788,note_on,,12,0,1,,,,,,,0,,,62,0
4800,note_on,,12,0,1,,,,,,,0,,,67,100
4800,note_on,,0,0,1,,,,,,,0,,,69,100
4800,note_on,,0,0,1,,,,,,,0,,,50,100
4800,note_on,,0,0,1,,,,,,,0,,,57,100
5142,note_on,,342,0,1,,,,,,,0,,,67,0
5160,note_on,,18,0,1,,,,,,,0,,,66,100
5274,note_on,,114,0,1,,,,,,,0,,,66,0
5280,note_on,,6,0,1,,,,,,,0,,,64,100
5394,note_on,,114,0,1,,,,,,,0,,,64,0
5400,note_on,,6,0,1,,,,,,,0,,,66,100
5514,note_on,,114,0,1,,,,,,,0,,,66,0
5520,note_on,,6,0,1,,,,,,,0,,,62,100
5736,note_on,,216,0,1,,,,,,,0,,,57,0
5736,note_on,,0,0,1,,,,,,,0,,,50,0
5736,note_on,,0,0,1,,,,,,,0,,,69,0
5748,note_on,,12,0,1,,,,,,,0,,,62,0
5760,note_on,,0,0,1,,,,,,,0,,,61,100
5760,note_on,,0,0,1,,,,,,,0,,,52,100
5760,note_on,,12,0,1,,,,,,,0,,,69,100
5760,note_on,,0,0,1,,,,,,,0,,,45,100
5874,note_on,,0,0,1,,,,,,,0,,,61,0
5874,note_on,,114,0,1,,,,,,,0,,,52,0
5880,note_on,,6,0,1,,,,,,,0,,,57,100
5880,note_on,,0,0,1,,,,,,,0,,,54,100
5994,note_on,,114,0,1,,,,,,,0,,,54,0
5994,note_on,,0,0,1,,,,,,,0,,,57,0
6000,note_on,,6,0,1,,,,,,,0,,,52,100
6000,note_on,,0,0,1,,,,,,,0,,,61,100
6520,control_change,,520,0,1,,,,,7,95,0,,,,
6600,control_change,,80,0,1,,,,,7,94,0,,,,
6680,control_change,,80,0,1,,,,,7,93,0,,,,
6696,note_on,,16,0,1,,,,,,,0,,,45,0
6696,note_on,,0,0,1,,,,,,,0,,,69,0
6708,note_on,,0,0,1,,,,,,,0,,,52,0
6708,note_on,,12,0,1,,,,,,,0,,,61,0
6720,note_on,,0,0,1,,,,,,,0,,,52,100
6720,note_on,,0,0,1,,,,,,,0,,,45,100
6720,note_on,,0,0,1,,,,,,,0,,,61,100
6720,note_on,,0,0,1,,,,,,,0,,,69,100
6720,control_change,,12,0,1,,,,,7,92,0,,,,
6744,set_tempo,615169,6744,1,0,,,,,,,,,,,
6768,set_tempo,631553,24,1,0,,,,,,,,,,,
6792,set_tempo,648449,24,1,0,,,,,,,,,,,
6800,control_change,,80,0,1,,,,,7,91,0,,,,
6816,set_tempo,666625,24,1,0,,,,,,,,,,,
6834,note_on,,34,0,1,,,,,,,0,,,52,0
6834,note_on,,0,0,1,,,,,,,0,,,61,0
6840,note_on,,6,0,1,,,,,,,0,,,57,100
6840,note_on,,0,0,1,,,,,,,0,,,54,100
6840,set_tempo,685569,24,1,0,,,,,,,,,,,
6864,set_tempo,705793,24,1,0,,,,,,,,,,,
6880,control_change,,40,0,1,,,,,7,90,0,,,,
6888,set_tempo,727041,24,1,0,,,,,,,,,,,
6912,set_tempo,749825,24,1,0,,,,,,,,,,,
6920,control_change,,40,0,1,,,,,7,89,0,,,,
6936,set_tempo,774145,24,1,0,,,,,,,,,,,
6954,note_on,,0,0,1,,,,,,,0,,,57,0
6954,note_on,,34,0,1,,,,,,,0,,,54,0
6960,note_on,,0,0,1,,,,,,,0,,,61,100
6960,note_on,,6,0,1,,,,,,,0,,,52,100
6960,set_tempo,800001,24,1,0,,,,,,,,,,,
7000,control_change,,40,0,1,,,,,7,88,0,,,,
7080,control_change,,80,0,1,,,,,7,87,0,,,,
7160,control_change,,80,0,1,,,,,7,86,0,,,,
7200,set_tempo,2999809,240,1,0,,,,,,,,,,,
7200,control_change,,40,0,1,,,,,7,85,0,,,,
7280,control_change,,80,0,1,,,,,7,84,0,,,,
7360,control_change,,80,0,1,,,,,7,83,0,,,,
7400,control_change,,40,0,1,,,,,7,82,0,,,,
7480,control_change,,80,0,1,,,,,7,81,0,,,,
7560,control_change,,80,0,1,,,,,7,80,0,,,,
7656,note_on,,0,0,1,,,,,,,0,,,69,0
7656,note_on,,96,0,1,,,,,,,0,,,45,0
7668,note_on,,0,0,1,,,,,,,0,,,52,0
7668,note_on,,12,0,1,,,,,,,0,,,61,0
7680,note_on,,0,0,1,,,,,,,0,,,57,100
7680,note_on,,0,0,1,,,,,,,0,,,50,100
7680,note_on,,0,0,1,,,,,,,0,,,66,100
7680,note_on,,12,0,1,,,,,,,0,,,62,100
7680,set_tempo,599809,480,1,0,,,,,,,,,,,
