tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,data,note,velocity
0,set_tempo,309670,0,1,0,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,
0,control_change,,0,0,1,,,,,10,10,0,,,
0,track_name,,0,1,1,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,
4,sysex,,4,0,1,,,,,,,,"(126, 0, 0, 127)",,
16,control_change,,12,0,1,,,,,0,0,0,,,
20,control_change,,4,0,1,,,,,32,0,0,,,
36,control_change,,16,0,1,,,,,91,127,0,,,
40,control_change,,4,0,1,,,,,93,0,0,,,
44,control_change,,4,0,1,,,,,101,0,0,,,
48,control_change,,4,0,1,,,,,100,0,0,,,
52,control_change,,4,0,1,,,,,6,2,0,,,
3072,control_change,,3072,0,2,,,,,10,64,0,,,
3072,control_change,,3072,0,3,,,,,10,64,0,,,
3072,control_change,,3072,0,5,,,,,10,64,0,,,
3097,note_on,,25,0,2,,,,,,,0,,75,68
3099,note_on,,2,0,2,,,,,,,0,,71,56
3275,note_on,,176,0,2,,,,,,,0,,73,44
3279,note_on,,4,0,2,,,,,,,0,,76,49
3286,note_off,,7,0,2,,,,,,,0,,71,0
3294,note_off,,8,0,2,,,,,,,0,,75,0
3460,note_on,,166,0,2,,,,,,,0,,75,45
3466,note_on,,6,0,2,,,,,,,0,,71,43
3467,note_off,,1,0,2,,,,,,,0,,76,0
3483,note_off,,16,0,2,,,,,,,0,,73,0
3641,note_on,,158,0,2,,,,,,,0,,73,37
3643,note_on,,2,0,2,,,,,,,0,,76,58
3660,note_off,,17,0,2,,,,,,,0,,71,0
3670,note_off,,10,0,2,,,,,,,0,,75,0
3822,note_on,,152,0,2,,,,,,,0,,75,41
3826,note_on,,4,0,2,,,,,,,0,,71,47
3829,note_off,,3,0,2,,,,,,,0,,76,0
3843,note_off,,14,0,2,,,,,,,0,,73,0
4003,note_on,,160,0,2,,,,,,,0,,73,37
4007,note_on,,4,0,2,,,,,,,0,,76,52
4021,note_off,,14,0,2,,,,,,,0,,71,0
4029,note_off,,8,0,2,,,,,,,0,,75,0
4183,note_on,,154,0,2,,,,,,,0,,75,43
4186,note_on,,3,0,2,,,,,,,0,,71,48
4196,note_off,,10,0,2,,,,,,,0,,76,0
4211,note_off,,15,0,2,,,,,,,0,,73,0
4384,note_on,,173,0,2,,,,,,,0,,73,42
4389,note_on,,5,0,2,,,,,,,0,,76,54
4403,note_off,,14,0,2,,,,,,,0,,71,0
4410,note_off,,7,0,2,,,,,,,0,,75,0
4594,note_on,,184,0,2,,,,,,,0,,75,46
4596,note_on,,2,0,2,,,,,,,0,,71,54
4600,note_off,,4,0,2,,,,,,,0,,76,0
4611,note_off,,11,0,2,,,,,,,0,,73,0
4794,note_on,,183,0,2,,,,,,,0,,73,39
4797,note_on,,3,0,2,,,,,,,0,,76,58
4815,note_off,,18,0,2,,,,,,,0,,71,0
4818,note_off,,3,0,2,,,,,,,0,,75,0
4990,note_on,,172,0,2,,,,,,,0,,75,45
4992,note_on,,2,0,2,,,,,,,0,,71,58
5002,note_off,,10,0,2,,,,,,,0,,76,0
5010,note_off,,8,0,2,,,,,,,0,,73,0
5176,note_on,,166,0,2,,,,,,,0,,73,41
5179,note_on,,3,0,2,,,,,,,0,,76,58
5198,note_off,,19,0,2,,,,,,,0,,75,0
5199,note_off,,1,0,2,,,,,,,0,,71,0
5364,note_on,,165,0,2,,,,,,,0,,75,41
5366,note_off,,2,0,2,,,,,,,0,,76,0
5371,note_on,,5,0,2,,,,,,,0,,71,45
5394,note_off,,23,0,2,,,,,,,0,,73,0
5551,note_on,,157,0,2,,,,,,,0,,73,42
5559,note_on,,8,0,2,,,,,,,0,,76,52
5573,note_off,,14,0,2,,,,,,,0,,71,0
5576,note_off,,3,0,2,,,,,,,0,,75,0
5737,note_on,,161,0,2,,,,,,,0,,75,44
5745,note_on,,8,0,2,,,,,,,0,,71,50
5751,note_off,,6,0,2,,,,,,,0,,76,0
5761,note_off,,10,0,2,,,,,,,0,,73,0
5926,note_on,,165,0,2,,,,,,,0,,73,41
5928,note_on,,2,0,2,,,,,,,0,,76,58
5949,note_off,,21,0,2,,,,,,,0,,71,0
5952,note_off,,3,0,2,,,,,,,0,,75,0
6128,note_on,,176,0,2,,,,,,,0,,75,41
6131,note_on,,3,0,2,,,,,,,0,,71,58
6135,note_off,,4,0,2,,,,,,,0,,76,0
6152,note_off,,17,0,2,,,,,,,0,,73,0
6321,note_on,,169,0,2,,,,,,,0,,73,31
6324,note_on,,3,0,2,,,,,,,0,,76,52
6344,note_off,,20,0,2,,,,,,,0,,71,0
6347,note_off,,3,0,2,,,,,,,0,,75,0
6504,note_on,,157,0,2,,,,,,,0,,75,43
6507,note_on,,3,0,2,,,,,,,0,,71,49
6522,note_off,,15,0,2,,,,,,,0,,76,0
6526,note_off,,4,0,2,,,,,,,0,,73,0
6690,note_on,,164,0,2,,,,,,,0,,73,37
6694,note_on,,4,0,2,,,,,,,0,,76,54
6708,note_off,,14,0,2,,,,,,,0,,71,0
6713,note_off,,5,0,2,,,,,,,0,,75,0
6899,note_on,,186,0,2,,,,,,,0,,75,42
6902,note_on,,3,0,2,,,,,,,0,,71,56
6911,note_off,,9,0,2,,,,,,,0,,76,0
6921,note_off,,10,0,2,,,,,,,0,,73,0
7086,note_on,,165,0,2,,,,,,,0,,76,60
7086,note_on,,0,0,2,,,,,,,0,,73,35
7106,note_off,,20,0,2,,,,,,,0,,71,0
7113,note_off,,7,0,2,,,,,,,0,,75,0
7271,note_on,,158,0,2,,,,,,,0,,75,43
7274,note_on,,3,0,2,,,,,,,0,,71,52
7288,note_off,,14,0,2,,,,,,,0,,73,0
7290,note_off,,2,0,2,,,,,,,0,,76,0
7450,note_on,,160,0,2,,,,,,,0,,73,35
7451,note_on,,1,0,2,,,,,,,0,,76,56
7471,note_off,,20,0,2,,,,,,,0,,71,0
7472,note_off,,1,0,2,,,,,,,0,,75,0
7638,note_on,,166,0,2,,,,,,,0,,71,51
7638,note_on,,0,0,2,,,,,,,0,,75,45
7655,note_off,,17,0,2,,,,,,,0,,73,0
7657,note_off,,2,0,2,,,,,,,0,,76,0
7826,note_on,,169,0,2,,,,,,,0,,73,41
7831,note_on,,5,0,2,,,,,,,0,,76,52
7848,note_off,,17,0,2,,,,,,,0,,71,0
7852,note_off,,4,0,2,,,,,,,0,,75,0
8019,note_on,,167,0,2,,,,,,,0,,75,41
8022,note_on,,3,0,2,,,,,,,0,,71,46
8028,note_off,,6,0,2,,,,,,,0,,76,0
8039,note_off,,11,0,2,,,,,,,0,,73,0
8064,set_tempo,309670,8064,1,0,,,,,,,,,,
8207,note_on,,168,0,2,,,,,,,0,,73,35
8211,note_on,,4,0,2,,,,,,,0,,76,53
8229,note_off,,18,0,2,,,,,,,0,,71,0
8232,note_off,,3,0,2,,,,,,,0,,75,0
8400,set_tempo,309670,336,1,0,,,,,,,,,,
8404,note_on,,172,0,2,,,,,,,0,,75,41
8407,note_on,,3,0,2,,,,,,,0,,71,49
8416,note_off,,9,0,2,,,,,,,0,,76,0
8426,note_off,,10,0,2,,,,,,,0,,73,0
8448,set_tempo,310390,48,1,0,,,,,,,,,,
8496,set_tempo,311120,48,1,0,,,,,,,,,,
8544,set_tempo,311850,48,1,0,,,,,,,,,,
8592,set_tempo,312580,48,1,0,,,,,,,,,,
8596,note_on,,170,0,2,,,,,,,0,,73,41
8599,note_on,,3,0,2,,,,,,,0,,76,60
