tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,key,note,velocity
0,set_tempo,681729,0,1,0,,,,,,,,,,,
0,control_change,,0,0,1,,,,,0,0,0,,,,
0,control_change,,0,0,1,,,,,32,0,0,,,,
0,control_change,,0,0,1,,,,,1,0,0,,,,
0,control_change,,0,0,1,,,,,10,64,0,,,,
0,control_change,,0,0,1,,,,,91,0,0,,,,
0,control_change,,0,0,1,,,,,93,0,0,,,,
0,program_change,,0,0,1,,,,,,,0,0,,,
0,key_signature,,0,1,1,,,,,,,,,F,,
0,key_signature,,0,1,1,,,,,,,,,F,,
0,note_on,,0,0,1,,,,,,,0,,,41,100
0,note_on,,0,0,1,,,,,,,0,,,48,100
0,note_on,,0,0,1,,,,,,,0,,,57,100
0,note_on,,0,0,1,,,,,,,0,,,60,100
0,note_on,,0,0,1,,,,,,,0,,,72,100
0,control_change,,0,0,2,,,,,0,0,1,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,key_signature,,0,1,2,,,,,,,,,F,,
0,control_change,,0,0,2,,,,,93,0,1,,,,
0,control_change,,0,0,2,,,,,91,0,1,,,,
0,control_change,,0,0,2,,,,,10,64,1,,,,
0,control_change,,0,0,2,,,,,1,0,1,,,,
0,program_change,,0,0,2,,,,,,,1,53,,,
0,control_change,,0,0,2,,,,,32,0,1,,,,
0,control_change,,0,0,1,,,,,7,108,0,,,,
0,track_name,,0,1,1,,,,,,,,,,,
0,control_change,,0,0,2,,,,,7,95,1,,,,
0,track_name,,0,1,0,,,,,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,
228,note_on,,228,0,1,,,,,,,0,,,72,0
240,note_on,,12,0,1,,,,,,,0,,,71,100
468,note_on,,228,0,1,,,,,,,0,,,71,0
480,note_on,,12,0,1,,,,,,,0,,,70,100
708,note_on,,228,0,1,,,,,,,0,,,70,0
720,note_on,,12,0,1,,,,,,,0,,,69,100
936,note_on,,0,0,1,,,,,,,0,,,48,0
936,note_on,,0,0,1,,,,,,,0,,,41,0
936,note_on,,0,0,1,,,,,,,0,,,57,0
