tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,461538,,,,,,
1244,note_on,,,,,1244,0,1,,,0,36,62,,
1245,control_change,,,,,1,0,1,,,0,,,64,64
1283,note_off,,,,,38,0,1,,,0,36,64,,
1285,note_on,,,,,2,0,1,,,0,48,47,,
1308,control_change,,,,,23,0,1,,,0,,,64,96
1324,note_off,,,,,16,0,1,,,0,48,64,,
1326,note_on,,,,,2,0,1,,,0,55,59,,
1341,control_change,,,,,15,0,1,,,0,,,64,127
1366,note_off,,,,,25,0,1,,,0,55,64,,
1366,note_on,,,,,0,0,1,,,0,60,59,,
1407,note_off,,,,,41,0,1,,,0,60,64,,
1407,note_on,,,,,0,0,1,,,0,64,64,,
1448,note_off,,,,,41,0,1,,,0,64,64,,
1449,note_on,,,,,1,0,1,,,0,60,56,,
1488,note_off,,,,,39,0,1,,,0,60,64,,
1489,note_on,,,,,1,0,1,,,0,67,44,,
1529,note_off,,,,,40,0,1,,,0,67,64,,
1531,note_on,,,,,2,0,1,,,0,72,50,,
1570,note_off,,,,,39,0,1,,,0,72,64,,
1572,note_on,,,,,2,0,1,,,0,76,67,,
1611,note_off,,,,,39,0,1,,,0,76,64,,
1612,note_on,,,,,1,0,1,,,0,72,41,,
1653,note_off,,,,,41,0,1,,,0,72,64,,
1653,note_on,,,,,0,0,1,,,0,79,44,,
1694,note_on,,,,,0,0,1,,,0,84,52,,
1694,note_off,,,,,41,0,1,,,0,79,64,,
1733,note_off,,,,,39,0,1,,,0,84,64,,
1735,note_on,,,,,2,0,1,,,0,88,62,,
1775,note_off,,,,,40,0,1,,,0,88,64,,
1777,note_on,,,,,2,0,1,,,0,84,50,,
1816,note_off,,,,,39,0,1,,,0,84,64,,
1818,note_on,,,,,2,0,1,,,0,91,47,,
1858,note_on,,,,,0,0,1,,,0,96,52,,
1858,note_off,,,,,40,0,1,,,0,91,64,,
1899,note_on,,,,,0,0,1,,,0,100,67,,
1899,note_off,,,,,41,0,1,,,0,96,64,,
1940,note_on,,,,,0,0,1,,,0,96,52,,
1940,note_off,,,,,41,0,1,,,0,100,64,,
1980,note_off,,,,,40,0,1,,,0,96,64,,
1981,note_on,,,,,1,0,1,,,0,91,29,,
2021,note_off,,,,,40,0,1,,,0,91,64,,
2023,note_on,,,,,2,0,1,,,0,84,47,,
2062,note_off,,,,,39,0,1,,,0,84,64,,
2063,note_on,,,,,1,0,1,,,0,88,67,,
2103,note_off,,,,,40,0,1,,,0,88,64,,
2104,note_on,,,,,1,0,1,,,0,84,47,,
2145,note_off,,,,,41,0,1,,,0,84,64,,
2145,note_on,,,,,0,0,1,,,0,79,44,,
2184,note_off,,,,,39,0,1,,,0,79,64,,
2186,note_on,,,,,2,0,1,,,0,72,41,,
2225,note_off,,,,,39,0,1,,,0,72,64,,
2227,note_on,,,,,2,0,1,,,0,76,62,,
2267,note_off,,,,,40,0,1,,,0,76,64,,
2268,note_on,,,,,1,0,1,,,0,72,52,,
2308,note_on,,,,,0,0,1,,,0,67,41,,
2308,note_off,,,,,40,0,1,,,0,72,64,,
2349,note_off,,,,,41,0,1,,,0,67,64,,
2350,note_on,,,,,1,0,1,,,0,60,32,,
2390,note_off,,,,,40,0,1,,,0,60,64,,
2391,note_on,,,,,1,0,1,,,0,64,58,,
2430,note_off,,,,,39,0,1,,,0,64,64,,
2432,note_on,,,,,2,0,1,,,0,60,47,,
2472,note_off,,,,,40,0,1,,,0,60,64,,
2473,note_on,,,,,1,0,1,,,0,55,44,,
2513,note_off,,,,,40,0,1,,,0,55,64,,
2515,note_on,,,,,2,0,1,,,0,48,41,,
2554,note_off,,,,,39,0,1,,,0,48,64,,
2554,note_on,,,,,0,0,1,,,0,29,75,,
2564,note_on,,,,,10,0,1,,,0,41,74,,
2564,note_on,,,,,0,0,1,,,0,29,70,,
2580,control_change,,,,,16,0,1,,,0,,,64,64
2590,control_change,,,,,10,0,1,,,0,,,64,0
2595,note_on,,,,,0,0,1,,,0,48,59,,
2595,note_off,,,,,5,0,1,,,0,29,64,,
2637,note_off,,,,,42,0,1,,,0,48,64,,
2637,note_on,,,,,0,0,1,,,0,57,32,,
2676,note_off,,,,,39,0,1,,,0,57,64,,
2678,note_on,,,,,2,0,1,,,0,60,52,,
2680,control_change,,,,,2,0,1,,,0,,,64,64
2693,control_change,,,,,13,0,1,,,0,,,64,96
2710,control_change,,,,,17,0,1,,,0,,,64,127
2717,note_off,,,,,7,0,1,,,0,60,64,,
2719,note_on,,,,,2,0,1,,,0,65,67,,
2759,note_off,,,,,40,0,1,,,0,65,64,,
2759,note_on,,,,,0,0,1,,,0,60,52,,
2800,note_on,,,,,0,0,1,,,0,69,52,,
2800,note_off,,,,,41,0,1,,,0,60,64,,
2841,note_off,,,,,41,0,1,,,0,69,64,,
2842,note_on,,,,,1,0,1,,,0,72,59,,
2880,note_off,,,,,38,0,1,,,0,72,64,,
2883,note_on,,,,,3,0,1,,,0,77,67,,
2922,note_off,,,,,39,0,1,,,0,77,64,,
2924,note_on,,,,,2,0,1,,,0,72,59,,
2964,note_off,,,,,40,0,1,,,0,72,64,,
2965,note_on,,,,,1,0,1,,,0,81,56,,
3004,note_off,,,,,39,0,1,,,0,81,64,,
3005,note_on,,,,,1,0,1,,,0,84,59,,
3031,note_off,,,,,26,0,1,,,0,29,64,,
3046,note_off,,,,,15,0,1,,,0,84,64,,
3046,note_on,,,,,0,0,1,,,0,89,62,,
3068,note_off,,,,,22,0,1,,,0,41,64,,
3069,control_change,,,,,1,0,1,,,0,,,123,0
3087,note_off,,,,,18,0,1,,,0,89,64,,
3087,note_on,,,,,0,0,1,,,0,84,59,,
3127,note_off,,,,,40,0,1,,,0,84,64,,
3129,note_on,,,,,2,0,1,,,0,93,50,,
3168,note_off,,,,,39,0,1,,,0,93,64,,
3170,note_on,,,,,2,0,1,,,0,96,59,,
3209,note_off,,,,,39,0,1,,,0,96,64,,
3211,note_on,,,,,2,0,1,,,0,100,67,,
3211,note_on,,,,,0,0,1,,,0,30,74,,
3220,note_on,,,,,9,0,1,,,0,42,74,,
3232,control_change,,,,,12,0,1,,,0,,,64,96
3241,control_change,,,,,9,0,1,,,0,,,64,0
3251,note_on,,,,,0,0,1,,,0,96,56,,
3251,note_off,,,,,10,0,1,,,0,100,64,,
3292,note_off,,,,,41,0,1,,,0,96,64,,
3292,note_on,,,,,0,0,1,,,0,93,34,,
3311,control_change,,,,,19,0,1,,,0,,,64,64
3320,control_change,,,,,9,0,1,,,0,,,64,96
3331,control_change,,,,,11,0,1,,,0,,,64,127
3333,note_on,,,,,0,0,1,,,0,84,44,,
3333,note_off,,,,,2,0,1,,,0,93,64,,
3373,note_off,,,,,40,0,1,,,0,84,64,,
3374,note_on,,,,,1,0,1,,,0,88,67,,
3414,note_off,,,,,40,0,1,,,0,88,64,,
3416,note_on,,,,,2,0,1,,,0,84,52,,
3455,note_off,,,,,39,0,1,,,0,84,64,,
3456,note_on,,,,,1,0,1,,,0,81,47,,
3496,note_off,,,,,40,0,1,,,0,81,64,,
3497,note_on,,,,,1,0,1,,,0,72,47,,
3538,note_off,,,,,41,0,1,,,0,72,64,,
3538,note_on,,,,,0,0,1,,,0,76,75,,
3577,note_off,,,,,39,0,1,,,0,76,64,,
3579,note_on,,,,,2,0,1,,,0,72,52,,
3605,note_off,,,,,26,0,1,,,0,30,64,,
3618,note_off,,,,,13,0,1,,,0,72,64,,
3620,note_on,,,,,2,0,1,,,0,69,52,,
3643,note_off,,,,,23,0,1,,,0,42,64,,
3643,control_change,,,,,0,0,1,,,0,,,123,0
3660,note_off,,,,,17,0,1,,,0,69,64,,
3662,note_on,,,,,2,0,1,,,0,60,52,,
3701,note_off,,,,,39,0,1,,,0,60,64,,
3701,note_on,,,,,0,0,1,,,0,62,62,,
3743,note_on,,,,,0,0,1,,,0,60,44,,
3743,note_off,,,,,42,0,1,,,0,62,64,,
