tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,control,value,channel,program,note,velocity
0,set_tempo,952321,0,1,0,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,0,0,0,,,
0,control_change,,0,0,1,,,,,,32,0,0,,,
0,control_change,,0,0,1,,,,,,1,0,0,,,
0,control_change,,0,0,1,,,,,,10,64,0,,,
0,control_change,,0,0,1,,,,,,91,0,0,,,
0,control_change,,0,0,1,,,,,,93,0,0,,,
0,program_change,,0,0,1,,,,,,,,0,0,,
0,track_name,,0,1,1,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,0,,69,100
0,note_on,,0,0,1,,,,,,,,0,,81,100
0,control_change,,0,0,2,,,,,,91,0,1,,,
0,key_signature,,0,1,2,,,,,F,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,7,95,1,,,
0,control_change,,0,0,2,,,,,,0,0,1,,,
0,control_change,,0,0,2,,,,,,32,0,1,,,
0,program_change,,0,0,2,,,,,,,,1,53,,
0,control_change,,0,0,2,,,,,,1,0,1,,,
0,control_change,,0,0,2,,,,,,10,64,1,,,
0,control_change,,0,0,1,,,,,,7,102,0,,,
0,key_signature,,0,1,1,,,,,F,,,,,,
0,control_change,,0,0,2,,,,,,93,0,1,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
228,note_on,,0,0,1,,,,,,,,0,,69,0
228,note_on,,228,0,1,,,,,,,,0,,81,0
240,note_on,,12,0,1,,,,,,,,0,,74,100
240,note_on,,0,0,1,,,,,,,,0,,62,100
240,note_on,,0,0,1,,,,,,,,0,,65,100
468,note_on,,228,0,1,,,,,,,,0,,65,0
468,note_on,,0,0,1,,,,,,,,0,,62,0
468,note_on,,0,0,1,,,,,,,,0,,74,0
480,note_on,,0,0,1,,,,,,,,0,,57,100
480,note_on,,12,0,1,,,,,,,,0,,76,100
480,note_on,,0,0,1,,,,,,,,0,,64,100
708,note_on,,0,0,1,,,,,,,,0,,64,0
708,note_on,,0,0,1,,,,,,,,0,,76,0
708,note_on,,228,0,1,,,,,,,,0,,57,0
720,note_on,,12,0,1,,,,,,,,0,,69,100
930,note_on,,210,0,1,,,,,,,,0,,69,100
948,note_on,,18,0,1,,,,,,,,0,,69,0
960,note_on,,12,0,1,,,,,,,,0,,55,100
960,note_on,,0,0,1,,,,,,,,0,,67,100
1074,note_on,,114,0,1,,,,,,,,0,,67,0
1074,note_on,,0,0,1,,,,,,,,0,,55,0
1080,note_on,,6,0,1,,,,,,,,0,,53,100
1080,note_on,,0,0,1,,,,,,,,0,,65,100
1194,note_on,,0,0,1,,,,,,,,0,,53,0
1194,note_on,,114,0,1,,,,,,,,0,,65,0
1200,note_on,,0,0,1,,,,,,,,0,,64,100
1200,note_on,,0,0,1,,,,,,,,0,,52,100
1200,note_on,,6,0,1,,,,,,,,0,,69,0
1314,note_on,,114,0,1,,,,,,,,0,,64,0
1314,note_on,,0,0,1,,,,,,,,0,,52,0
1320,note_on,,6,0,1,,,,,,,,0,,50,100
1320,note_on,,0,0,1,,,,,,,,0,,62,100
1434,note_on,,114,0,1,,,,,,,,0,,62,0
1434,note_on,,0,0,1,,,,,,,,0,,50,0
1440,note_on,,6,0,1,,,,,,,,0,,52,100
1440,note_on,,0,0,1,,,,,,,,0,,64,100
1668,note_on,,228,0,1,,,,,,,,0,,64,0
1668,note_on,,0,0,1,,,,,,,,0,,52,0
1680,note_on,,12,0,1,,,,,,,,0,,45,100
1680,note_on,,0,0,1,,,,,,,,0,,57,100
1728,control_change,,48,0,1,,,,,,7,103,0,,,
1824,control_change,,96,0,1,,,,,,7,104,0,,,
1908,note_on,,84,0,1,,,,,,,,0,,45,0
1920,control_change,,12,0,1,,,,,,7,105,0,,,
1920,note_on,,0,0,1,,,,,,,,0,,61,100
1920,note_on,,0,0,1,,,,,,,,0,,69,100
1920,note_on,,0,0,1,,,,,,,,0,,45,100
1920,note_on,,0,0,1,,,,,,,,0,,52,100
2000,control_change,,80,0,1,,,,,,7,106,0,,,
2096,control_change,,96,0,1,,,,,,7,107,0,,,
2176,control_change,,80,0,1,,,,,,7,108,0,,,
2272,control_change,,96,0,1,,,,,,7,109,0,,,
2364,note_on,,92,0,1,,,,,,,,0,,57,0
2368,control_change,,4,0,1,,,,,,7,110,0,,,
2376,note_on,,8,0,1,,,,,,,,0,,52,0
2376,note_on,,0,0,1,,,,,,,,0,,45,0
2376,note_on,,0,0,1,,,,,,,,0,,69,0
2376,note_on,,0,0,1,,,,,,,,0,,61,0
2400,note_on,,24,0,1,,,,,,,,0,,50,100
2400,note_on,,0,0,1,,,,,,,,0,,69,100
2400,note_on,,0,0,1,,,,,,,,0,,62,100
2552,control_change,,152,0,1,,,,,,7,109,0,,,
2584,control_change,,32,0,1,,,,,,7,108,0,,,
2628,note_on,,44,0,1,,,,,,,,0,,62,0
2632,control_change,,4,0,1,,,,,,7,107,0,,,
2640,note_on,,8,0,1,,,,,,,,0,,58,100
2680,control_change,,40,0,1,,,,,,7,106,0,,,
2712,control_change,,32,0,1,,,,,,7,105,0,,,
2760,control_change,,48,0,1,,,,,,7,104,0,,,
2808,control_change,,48,0,1,,,,,,7,103,0,,,
2820,note_on,,12,0,1,,,,,,,,0,,60,100
2840,control_change,,20,0,1,,,,,,7,102,0,,,
2848,note_on,,8,0,1,,,,,,,,0,,60,0
2850,note_on,,2,0,1,,,,,,,,0,,58,100
2856,note_on,,0,0,1,,,,,,,,0,,50,0
2856,note_on,,6,0,1,,,,,,,,0,,69,0
2868,note_on,,12,0,1,,,,,,,,0,,58,0
2880,note_on,,0,0,1,,,,,,,,0,,69,100
2880,note_on,,0,0,1,,,,,,,,0,,52,100
2880,note_on,,0,0,1,,,,,,,,0,,45,100
2880,note_on,,12,0,1,,,,,,,,0,,57,100
2888,control_change,,8,0,1,,,,,,7,101,0,,,
2920,control_change,,32,0,1,,,,,,7,100,0,,,
2968,control_change,,48,0,1,,,,,,7,99,0,,,
3016,control_change,,48,0,1,,,,,,7,98,0,,,
3048,control_change,,32,0,1,,,,,,7,97,0,,,
3096,control_change,,48,0,1,,,,,,7,96,0,,,
3120,note_on,,24,0,1,,,,,,,,0,,58,0
3144,control_change,,24,0,1,,,,,,7,95,0,,,
3176,control_change,,32,0,1,,,,,,7,94,0,,,
3224,control_change,,48,0,1,,,,,,7,93,0,,,
3256,control_change,,32,0,1,,,,,,7,92,0,,,
3304,control_change,,48,0,1,,,,,,7,91,0,,,
3352,control_change,,48,0,1,,,,,,7,90,0,,,
3816,note_on,,464,0,1,,,,,,,,0,,45,0
3816,note_on,,0,0,1,,,,,,,,0,,52,0
3816,note_on,,0,0,1,,,,,,,,0,,69,0
3816,note_on,,0,0,1,,,,,,,,0,,57,0
3840,note_on,,0,0,1,,,,,,,,0,,65,100
3840,note_on,,24,0,1,,,,,,,,0,,69,100
3840,note_on,,0,0,1,,,,,,,,0,,57,100
3840,note_on,,3840,0,2,,,,,,,,1,,69,100
3840,note_on,,0,0,1,,,,,,,,0,,50,100
4068,note_on,,228,0,1,,,,,,,,0,,57,0
4068,note_on,,0,0,1,,,,,,,,0,,50,0
4068,note_on,,0,0,1,,,,,,,,0,,65,0
4068,note_on,,228,0,2,,,,,,,,1,,69,0
4068,note_on,,0,0,1,,,,,,,,0,,69,0
4080,note_on,,0,0,1,,,,,,,,0,,58,100
4080,note_on,,0,0,1,,,,,,,,0,,49,100
4080,note_on,,12,0,1,,,,,,,,0,,67,100
4080,note_on,,12,0,2,,,,,,,,1,,67,100
4080,note_on,,0,0,1,,,,,,,,0,,64,100
4308,note_on,,228,0,2,,,,,,,,1,,67,0
4308,note_on,,228,0,1,,,,,,,,0,,58,0
4308,note_on,,0,0,1,,,,,,,,0,,49,0
4308,note_on,,0,0,1,,,,,,,,0,,64,0
4308,note_on,,0,0,1,,,,,,,,0,,67,0
4320,note_on,,12,0,1,,,,,,,,0,,65,100
4320,note_on,,0,0,1,,,,,,,,0,,62,100
4320,note_on,,0,0,1,,,,,,,,0,,57,100
4320,note_on,,0,0,1,,,,,,,,0,,50,100
4320,note_on,,12,0,2,,,,,,,,1,,65,100
4548,note_on,,228,0,1,,,,,,,,0,,57,0
4548,note_on,,0,0,1,,,,,,,,0,,62,0
4548,note_on,,228,0,2,,,,,,,,1,,65,0
4548,note_on,,0,0,1,,,,,,,,0,,65,0
4548,note_on,,0,0,1,,,,,,,,0,,50,0
4560,note_on,,12,0,2,,,,,,,,1,,64,100
4560,note_on,,12,0,1,,,,,,,,0,,64,100
4560,note_on,,0,0,1,,,,,,,,0,,61,100
4560,note_on,,0,0,1,,,,,,,,0,,45,100
4560,note_on,,0,0,1,,,,,,,,0,,55,100
4788,note_on,,228,0,1,,,,,,,,0,,55,0
4788,note_on,,0,0,1,,,,,,,,0,,64,0
4788,note_on,,0,0,1,,,,,,,,0,,61,0
4788,note_on,,228,0,2,,,,,,,,1,,64,0
4788,note_on,,0,0,1,,,,,,,,0,,45,0
4800,note_on,,0,0,1,,,,,,,,0,,46,100
4800,note_on,,0,0,1,,,,,,,,0,,53,100
4800,note_on,,12,0,2,,,,,,,,1,,62,100
4800,note_on,,12,0,1,,,,,,,,0,,62,100
5028,note_on,,228,0,1,,,,,,,,0,,53,0
5028,note_on,,0,0,1,,,,,,,,0,,62,0
5028,note_on,,0,0,1,,,,,,,,0,,46,0
5028,note_on,,228,0,2,,,,,,,,1,,62,0
5040,note_on,,0,0,1,,,,,,,,0,,45,100
5040,note_on,,0,0,1,,,,,,,,0,,61,100
5040,note_on,,12,0,1,,,,,,,,0,,64,100
5040,note_on,,12,0,2,,,,,,,,1,,64,100
5154,note_on,,114,0,1,,,,,,,,0,,45,0
5160,note_on,,6,0,1,,,,,,,,0,,43,100
5268,note_on,,0,0,1,,,,,,,,0,,64,0
5268,note_on,,228,0,2,,,,,,,,1,,64,0
5268,note_on,,108,0,1,,,,,,,,0,,61,0
5274,note_on,,6,0,1,,,,,,,,0,,43,0
5280,note_on,,6,0,1,,,,,,,,0,,65,100
5280,note_on,,0,0,1,,,,,,,,0,,62,100
5280,note_on,,0,0,1,,,,,,,,0,,41,100
5280,note_on,,12,0,2,,,,,,,,1,,65,100
5394,note_on,,114,0,1,,,,,,,,0,,41,0
5400,note_on,,6,0,1,,,,,,,,0,,40,100
5508,note_on,,0,0,1,,,,,,,,0,,65,0
5508,note_on,,228,0,2,,,,,,,,1,,65,0
5508,note_on,,108,0,1,,,,,,,,0,,62,0
5514,note_on,,6,0,1,,,,,,,,0,,40,0
5520,note_on,,6,0,1,,,,,,,,0,,65,100
5520,note_on,,0,0,1,,,,,,,,0,,38,100
5520,note_on,,12,0,2,,,,,,,,1,,65,100
5520,note_on,,0,0,1,,,,,,,,0,,57,100
5520,note_on,,0,0,1,,,,,,,,0,,62,100
5748,note_on,,228,0,1,,,,,,,,0,,57,0
5748,note_on,,0,0,1,,,,,,,,0,,38,0
5748,note_on,,0,0,1,,,,,,,,0,,65,0
5748,note_on,,0,0,1,,,,,,,,0,,62,0
5748,note_on,,228,0,2,,,,,,,,1,,65,0
5760,note_on,,0,0,1,,,,,,,,0,,67,100
5760,note_on,,0,0,1,,,,,,,,0,,48,100
5760,note_on,,12,0,1,,,,,,,,0,,64,100
5760,note_on,,0,0,1,,,,,,,,0,,60,100
5760,note_on,,0,0,1,,,,,,,,0,,55,100
