tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,,,12,16,6,8,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,,Ab,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,,,434783,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,,
30,control_change,30,0,1,,,,,,,,,,,,,,,0,0,0,,,
32,program_change,2,0,1,,,,,,,,,,,,,,,,,0,0,,
33,control_change,1,0,1,,,,,,,,,,,,,,,7,127,0,,,
120,control_change,87,0,1,,,,,,,,,,,,,,,93,20,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,91,64,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,0,0,0,,,
690,set_tempo,690,1,0,,,,,,,,,,,,,,1200000,,,,,,
690,note_on,570,0,1,,,,,,,,,,,,,,,,,0,,63,73
717,control_change,27,0,1,,,,,,,,,,,,,,,64,127,0,,,
719,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,63,0
720,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,68,77
720,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,44,61
720,set_tempo,30,1,0,,,,,,,,,,,,,,447761,,,,,,
739,note_on,19,0,1,,,,,,,,,,,,,,,,,0,,44,0
747,note_on,8,0,1,,,,,,,,,,,,,,,,,0,,68,0
750,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,60,62
750,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,80,78
750,note_on,3,0,1,,,,,,,,,,,,,,,,,0,,72,76
779,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,72,0
779,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,80,0
779,note_on,29,0,1,,,,,,,,,,,,,,,,,0,,60,0
780,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,70,77
780,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,56,62
807,note_on,27,0,1,,,,,,,,,,,,,,,,,0,,70,0
809,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,56,0
810,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,73,65
810,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,82,69
810,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,51,58
839,note_on,29,0,1,,,,,,,,,,,,,,,,,0,,82,0
