tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,1,,,,0,0,0,,,
0,control_change,,,,,0,0,1,,,,32,0,0,,,
0,control_change,,,,,0,0,1,,,,7,127,0,,,
0,control_change,,,,,0,0,1,,,,10,48,0,,,
0,program_change,,,,,0,0,1,,,,,,0,0,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,program_change,,,,,0,0,2,,,,,,1,0,,
0,control_change,,,,,0,0,2,,,,7,127,1,,,
0,control_change,,,,,0,0,2,,,,10,70,1,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,key_signature,,,,,0,1,0,Bb,,,,,,,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,
36,control_change,,,,,36,0,2,,,,91,80,1,,,
36,control_change,,,,,36,0,1,,,,91,80,0,,,
38,control_change,,,,,2,0,2,,,,93,70,1,,,
38,control_change,,,,,2,0,1,,,,93,70,0,,,
40,control_change,,,,,2,0,1,,,,10,64,0,,,
96,set_tempo,,,,,96,1,0,,1000000,,,,,,,
96,note_on,,,,,56,0,1,,,,,,0,,74,54
142,note_on,,,,,46,0,1,,,,,,0,,74,0
144,note_on,,,,,106,0,2,,,,,,1,,55,20
144,control_change,,,,,0,0,2,,,,64,0,1,,,
144,note_on,,,,,0,0,2,,,,,,1,,62,24
144,note_on,,,,,0,0,2,,,,,,1,,58,22
144,note_on,,,,,2,0,1,,,,,,0,,67,51
144,set_tempo,,,,,48,1,0,,769231,,,,,,,
144,control_change,,,,,0,0,1,,,,64,0,0,,,
152,control_change,,,,,8,0,1,,,,64,127,0,,,
152,control_change,,,,,8,0,2,,,,64,127,1,,,
192,note_on,,,,,40,0,2,,,,,,1,,62,0
192,note_on,,,,,0,0,2,,,,,,1,,58,0
192,note_on,,,,,0,0,2,,,,,,1,,55,0
192,note_on,,,,,0,0,2,,,,,,1,,43,34
192,set_tempo,,,,,48,1,0,,508475,,,,,,,
216,note_on,,,,,24,0,2,,,,,,1,,43,0
240,note_on,,,,,0,0,1,,,,,,0,,70,46
240,note_on,,,,,88,0,1,,,,,,0,,67,0
240,set_tempo,,,,,48,1,0,,618557,,,,,,,
242,control_change,,,,,26,0,2,,,,64,0,1,,,
242,control_change,,,,,2,0,1,,,,64,0,0,,,
288,note_on,,,,,0,0,2,,,,,,1,,60,24
288,set_tempo,,,,,48,1,0,,458015,,,,,,,
288,note_on,,,,,46,0,2,,,,,,1,,55,22
288,control_change,,,,,0,0,1,,,,64,0,0,,,
288,note_on,,,,,0,0,1,,,,,,0,,69,52
288,control_change,,,,,0,0,2,,,,64,0,1,,,
288,note_on,,,,,0,0,2,,,,,,1,,63,26
288,note_on,,,,,46,0,1,,,,,,0,,70,0
296,control_change,,,,,8,0,2,,,,64,127,1,,,
296,control_change,,,,,8,0,1,,,,64,127,0,,,
312,note_on,,,,,0,0,1,,,,,,0,,70,54
312,note_on,,,,,16,0,1,,,,,,0,,69,0
312,set_tempo,,,,,24,1,0,,422535,,,,,,,
336,note_on,,,,,0,0,2,,,,,,1,,43,38
336,note_on,,,,,0,0,2,,,,,,1,,55,0
336,note_on,,,,,0,0,2,,,,,,1,,60,0
336,note_on,,,,,40,0,2,,,,,,1,,63,0
336,note_on,,,,,0,0,1,,,,,,0,,67,60
336,set_tempo,,,,,24,1,0,,444444,,,,,,,
336,note_on,,,,,24,0,1,,,,,,0,,70,0
360,note_on,,,,,24,0,2,,,,,,1,,43,0
384,set_tempo,,,,,48,1,0,,333333,,,,,,,
384,note_on,,,,,0,0,1,,,,,,0,,69,61
384,note_on,,,,,48,0,1,,,,,,0,,67,0
386,control_change,,,,,2,0,1,,,,64,0,0,,,
