tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,key,note,velocity
0,set_tempo,499969,0,1,0,,,,,,,,,,,
0,control_change,,0,0,2,,,,,91,0,1,,,,
0,control_change,,0,0,2,,,,,10,64,1,,,,
0,control_change,,0,0,2,,,,,1,0,1,,,,
0,program_change,,0,0,2,,,,,,,1,53,,,
0,control_change,,0,0,2,,,,,32,0,1,,,,
0,control_change,,0,0,2,,,,,0,0,1,,,,
0,control_change,,0,0,2,,,,,7,95,1,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,control_change,,0,0,1,,,,,0,0,0,,,,
0,control_change,,0,0,2,,,,,93,0,1,,,,
0,note_on,,0,0,1,,,,,,,0,,,53,100
0,track_name,,0,1,1,,,,,,,,,,,
0,key_signature,,0,1,1,,,,,,,,,Gb,,
0,key_signature,,0,1,1,,,,,,,,,Gb,,
0,program_change,,0,0,1,,,,,,,0,0,,,
0,control_change,,0,0,1,,,,,93,0,0,,,,
0,control_change,,0,0,1,,,,,91,0,0,,,,
0,control_change,,0,0,1,,,,,10,64,0,,,,
0,control_change,,0,0,1,,,,,1,0,0,,,,
0,control_change,,0,0,1,,,,,32,0,0,,,,
0,note_on,,0,0,1,,,,,,,0,,,73,100
0,key_signature,,0,1,2,,,,,,,,,Gb,,
0,control_change,,0,0,1,,,,,7,95,0,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,
113,control_change,,113,0,1,,,,,7,96,0,,,,
227,control_change,,114,0,1,,,,,7,97,0,,,,
340,control_change,,113,0,1,,,,,7,98,0,,,,
456,note_on,,116,0,1,,,,,,,0,,,73,0
480,note_on,,0,0,1,,,,,,,0,,,61,100
480,note_on,,0,0,1,,,,,,,0,,,56,100
480,note_on,,24,0,1,,,,,,,0,,,75,100
510,control_change,,30,0,1,,,,,7,99,0,,,,
624,control_change,,114,0,1,,,,,7,100,0,,,,
737,control_change,,113,0,1,,,,,7,101,0,,,,
907,control_change,,170,0,1,,,,,7,102,0,,,,
936,note_on,,29,0,1,,,,,,,0,,,61,0
936,note_on,,0,0,1,,,,,,,0,,,56,0
960,note_on,,0,0,1,,,,,,,0,,,61,100
960,note_on,,24,0,1,,,,,,,0,,,56,100
1021,control_change,,61,0,1,,,,,7,103,0,,,,
1134,control_change,,113,0,1,,,,,7,104,0,,,,
1188,note_on,,54,0,1,,,,,,,0,,,75,0
1200,note_on,,12,0,1,,,,,,,0,,,73,100
1304,control_change,,104,0,1,,,,,7,105,0,,,,
1416,note_on,,112,0,1,,,,,,,0,,,61,0
1416,note_on,,0,0,1,,,,,,,0,,,56,0
1416,note_on,,0,0,1,,,,,,,0,,,53,0
