tick,type,data,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,sequencer_specific,"(0, 0, 65)",0,1,0,,,,,,,,,,,,,
0,control_change,,0,0,4,,,,,,,,32,0,3,,,
0,control_change,,0,0,4,,,,,,,,0,0,3,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,
0,control_change,,0,0,8,,,,,,,,0,0,7,,,
0,control_change,,0,0,6,,,,,,,,7,70,5,,,
0,program_change,,0,0,8,,,,,,,,,,7,71,,
0,control_change,,0,0,8,,,,,,,,7,60,7,,,
0,control_change,,0,0,8,,,,,,,,91,127,7,,,
0,control_change,,0,0,3,,,,,,,,91,127,2,,,
0,control_change,,0,0,3,,,,,,,,7,80,2,,,
0,program_change,,0,0,3,,,,,,,,,,2,49,,
0,control_change,,0,0,3,,,,,,,,32,0,2,,,
0,control_change,,0,0,3,,,,,,,,0,0,2,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,program_change,,0,0,4,,,,,,,,,,3,49,,
0,control_change,,0,0,4,,,,,,,,7,70,3,,,
0,control_change,,0,0,4,,,,,,,,91,127,3,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,
0,control_change,,0,0,6,,,,,,,,91,127,5,,,
0,control_change,,0,0,6,,,,,,,,32,0,5,,,
0,control_change,,0,0,6,,,,,,,,0,0,5,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,
0,control_change,,0,0,5,,,,,,,,91,127,4,,,
0,control_change,,0,0,5,,,,,,,,7,45,4,,,
0,program_change,,0,0,5,,,,,,,,,,4,43,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,
0,control_change,,0,0,5,,,,,,,,32,0,4,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,
0,control_change,,0,0,7,,,,,,,,0,0,6,,,
0,control_change,,0,0,7,,,,,,,,32,0,6,,,
0,program_change,,0,0,7,,,,,,,,,,6,68,,
0,control_change,,0,0,7,,,,,,,,7,60,6,,,
0,control_change,,0,0,7,,,,,,,,91,127,6,,,
0,control_change,,0,0,5,,,,,,,,0,0,4,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,
0,control_change,,0,0,8,,,,,,,,32,0,7,,,
0,control_change,,0,0,2,,,,,,,,0,0,1,,,
0,control_change,,0,0,1,,,,,,,,32,0,0,,,
0,control_change,,0,0,1,,,,,,,,0,0,0,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
