tick,type,data,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 65)",0,1,0,,,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,,0,0,,,,
0,control_change,,0,0,1,,,,,,,,,0,7,110,,
0,control_change,,0,0,1,,,,,,,,,0,10,64,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,sequencer_specific,"(0, 0, 65)",0,1,0,,,,,,,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,,0,1,0,,,,,A,,,,,,,,
0,set_tempo,,0,1,0,,,,,,368098,,,,,,,
240,note_on,,240,0,1,,,,,,,,,0,,,67,93
248,control_change,,0,0,1,,,,,,,,,0,7,110,,
248,control_change,,0,0,1,,,,,,,,,0,93,5,,
248,control_change,,0,0,1,,,,,,,,,0,91,30,,
248,control_change,,0,0,1,,,,,,,,,0,0,0,,
248,control_change,,8,0,1,,,,,,,,,0,121,0,,
248,program_change,,0,0,1,,,,,,,,0,0,,,,
365,note_on,,0,0,1,,,,,,,,,0,,,48,87
365,note_on,,117,0,1,,,,,,,,,0,,,76,100
368,note_on,,3,0,1,,,,,,,,,0,,,67,0
373,control_change,,5,0,1,,,,,,,,,0,64,127,,
482,note_on,,109,0,1,,,,,,,,,0,,,55,74
483,note_on,,1,0,1,,,,,,,,,0,,,64,84
491,note_on,,8,0,1,,,,,,,,,0,,,55,0
492,note_on,,1,0,1,,,,,,,,,0,,,64,0
533,note_on,,41,0,1,,,,,,,,,0,,,76,0
540,note_on,,7,0,1,,,,,,,,,0,,,75,96
595,note_on,,55,0,1,,,,,,,,,0,,,77,102
600,note_on,,5,0,1,,,,,,,,,0,,,64,89
600,note_on,,0,0,1,,,,,,,,,0,,,75,0
602,note_on,,2,0,1,,,,,,,,,0,,,55,71
604,note_on,,2,0,1,,,,,,,,,0,,,48,0
625,note_on,,21,0,1,,,,,,,,,0,,,64,0
630,control_change,,5,0,1,,,,,,,,,0,64,0,,
637,note_on,,7,0,1,,,,,,,,,0,,,55,0
649,note_on,,12,0,1,,,,,,,,,0,,,76,95
661,note_on,,12,0,1,,,,,,,,,0,,,77,0
705,note_on,,44,0,1,,,,,,,,,0,,,74,104
707,note_on,,0,0,1,,,,,,,,,0,,,76,0
707,note_on,,2,0,1,,,,,,,,,0,,,48,92
715,control_change,,8,0,1,,,,,,,,,0,64,127,,
768,note_on,,53,0,1,,,,,,,,,0,,,73,103
773,note_on,,5,0,1,,,,,,,,,0,,,74,0
820,note_on,,47,0,1,,,,,,,,,0,,,76,103
820,note_on,,0,0,1,,,,,,,,,0,,,57,57
820,note_on,,0,0,1,,,,,,,,,0,,,54,87
820,note_on,,0,0,1,,,,,,,,,0,,,62,93
822,note_on,,2,0,1,,,,,,,,,0,,,73,0
829,note_on,,7,0,1,,,,,,,,,0,,,57,0
837,note_on,,8,0,1,,,,,,,,,0,,,54,0
849,note_on,,12,0,1,,,,,,,,,0,,,62,0
850,control_change,,1,0,1,,,,,,,,,0,64,0,,
934,note_on,,84,0,1,,,,,,,,,0,,,76,0
936,note_on,,0,0,1,,,,,,,,,0,,,62,69
936,note_on,,2,0,1,,,,,,,,,0,,,74,95
939,note_on,,0,0,1,,,,,,,,,0,,,54,77
939,note_on,,3,0,1,,,,,,,,,0,,,57,79
946,note_on,,7,0,1,,,,,,,,,0,,,48,0
965,note_on,,19,0,1,,,,,,,,,0,,,62,0
975,note_on,,10,0,1,,,,,,,,,0,,,57,0
977,note_on,,2,0,1,,,,,,,,,0,,,54,0
1001,note_on,,24,0,1,,,,,,,,,0,,,74,0
1061,note_on,,60,0,1,,,,,,,,,0,,,74,106
1066,note_on,,5,0,1,,,,,,,,,0,,,48,78
1080,control_change,,14,0,1,,,,,,,,,0,64,127,,
1188,note_on,,0,0,1,,,,,,,,,0,,,59,62
1188,note_on,,108,0,1,,,,,,,,,0,,,62,69
1188,note_on,,0,0,1,,,,,,,,,0,,,53,68
1189,note_on,,1,0,1,,,,,,,,,0,,,56,95
1197,note_on,,8,0,1,,,,,,,,,0,,,59,0
1199,note_on,,2,0,1,,,,,,,,,0,,,56,0
1206,note_on,,7,0,1,,,,,,,,,0,,,62,0
1217,note_on,,11,0,1,,,,,,,,,0,,,53,0
1231,note_on,,14,0,1,,,,,,,,,0,,,74,0
1243,note_on,,12,0,1,,,,,,,,,0,,,73,103
1295,note_on,,52,0,1,,,,,,,,,0,,,76,105
1295,note_on,,0,0,1,,,,,,,,,0,,,53,95
1297,note_on,,0,0,1,,,,,,,,,0,,,59,68
1297,note_on,,0,0,1,,,,,,,,,0,,,56,78
1297,note_on,,2,0,1,,,,,,,,,0,,,62,86
1298,note_on,,1,0,1,,,,,,,,,0,,,73,0
1305,note_on,,7,0,1,,,,,,,,,0,,,48,0
1308,note_on,,3,0,1,,,,,,,,,0,,,59,0
1311,note_on,,3,0,1,,,,,,,,,0,,,62,0
1316,note_on,,5,0,1,,,,,,,,,0,,,53,0
1317,note_on,,1,0,1,,,,,,,,,0,,,56,0
1333,control_change,,16,0,1,,,,,,,,,0,64,0,,
1349,note_on,,16,0,1,,,,,,,,,0,,,74,112
1358,note_on,,9,0,1,,,,,,,,,0,,,76,0
1385,note_on,,27,0,1,,,,,,,,,0,,,74,0
1408,control_change,,23,0,1,,,,,,,,,0,64,127,,
1416,note_on,,0,0,1,,,,,,,,,0,,,72,95
1416,note_on,,8,0,1,,,,,,,,,0,,,48,90
1434,note_on,,18,0,1,,,,,,,,,0,,,74,91
1445,note_on,,11,0,1,,,,,,,,,0,,,72,0
1457,note_on,,12,0,1,,,,,,,,,0,,,72,95
1458,note_on,,1,0,1,,,,,,,,,0,,,74,0
1488,note_on,,30,0,1,,,,,,,,,0,,,72,0
1489,note_on,,1,0,1,,,,,,,,,0,,,71,102
1543,note_on,,54,0,1,,,,,,,,,0,,,74,105
1546,note_on,,0,0,1,,,,,,,,,0,,,52,80
1546,note_on,,0,0,1,,,,,,,,,0,,,55,74
1546,note_on,,3,0,1,,,,,,,,,0,,,60,68
1549,note_on,,3,0,1,,,,,,,,,0,,,71,0
1561,note_on,,12,0,1,,,,,,,,,0,,,55,0
1563,note_on,,2,0,1,,,,,,,,,0,,,52,0
1564,note_on,,1,0,1,,,,,,,,,0,,,60,0
1565,control_change,,1,0,1,,,,,,,,,0,64,0,,
1670,note_on,,105,0,1,,,,,,,,,0,,,74,0
1672,note_on,,2,0,1,,,,,,,,,0,,,60,72
1674,note_on,,0,0,1,,,,,,,,,0,,,55,76
1674,note_on,,0,0,1,,,,,,,,,0,,,52,79
1674,note_on,,2,0,1,,,,,,,,,0,,,72,93
1685,note_on,,11,0,1,,,,,,,,,0,,,48,0
1690,note_on,,5,0,1,,,,,,,,,0,,,55,0
1691,note_on,,1,0,1,,,,,,,,,0,,,60,0
1717,note_on,,26,0,1,,,,,,,,,0,,,72,0
1717,note_on,,0,0,1,,,,,,,,,0,,,52,0
1800,note_on,,83,0,1,,,,,,,,,0,,,42,83
1803,note_on,,3,0,1,,,,,,,,,0,,,69,108
1811,control_change,,8,0,1,,,,,,,,,0,64,127,,
1859,note_on,,48,0,1,,,,,,,,,0,,,42,0
1924,note_on,,65,0,1,,,,,,,,,0,,,50,87
1926,note_on,,2,0,1,,,,,,,,,0,,,57,81
1928,note_on,,2,0,1,,,,,,,,,0,,,60,68
1937,note_on,,9,0,1,,,,,,,,,0,,,57,0
1940,note_on,,3,0,1,,,,,,,,,0,,,60,0
1940,note_on,,0,0,1,,,,,,,,,0,,,50,0
1971,note_on,,31,0,1,,,,,,,,,0,,,69,0
1979,note_on,,8,0,1,,,,,,,,,0,,,68,109
2034,note_on,,55,0,1,,,,,,,,,0,,,71,105
2040,note_on,,6,0,1,,,,,,,,,0,,,68,0
2063,control_change,,23,0,1,,,,,,,,,0,64,0,,
2090,note_on,,27,0,1,,,,,,,,,0,,,69,120
2090,note_on,,0,0,1,,,,,,,,,0,,,71,0
2143,note_on,,53,0,1,,,,,,,,,0,,,69,0
2145,note_on,,2,0,1,,,,,,,,,0,,,43,95
2145,note_on,,0,0,1,,,,,,,,,0,,,67,108
2151,control_change,,6,0,1,,,,,,,,,0,64,127,,
2204,note_on,,53,0,1,,,,,,,,,0,,,43,0
2206,note_on,,2,0,1,,,,,,,,,0,,,67,0
2227,note_on,,21,0,1,,,,,,,,,0,,,72,108
2261,note_on,,34,0,1,,,,,,,,,0,,,76,120
2262,note_on,,1,0,1,,,,,,,,,0,,,72,0
2265,note_on,,3,0,1,,,,,,,,,0,,,52,90
2266,note_on,,1,0,1,,,,,,,,,0,,,55,90
2269,note_on,,3,0,1,,,,,,,,,0,,,60,79
2290,note_on,,21,0,1,,,,,,,,,0,,,55,0
2295,note_on,,5,0,1,,,,,,,,,0,,,60,0
2297,note_on,,2,0,1,,,,,,,,,0,,,52,0
2303,control_change,,6,0,1,,,,,,,,,0,64,0,,
2392,note_on,,89,0,1,,,,,,,,,0,,,60,86
2394,note_on,,2,0,1,,,,,,,,,0,,,52,83
2396,note_on,,2,0,1,,,,,,,,,0,,,55,76
2410,note_on,,14,0,1,,,,,,,,,0,,,55,0
2417,note_on,,7,0,1,,,,,,,,,0,,,60,0
2427,note_on,,10,0,1,,,,,,,,,0,,,52,0
2502,note_on,,75,0,1,,,,,,,,,0,,,76,0
2519,control_change,,17,0,1,,,,,,,,,0,64,127,,
2519,note_on,,0,0,1,,,,,,,,,0,,,43,101
2522,set_tempo,,2522,1,0,,,,,,394736,,,,,,,
2573,note_on,,54,0,1,,,,,,,,,0,,,74,103
2578,note_on,,5,0,1,,,,,,,,,0,,,43,0
2585,note_on,,7,0,1,,,,,,,,,0,,,74,0
2599,note_on,,14,0,1,,,,,,,,,0,,,76,95
2619,note_on,,20,0,1,,,,,,,,,0,,,74,102
2626,note_on,,7,0,1,,,,,,,,,0,,,76,0
2632,note_on,,0,0,1,,,,,,,,,0,,,59,89
2632,note_on,,6,0,1,,,,,,,,,0,,,55,91
2636,note_on,,0,0,1,,,,,,,,,0,,,53,86
2636,note_on,,4,0,1,,,,,,,,,0,,,73,127
2642,note_on,,0,0,1,,,,,,,,,0,,,55,0
2642,note_on,,6,0,1,,,,,,,,,0,,,59,0
2642,note_on,,0,0,1,,,,,,,,,0,,,74,0
2643,note_on,,1,0,1,,,,,,,,,0,,,53,0
2685,note_on,,42,0,1,,,,,,,,,0,,,74,126
2685,note_on,,0,0,1,,,,,,,,,0,,,73,0
2718,control_change,,33,0,1,,,,,,,,,0,64,0,,
2739,note_on,,21,0,1,,,,,,,,,0,,,76,123
2740,note_on,,1,0,1,,,,,,,,,0,,,59,98
2742,note_on,,2,0,1,,,,,,,,,0,,,53,101
2742,note_on,,0,0,1,,,,,,,,,0,,,55,92
2749,note_on,,7,0,1,,,,,,,,,0,,,74,0
2750,note_on,,1,0,1,,,,,,,,,0,,,59,0
2753,note_on,,0,0,1,,,,,,,,,0,,,53,0
2753,note_on,,3,0,1,,,,,,,,,0,,,55,0
2791,note_on,,38,0,1,,,,,,,,,0,,,77,127
2805,note_on,,14,0,1,,,,,,,,,0,,,76,0
2859,note_on,,54,0,1,,,,,,,,,0,,,81,115
2863,note_on,,0,0,1,,,,,,,,,0,,,77,0
2863,note_on,,4,0,1,,,,,,,,,0,,,48,95
2880,set_tempo,,358,1,0,,,,,,416666,,,,,,,
2895,control_change,,32,0,1,,,,,,,,,0,64,127,,
2987,note_on,,92,0,1,,,,,,,,,0,,,54,91
