tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,500000,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,
299,note_on,299,0,1,,,,,,,,,,,,,,,0,71,35,,
457,note_on,158,0,1,,,,,,,,,,,,,,,0,71,0,,
464,note_on,7,0,1,,,,,,,,,,,,,,,0,72,66,,
512,note_on,48,0,1,,,,,,,,,,,,,,,0,72,0,,
531,control_change,19,0,1,,,,,,,,,,,,,,,0,,,64,127
661,note_on,130,0,1,,,,,,,,,,,,,,,0,43,18,,
671,note_on,10,0,1,,,,,,,,,,,,,,,0,74,71,,
711,note_on,40,0,1,,,,,,,,,,,,,,,0,43,0,,
716,note_on,5,0,1,,,,,,,,,,,,,,,0,74,0,,
764,note_on,48,0,1,,,,,,,,,,,,,,,0,76,69,,
776,control_change,12,0,1,,,,,,,,,,,,,,,0,,,64,0
817,note_on,41,0,1,,,,,,,,,,,,,,,0,76,0,,
841,note_on,24,0,1,,,,,,,,,,,,,,,0,74,62,,
896,note_on,55,0,1,,,,,,,,,,,,,,,0,59,48,,
908,note_on,12,0,1,,,,,,,,,,,,,,,0,74,0,,
911,note_on,3,0,1,,,,,,,,,,,,,,,0,50,42,,
913,note_on,2,0,1,,,,,,,,,,,,,,,0,83,71,,
949,note_on,36,0,1,,,,,,,,,,,,,,,0,83,0,,
1107,note_on,158,0,1,,,,,,,,,,,,,,,0,59,0,,
1110,note_on,3,0,1,,,,,,,,,,,,,,,0,72,83,,
1141,note_on,31,0,1,,,,,,,,,,,,,,,0,51,58,,
1143,note_on,2,0,1,,,,,,,,,,,,,,,0,50,0,,
1155,note_on,12,0,1,,,,,,,,,,,,,,,0,72,0,,
1175,note_on,20,0,1,,,,,,,,,,,,,,,0,74,60,,
1225,note_on,50,0,1,,,,,,,,,,,,,,,0,74,0,,
1254,note_on,29,0,1,,,,,,,,,,,,,,,0,72,65,,
1311,note_on,57,0,1,,,,,,,,,,,,,,,0,72,0,,
1328,note_on,17,0,1,,,,,,,,,,,,,,,0,81,77,,
1333,note_on,5,0,1,,,,,,,,,,,,,,,0,54,47,,
1357,note_on,24,0,1,,,,,,,,,,,,,,,0,60,22,,
1367,note_on,10,0,1,,,,,,,,,,,,,,,0,81,0,,
1422,note_on,55,0,1,,,,,,,,,,,,,,,0,60,0,,
1458,note_on,36,0,1,,,,,,,,,,,,,,,0,54,0,,
1520,note_on,62,0,1,,,,,,,,,,,,,,,0,51,0,,
1520,note_on,0,0,1,,,,,,,,,,,,,,,0,71,75,,
1530,note_on,10,0,1,,,,,,,,,,,,,,,0,52,71,,
1556,note_on,26,0,1,,,,,,,,,,,,,,,0,71,0,,
1571,note_on,15,0,1,,,,,,,,,,,,,,,0,72,75,,
1614,note_on,43,0,1,,,,,,,,,,,,,,,0,72,0,,
1667,note_on,53,0,1,,,,,,,,,,,,,,,0,71,47,,
1719,note_on,52,0,1,,,,,,,,,,,,,,,0,59,47,,
1727,note_on,8,0,1,,,,,,,,,,,,,,,0,71,0,,
1734,note_on,7,0,1,,,,,,,,,,,,,,,0,79,80,,
1739,note_on,5,0,1,,,,,,,,,,,,,,,0,55,57,,
1770,note_on,31,0,1,,,,,,,,,,,,,,,0,79,0,,
1789,note_on,19,0,1,,,,,,,,,,,,,,,0,59,0,,
1851,note_on,62,0,1,,,,,,,,,,,,,,,0,55,0,,
1883,note_on,32,0,1,,,,,,,,,,,,,,,0,52,0,,
1921,note_on,38,0,1,,,,,,,,,,,,,,,0,69,79,,
1926,note_on,5,0,1,,,,,,,,,,,,,,,0,48,73,,
1969,note_on,43,0,1,,,,,,,,,,,,,,,0,48,0,,
2000,note_on,31,0,1,,,,,,,,,,,,,,,0,69,0,,
2024,note_on,24,0,1,,,,,,,,,,,,,,,0,76,81,,
2039,control_change,15,0,1,,,,,,,,,,,,,,,0,,,64,127
2082,note_on,43,0,1,,,,,,,,,,,,,,,0,76,0,,
2108,note_on,26,0,1,,,,,,,,,,,,,,,0,81,85,,
2135,note_on,27,0,1,,,,,,,,,,,,,,,0,64,59,,
2147,note_on,12,0,1,,,,,,,,,,,,,,,0,81,0,,
2147,note_on,0,0,1,,,,,,,,,,,,,,,0,57,49,,
2178,note_on,31,0,1,,,,,,,,,,,,,,,0,64,0,,
2204,note_on,26,0,1,,,,,,,,,,,,,,,0,57,0,,
2231,note_on,27,0,1,,,,,,,,,,,,,,,0,88,85,,
2238,control_change,7,0,1,,,,,,,,,,,,,,,0,,,64,0
2264,note_on,26,0,1,,,,,,,,,,,,,,,0,88,0,,
2339,note_on,75,0,1,,,,,,,,,,,,,,,0,74,88,,
2346,note_on,7,0,1,,,,,,,,,,,,,,,0,50,70,,
2387,note_on,41,0,1,,,,,,,,,,,,,,,0,50,0,,
2408,note_on,21,0,1,,,,,,,,,,,,,,,0,74,0,,
2444,note_on,36,0,1,,,,,,,,,,,,,,,0,79,88,,
2468,control_change,24,0,1,,,,,,,,,,,,,,,0,,,64,127
2509,note_on,41,0,1,,,,,,,,,,,,,,,0,79,0,,
2550,note_on,41,0,1,,,,,,,,,,,,,,,0,83,80,,
2562,note_on,12,0,1,,,,,,,,,,,,,,,0,62,66,,
2576,note_on,14,0,1,,,,,,,,,,,,,,,0,83,0,,
2619,note_on,43,0,1,,,,,,,,,,,,,,,0,62,0,,
2648,note_on,29,0,1,,,,,,,,,,,,,,,0,86,97,,
2751,note_on,103,0,1,,,,,,,,,,,,,,,0,86,0,,
2754,note_on,3,0,1,,,,,,,,,,,,,,,0,91,97,,
2759,note_on,5,0,1,,,,,,,,,,,,,,,0,74,71,,
2771,note_on,12,0,1,,,,,,,,,,,,,,,0,71,60,,
2819,note_on,48,0,1,,,,,,,,,,,,,,,0,74,0,,
2835,note_on,16,0,1,,,,,,,,,,,,,,,0,71,0,,
2838,control_change,3,0,1,,,,,,,,,,,,,,,0,,,64,0
2855,note_on,17,0,1,,,,,,,,,,,,,,,0,95,88,,
2869,note_on,14,0,1,,,,,,,,,,,,,,,0,91,0,,
2939,note_on,70,0,1,,,,,,,,,,,,,,,0,95,0,,
2955,note_on,16,0,1,,,,,,,,,,,,,,,0,100,92,,
2958,note_on,3,0,1,,,,,,,,,,,,,,,0,62,63,,
3068,note_on,110,0,1,,,,,,,,,,,,,,,0,98,89,,
3083,note_on,15,0,1,,,,,,,,,,,,,,,0,100,0,,
3095,note_on,12,0,1,,,,,,,,,,,,,,,0,62,0,,
3119,note_on,24,0,1,,,,,,,,,,,,,,,0,98,0,,
3162,note_on,43,0,1,,,,,,,,,,,,,,,0,97,89,,
3179,note_on,17,0,1,,,,,,,,,,,,,,,0,72,61,,
3203,note_on,24,0,1,,,,,,,,,,,,,,,0,69,40,,
3251,note_on,48,0,1,,,,,,,,,,,,,,,0,72,0,,
3270,note_on,19,0,1,,,,,,,,,,,,,,,0,96,94,,
3284,note_on,14,0,1,,,,,,,,,,,,,,,0,69,0,,
3284,note_on,0,0,1,,,,,,,,,,,,,,,0,97,0,,
3335,note_on,51,0,1,,,,,,,,,,,,,,,0,96,0,,
3395,note_on,60,0,1,,,,,,,,,,,,,,,0,88,55,,
3404,note_on,9,0,1,,,,,,,,,,,,,,,0,62,22,,
3455,note_on,51,0,1,,,,,,,,,,,,,,,0,88,0,,
3474,note_on,19,0,1,,,,,,,,,,,,,,,0,90,67,,
3483,note_on,9,0,1,,,,,,,,,,,,,,,0,62,0,,
3582,note_on,99,0,1,,,,,,,,,,,,,,,0,90,0,,
3603,note_on,21,0,1,,,,,,,,,,,,,,,0,71,40,,
3606,note_on,3,0,1,,,,,,,,,,,,,,,0,93,59,,
3644,note_on,38,0,1,,,,,,,,,,,,,,,0,67,30,,
3675,note_on,31,0,1,,,,,,,,,,,,,,,0,93,0,,
3692,note_on,17,0,1,,,,,,,,,,,,,,,0,71,0,,
3711,note_on,19,0,1,,,,,,,,,,,,,,,0,67,0,,
3714,control_change,3,0,1,,,,,,,,,,,,,,,0,,,64,127
3726,note_on,12,0,1,,,,,,,,,,,,,,,0,91,53,,
3803,note_on,77,0,1,,,,,,,,,,,,,,,0,91,0,,
3831,note_on,28,0,1,,,,,,,,,,,,,,,0,86,63,,
3903,note_on,72,0,1,,,,,,,,,,,,,,,0,86,0,,
3949,note_on,46,0,1,,,,,,,,,,,,,,,0,83,44,,
3995,note_on,46,0,1,,,,,,,,,,,,,,,0,83,0,,
4119,note_on,124,0,1,,,,,,,,,,,,,,,0,74,89,,
4141,note_on,22,0,1,,,,,,,,,,,,,,,0,43,32,,
4158,note_on,17,0,1,,,,,,,,,,,,,,,0,74,0,,
4199,note_on,41,0,1,,,,,,,,,,,,,,,0,76,89,,
4203,note_on,4,0,1,,,,,,,,,,,,,,,0,43,0,,
4244,note_on,41,0,1,,,,,,,,,,,,,,,0,76,0,,
4280,note_on,36,0,1,,,,,,,,,,,,,,,0,74,71,,
4311,control_change,31,0,1,,,,,,,,,,,,,,,0,,,64,0
4323,note_on,12,0,1,,,,,,,,,,,,,,,0,74,0,,
4338,note_on,15,0,1,,,,,,,,,,,,,,,0,83,85,,
4345,note_on,7,0,1,,,,,,,,,,,,,,,0,50,60,,
4352,note_on,7,0,1,,,,,,,,,,,,,,,0,59,38,,
4369,note_on,17,0,1,,,,,,,,,,,,,,,0,83,0,,
4393,note_on,24,0,1,,,,,,,,,,,,,,,0,50,0,,
4400,note_on,7,0,1,,,,,,,,,,,,,,,0,59,0,,
4520,note_on,120,0,1,,,,,,,,,,,,,,,0,72,97,,
4532,note_on,12,0,1,,,,,,,,,,,,,,,0,51,69,,
4556,note_on,24,0,1,,,,,,,,,,,,,,,0,72,0,,
4585,note_on,29,0,1,,,,,,,,,,,,,,,0,74,71,,
4626,note_on,41,0,1,,,,,,,,,,,,,,,0,74,0,,
4650,control_change,24,0,1,,,,,,,,,,,,,,,0,,,64,127
4657,note_on,7,0,1,,,,,,,,,,,,,,,0,72,65,,
4712,control_change,55,0,1,,,,,,,,,,,,,,,0,,,64,0
4715,note_on,3,0,1,,,,,,,,,,,,,,,0,60,69,,
4717,note_on,2,0,1,,,,,,,,,,,,,,,0,72,0,,
4717,note_on,0,0,1,,,,,,,,,,,,,,,0,54,66,,
4722,note_on,5,0,1,,,,,,,,,,,,,,,0,81,91,,
4758,note_on,36,0,1,,,,,,,,,,,,,,,0,81,0,,
4777,note_on,19,0,1,,,,,,,,,,,,,,,0,54,0,,
4777,note_on,0,0,1,,,,,,,,,,,,,,,0,60,0,,
4868,note_on,91,0,1,,,,,,,,,,,,,,,0,51,0,,
4919,note_on,51,0,1,,,,,,,,,,,,,,,0,52,84,,
4919,note_on,0,0,1,,,,,,,,,,,,,,,0,71,76,,
4959,note_on,40,0,1,,,,,,,,,,,,,,,0,71,0,,
4976,note_on,17,0,1,,,,,,,,,,,,,,,0,72,86,,
5019,note_on,43,0,1,,,,,,,,,,,,,,,0,72,0,,
5055,note_on,36,0,1,,,,,,,,,,,,,,,0,71,60,,
5132,note_on,77,0,1,,,,,,,,,,,,,,,0,79,89,,
5135,note_on,3,0,1,,,,,,,,,,,,,,,0,59,46,,
5142,note_on,7,0,1,,,,,,,,,,,,,,,0,71,0,,
5142,note_on,0,0,1,,,,,,,,,,,,,,,0,55,61,,
5163,note_on,21,0,1,,,,,,,,,,,,,,,0,52,0,,
5166,note_on,3,0,1,,,,,,,,,,,,,,,0,79,0,,
5214,note_on,48,0,1,,,,,,,,,,,,,,,0,55,0,,
5235,note_on,21,0,1,,,,,,,,,,,,,,,0,59,0,,
5322,note_on,87,0,1,,,,,,,,,,,,,,,0,69,88,,
5331,note_on,9,0,1,,,,,,,,,,,,,,,0,48,66,,
5375,note_on,44,0,1,,,,,,,,,,,,,,,0,48,0,,
5408,note_on,33,0,1,,,,,,,,,,,,,,,0,69,0,,
5418,note_on,10,0,1,,,,,,,,,,,,,,,0,76,79,,
5435,control_change,17,0,1,,,,,,,,,,,,,,,0,,,64,127
5468,note_on,33,0,1,,,,,,,,,,,,,,,0,76,0,,
5507,note_on,39,0,1,,,,,,,,,,,,,,,0,81,84,,
5531,note_on,24,0,1,,,,,,,,,,,,,,,0,64,59,,
5543,note_on,12,0,1,,,,,,,,,,,,,,,0,81,0,,
5550,note_on,7,0,1,,,,,,,,,,,,,,,0,57,38,,
5576,note_on,26,0,1,,,,,,,,,,,,,,,0,64,0,,
5615,note_on,39,0,1,,,,,,,,,,,,,,,0,57,0,,
5631,note_on,16,0,1,,,,,,,,,,,,,,,0,88,85,,
5665,note_on,34,0,1,,,,,,,,,,,,,,,0,88,0,,
5679,control_change,14,0,1,,,,,,,,,,,,,,,0,,,64,0
5727,note_on,48,0,1,,,,,,,,,,,,,,,0,50,72,,
5730,note_on,3,0,1,,,,,,,,,,,,,,,0,74,98,,
5768,note_on,38,0,1,,,,,,,,,,,,,,,0,50,0,,
5831,note_on,63,0,1,,,,,,,,,,,,,,,0,74,0,,
5831,note_on,0,0,1,,,,,,,,,,,,,,,0,79,97,,
5850,control_change,19,0,1,,,,,,,,,,,,,,,0,,,64,127
5924,note_on,74,0,1,,,,,,,,,,,,,,,0,79,0,,
5927,note_on,3,0,1,,,,,,,,,,,,,,,0,83,79,,
5931,note_on,4,0,1,,,,,,,,,,,,,,,0,62,77,,
5955,note_on,24,0,1,,,,,,,,,,,,,,,0,83,0,,
5984,note_on,29,0,1,,,,,,,,,,,,,,,0,62,0,,
6020,note_on,36,0,1,,,,,,,,,,,,,,,0,86,98,,
6109,control_change,89,0,1,,,,,,,,,,,,,,,0,,,64,0
6121,note_on,12,0,1,,,,,,,,,,,,,,,0,86,0,,
6128,note_on,7,0,1,,,,,,,,,,,,,,,0,91,101,,
6133,note_on,5,0,1,,,,,,,,,,,,,,,0,74,71,,
6140,note_on,7,0,1,,,,,,,,,,,,,,,0,71,60,,
6186,note_on,46,0,1,,,,,,,,,,,,,,,0,71,0,,
6186,note_on,0,0,1,,,,,,,,,,,,,,,0,74,0,,
6236,note_on,50,0,1,,,,,,,,,,,,,,,0,95,92,,
6258,note_on,22,0,1,,,,,,,,,,,,,,,0,91,0,,
6332,note_on,74,0,1,,,,,,,,,,,,,,,0,100,75,,
6335,note_on,3,0,1,,,,,,,,,,,,,,,0,95,0,,
6349,note_on,14,0,1,,,,,,,,,,,,,,,0,62,63,,
6409,note_on,60,0,1,,,,,,,,,,,,,,,0,62,0,,
6457,note_on,48,0,1,,,,,,,,,,,,,,,0,98,74,,
6476,note_on,19,0,1,,,,,,,,,,,,,,,0,100,0,,
6560,note_on,84,0,1,,,,,,,,,,,,,,,0,96,72,,
6567,note_on,7,0,1,,,,,,,,,,,,,,,0,98,0,,
6570,note_on,3,0,1,,,,,,,,,,,,,,,0,72,64,,
6591,note_on,21,0,1,,,,,,,,,,,,,,,0,69,40,,
6618,note_on,27,0,1,,,,,,,,,,,,,,,0,72,0,,
6647,note_on,29,0,1,,,,,,,,,,,,,,,0,69,0,,
6675,note_on,28,0,1,,,,,,,,,,,,,,,0,93,73,,
6678,note_on,3,0,1,,,,,,,,,,,,,,,0,96,0,,
6723,note_on,45,0,1,,,,,,,,,,,,,,,0,93,0,,
6788,note_on,65,0,1,,,,,,,,,,,,,,,0,62,35,,
6795,note_on,7,0,1,,,,,,,,,,,,,,,0,88,59,,
6855,note_on,60,0,1,,,,,,,,,,,,,,,0,88,0,,
6855,note_on,0,0,1,,,,,,,,,,,,,,,0,62,0,,
6889,note_on,34,0,1,,,,,,,,,,,,,,,0,90,66,,
6942,note_on,53,0,1,,,,,,,,,,,,,,,0,90,0,,
7062,note_on,120,0,1,,,,,,,,,,,,,,,0,91,74,,
7091,note_on,29,0,1,,,,,,,,,,,,,,,0,71,34,,
7119,note_on,28,0,1,,,,,,,,,,,,,,,0,67,23,,
7143,note_on,24,0,1,,,,,,,,,,,,,,,0,91,0,,
7155,control_change,12,0,1,,,,,,,,,,,,,,,0,,,64,127
7165,note_on,10,0,1,,,,,,,,,,,,,,,0,71,0,,
7211,note_on,46,0,1,,,,,,,,,,,,,,,0,67,0,,
7395,note_on,184,0,1,,,,,,,,,,,,,,,0,71,59,,
7448,note_on,53,0,1,,,,,,,,,,,,,,,0,71,0,,
7494,control_change,46,0,1,,,,,,,,,,,,,,,0,,,64,0
7520,note_on,26,0,1,,,,,,,,,,,,,,,0,72,84,,
7587,note_on,67,0,1,,,,,,,,,,,,,,,0,72,0,,
7674,note_on,87,0,1,,,,,,,,,,,,,,,0,74,84,,
