tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,key_signature,,,,,0,1,7,,,,,,,C,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,key_signature,,,,,0,1,6,,,,,,,C,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,C,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,C,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,key_signature,,,,,0,1,2,,,,,,,C,,
0,key_signature,,,,,0,1,8,,,,,,,C,,
0,end_of_track,,,,,0,1,8,,,,,,,,,
0,program_change,,,,,0,0,1,,,,,0,0,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,control_change,,,,,0,0,1,,,91,90,0,,,,
0,control_change,,,,,0,0,1,,,10,64,0,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,control_change,,,,,0,0,1,,,32,1,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,key_signature,,,,,0,1,1,,,,,,,F#,,
624,control_change,,,,,624,0,1,,,7,100,0,,,,
776,control_change,,,,,152,0,1,,,11,127,0,,,,
1084,control_change,,,,,308,0,1,,,1,0,0,,,,
1160,control_change,,,,,76,0,1,,,99,1,0,,,,
1164,control_change,,,,,4,0,1,,,98,32,0,,,,
1168,control_change,,,,,0,0,1,,,99,1,0,,,,
1168,control_change,,,,,4,0,1,,,6,62,0,,,,
1172,control_change,,,,,4,0,1,,,98,33,0,,,,
1176,control_change,,,,,4,0,1,,,6,54,0,,,,
1180,control_change,,,,,4,0,1,,,99,1,0,,,,
1184,control_change,,,,,0,0,1,,,6,62,0,,,,
1184,control_change,,,,,4,0,1,,,98,99,0,,,,
1188,control_change,,,,,4,0,1,,,99,1,0,,,,
1192,control_change,,,,,4,0,1,,,98,100,0,,,,
1196,control_change,,,,,4,0,1,,,6,60,0,,,,
1200,control_change,,,,,4,0,1,,,99,1,0,,,,
1200,control_change,,,,,0,0,1,,,98,102,0,,,,
1204,control_change,,,,,4,0,1,,,6,70,0,,,,
4848,note_on,,,,,3644,0,1,,,,,0,,,37,127
4848,note_on,,,,,0,0,1,,,,,0,,,25,127
5196,control_change,,,,,348,0,1,,,64,63,0,,,,
5212,control_change,,,,,16,0,1,,,64,127,0,,,,
5536,note_off,,,,,324,0,1,,,,,0,,,25,0
