tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,,,441176,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,,C,,,,,,,
0,time_signature,0,1,0,,,,,,,,,6,8,12,8,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
60,control_change,60,0,1,,,,,,,,,,,,,,,0,0,0,,,
62,program_change,2,0,1,,,,,,,,,,,,,,,,,0,0,,
63,control_change,1,0,1,,,,,,,,,,,,,,,7,127,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,0,0,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,93,20,0,,,
120,control_change,57,0,1,,,,,,,,,,,,,,,91,80,0,,,
658,note_on,538,0,1,,,,,,,,,,,,,,,,,0,,67,63
697,note_on,39,0,1,,,,,,,,,,,,,,,,,0,,67,0
720,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,64,48
720,note_on,23,0,1,,,,,,,,,,,,,,,,,0,,67,57
721,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,48,68
721,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,36,56
729,control_change,8,0,1,,,,,,,,,,,,,,,64,127,0,,,
747,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,67,0
747,note_on,18,0,1,,,,,,,,,,,,,,,,,0,,64,0
748,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,48,0
748,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,36,0
750,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,64,51
750,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,72,51
777,note_on,27,0,1,,,,,,,,,,,,,,,,,0,,72,0
777,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,64,0
779,control_change,2,0,1,,,,,,,,,,,,,,,64,0,0,,,
780,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,65,45
780,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,68,56
807,note_on,27,0,1,,,,,,,,,,,,,,,,,0,,65,0
807,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,68,0
810,note_on,3,0,1,,,,,,,,,,,,,,,,,0,,65,49
810,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,74,62
837,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,65,0
