tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,data,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,control_change,,,,,0,0,2,,10,10,0,,,
0,control_change,,,,,0,0,1,,10,10,0,,,
0,track_name,,,,,0,1,3,,,,,,,
0,control_change,,,,,0,0,3,,10,10,0,,,
0,track_name,,,,,0,1,1,,,,,,,
0,set_tempo,,,,,0,1,0,330114,,,,,,
4,sysex,,,,,4,0,2,,,,,"(126, 0, 0, 127)",,
4,sysex,,,,,4,0,3,,,,,"(126, 0, 0, 127)",,
4,sysex,,,,,4,0,1,,,,,"(126, 0, 0, 127)",,
16,control_change,,,,,12,0,3,,0,0,0,,,
16,control_change,,,,,12,0,1,,0,0,0,,,
16,control_change,,,,,12,0,2,,0,0,0,,,
20,control_change,,,,,4,0,1,,32,0,0,,,
20,control_change,,,,,4,0,2,,32,0,0,,,
20,control_change,,,,,4,0,3,,32,0,0,,,
36,control_change,,,,,16,0,2,,91,127,0,,,
36,control_change,,,,,16,0,1,,91,127,0,,,
36,control_change,,,,,16,0,3,,91,127,0,,,
40,control_change,,,,,4,0,3,,93,0,0,,,
40,control_change,,,,,4,0,1,,93,0,0,,,
40,control_change,,,,,4,0,2,,93,0,0,,,
44,control_change,,,,,4,0,1,,101,0,0,,,
44,control_change,,,,,4,0,3,,101,0,0,,,
44,control_change,,,,,4,0,2,,101,0,0,,,
48,control_change,,,,,4,0,3,,100,0,0,,,
48,control_change,,,,,4,0,2,,100,0,0,,,
48,control_change,,,,,4,0,1,,100,0,0,,,
52,control_change,,,,,4,0,2,,6,2,0,,,
52,control_change,,,,,4,0,1,,6,2,0,,,
52,control_change,,,,,4,0,3,,6,2,0,,,
1152,end_of_track,,,,,1100,1,2,,,,,,,
1152,end_of_track,,,,,1100,1,3,,,,,,,
1536,end_of_track,,,,,1536,1,4,,,,,,,
2304,control_change,,,,,0,0,1,,10,64,0,,,
2304,control_change,,,,,0,0,1,,10,64,0,,,
2304,control_change,,,,,2252,0,1,,10,10,0,,,
2304,control_change,,,,,0,0,1,,10,64,0,,,
2304,control_change,,,,,0,0,1,,10,10,0,,,
2304,set_tempo,,,,,2304,1,0,446082,,,,,,
2304,control_change,,,,,0,0,1,,10,10,0,,,
3076,note_on,,,,,772,0,1,,,,0,,71,53
3220,note_off,,,,,144,0,1,,,,0,,71,0
3264,set_tempo,,,,,960,1,0,456266,,,,,,
3360,set_tempo,,,,,96,1,0,480956,,,,,,
3384,set_tempo,,,,,24,1,0,412706,,,,,,
3408,note_on,,,,,188,0,1,,,,0,,40,35
3408,set_tempo,,,,,24,1,0,447760,,,,,,
3432,set_tempo,,,,,24,1,0,331487,,,,,,
3435,note_on,,,,,27,0,1,,,,0,,47,41
3442,note_on,,,,,7,0,1,,,,0,,63,33
3445,note_on,,,,,3,0,1,,,,0,,55,52
3458,note_on,,,,,13,0,1,,,,0,,71,64
3480,note_on,,,,,22,0,1,,,,0,,64,52
3514,note_off,,,,,34,0,1,,,,0,,63,0
3736,note_off,,,,,222,0,1,,,,0,,40,0
3753,note_off,,,,,17,0,1,,,,0,,47,0
3759,note_off,,,,,6,0,1,,,,0,,55,0
3776,note_off,,,,,17,0,1,,,,0,,71,0
3804,note_off,,,,,28,0,1,,,,0,,64,0
3805,note_on,,,,,1,0,1,,,,0,,76,62
3823,note_on,,,,,18,0,1,,,,0,,66,33
3870,note_on,,,,,47,0,1,,,,0,,67,54
3894,note_off,,,,,24,0,1,,,,0,,66,0
4151,note_off,,,,,257,0,1,,,,0,,67,0
4168,note_on,,,,,17,0,1,,,,0,,70,48
4206,note_on,,,,,38,0,1,,,,0,,71,60
4210,note_off,,,,,4,0,1,,,,0,,76,0
4226,note_on,,,,,16,0,1,,,,0,,79,76
4231,note_off,,,,,5,0,1,,,,0,,70,0
4237,note_on,,,,,6,0,1,,,,0,,43,29
4256,note_on,,,,,19,0,1,,,,0,,52,58
4256,note_on,,,,,0,0,1,,,,0,,59,70
4415,note_off,,,,,159,0,1,,,,0,,43,0
4427,note_off,,,,,12,0,1,,,,0,,52,0
4435,note_off,,,,,8,0,1,,,,0,,59,0
4549,note_off,,,,,114,0,1,,,,0,,71,0
