tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,set_tempo,599809,0,1,0,,,,,,,,,,
0,control_change,,0,0,1,,,,,1,0,1,,,
0,control_change,,0,0,1,,,,,7,127,1,,,
0,control_change,,0,0,1,,,,,10,64,1,,,
0,control_change,,0,0,1,,,,,91,0,1,,,
0,control_change,,0,0,1,,,,,93,0,1,,,
0,program_change,,0,0,1,,,,,,,1,0,,
0,track_name,,0,1,1,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,1,,69,85
0,note_on,,0,0,1,,,,,,,1,,65,85
0,note_on,,0,0,1,,,,,,,1,,62,85
0,note_on,,0,0,1,,,,,,,1,,50,85
0,note_on,,0,0,1,,,,,,,1,,57,85
0,control_change,,0,0,2,,,,,32,0,0,,,
0,note_on,,0,0,2,,,,,,,0,,69,94
0,track_name,,0,1,2,,,,,,,,,,
0,control_change,,0,0,2,,,,,93,0,0,,,
0,control_change,,0,0,2,,,,,91,0,0,,,
0,control_change,,0,0,2,,,,,10,64,0,,,
0,control_change,,0,0,2,,,,,1,0,0,,,
0,control_change,,0,0,2,,,,,7,127,0,,,
0,program_change,,0,0,2,,,,,,,0,53,,
0,control_change,,0,0,1,,,,,32,0,1,,,
0,control_change,,0,0,1,,,,,0,0,1,,,
0,control_change,,0,0,2,,,,,0,0,0,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,
0,track_name,,0,1,0,,,,,,,,,,
384,note_on,,0,0,1,,,,,,,1,,65,0
384,note_on,,0,0,1,,,,,,,1,,62,0
384,note_on,,0,0,1,,,,,,,1,,69,0
384,note_on,,0,0,1,,,,,,,1,,50,0
384,note_on,,384,0,2,,,,,,,0,,69,0
384,note_on,,384,0,1,,,,,,,1,,57,0
480,note_on,,96,0,1,,,,,,,1,,62,85
480,note_on,,96,0,2,,,,,,,0,,69,94
480,note_on,,0,0,1,,,,,,,1,,65,85
480,note_on,,0,0,1,,,,,,,1,,69,85
480,note_on,,0,0,1,,,,,,,1,,50,85
480,note_on,,0,0,1,,,,,,,1,,57,85
672,note_on,,192,0,2,,,,,,,0,,69,0
672,note_on,,192,0,1,,,,,,,1,,57,0
672,note_on,,0,0,1,,,,,,,1,,50,0
672,note_on,,0,0,1,,,,,,,1,,69,0
672,note_on,,0,0,1,,,,,,,1,,65,0
672,note_on,,0,0,1,,,,,,,1,,62,0
720,note_on,,48,0,1,,,,,,,1,,64,85
720,note_on,,0,0,1,,,,,,,1,,57,85
720,note_on,,0,0,1,,,,,,,1,,67,85
720,note_on,,0,0,1,,,,,,,1,,62,85
720,note_on,,0,0,1,,,,,,,1,,50,85
720,note_on,,48,0,2,,,,,,,0,,67,94
912,note_on,,192,0,1,,,,,,,1,,57,0
912,note_on,,0,0,1,,,,,,,1,,50,0
912,note_on,,0,0,1,,,,,,,1,,62,0
912,note_on,,192,0,2,,,,,,,0,,67,0
912,note_on,,0,0,1,,,,,,,1,,64,0
912,note_on,,0,0,1,,,,,,,1,,67,0
960,note_on,,0,0,1,,,,,,,1,,62,85
960,note_on,,48,0,1,,,,,,,1,,69,85
960,note_on,,0,0,1,,,,,,,1,,65,85
960,note_on,,0,0,1,,,,,,,1,,50,85
960,note_on,,0,0,1,,,,,,,1,,57,85
960,note_on,,48,0,2,,,,,,,0,,69,94
960,set_tempo,612097,960,1,0,,,,,,,,,,
1344,note_on,,384,0,1,,,,,,,1,,57,0
1344,note_on,,384,0,2,,,,,,,0,,69,0
1344,note_on,,0,0,1,,,,,,,1,,50,0
1344,note_on,,0,0,1,,,,,,,1,,65,0
1344,note_on,,0,0,1,,,,,,,1,,62,0
1344,note_on,,0,0,1,,,,,,,1,,69,0
1440,note_on,,96,0,2,,,,,,,0,,70,94
1440,note_on,,96,0,1,,,,,,,1,,70,85
1440,note_on,,0,0,1,,,,,,,1,,67,85
1440,note_on,,0,0,1,,,,,,,1,,62,85
1440,note_on,,0,0,1,,,,,,,1,,55,85
1440,set_tempo,605953,480,1,0,,,,,,,,,,
1440,note_on,,0,0,1,,,,,,,1,,43,85
1632,note_on,,192,0,2,,,,,,,0,,70,0
1680,note_on,,48,0,2,,,,,,,0,,70,94
1824,note_on,,0,0,1,,,,,,,1,,70,0
1824,note_on,,0,0,1,,,,,,,1,,67,0
1824,note_on,,0,0,1,,,,,,,1,,62,0
1824,note_on,,0,0,1,,,,,,,1,,55,0
1824,note_on,,384,0,1,,,,,,,1,,43,0
1872,note_on,,192,0,2,,,,,,,0,,70,0
1920,note_on,,0,0,1,,,,,,,1,,62,94
1920,note_on,,48,0,2,,,,,,,0,,69,100
1920,note_on,,0,0,1,,,,,,,1,,41,94
1920,set_tempo,599809,480,1,0,,,,,,,,,,
1920,note_on,,96,0,1,,,,,,,1,,69,94
1920,note_on,,0,0,1,,,,,,,1,,57,94
2112,note_on,,192,0,1,,,,,,,1,,57,0
2112,note_on,,0,0,1,,,,,,,1,,62,0
2112,note_on,,0,0,1,,,,,,,1,,69,0
2112,note_on,,0,0,1,,,,,,,1,,41,0
2112,note_on,,192,0,2,,,,,,,0,,69,0
2160,note_on,,48,0,1,,,,,,,1,,64,85
2160,note_on,,0,0,1,,,,,,,1,,43,85
2160,note_on,,0,0,1,,,,,,,1,,67,85
2160,note_on,,48,0,2,,,,,,,0,,67,94
2160,note_on,,0,0,1,,,,,,,1,,58,85
2352,note_on,,192,0,2,,,,,,,0,,67,0
2352,note_on,,192,0,1,,,,,,,1,,43,0
2352,note_on,,0,0,1,,,,,,,1,,58,0
2352,note_on,,0,0,1,,,,,,,1,,67,0
2352,note_on,,0,0,1,,,,,,,1,,64,0
2400,note_on,,0,0,1,,,,,,,1,,45,85
2400,note_on,,0,0,1,,,,,,,1,,62,85
2400,note_on,,48,0,2,,,,,,,0,,65,85
2400,set_tempo,605953,480,1,0,,,,,,,,,,
2400,note_on,,0,0,1,,,,,,,1,,57,85
2400,note_on,,48,0,1,,,,,,,1,,65,85
2592,note_on,,192,0,1,,,,,,,1,,57,0
2592,note_on,,0,0,1,,,,,,,1,,65,0
2592,note_on,,0,0,1,,,,,,,1,,62,0
2592,note_on,,192,0,2,,,,,,,0,,65,0
2592,note_on,,0,0,1,,,,,,,1,,45,0
2640,note_on,,0,0,1,,,,,,,1,,45,72
2640,note_on,,0,0,1,,,,,,,1,,57,72
2640,note_on,,0,0,1,,,,,,,1,,55,72
2640,note_on,,0,0,1,,,,,,,1,,61,72
2640,note_on,,48,0,2,,,,,,,0,,64,72
2640,note_on,,48,0,1,,,,,,,1,,64,72
2832,note_on,,0,0,1,,,,,,,1,,57,0
2832,note_on,,0,0,1,,,,,,,1,,45,0
2832,note_on,,0,0,1,,,,,,,1,,61,0
2832,note_on,,0,0,1,,,,,,,1,,64,0
2832,note_on,,192,0,2,,,,,,,0,,64,0
2832,note_on,,192,0,1,,,,,,,1,,55,0
2880,note_on,,48,0,1,,,,,,,1,,62,64
2880,note_on,,0,0,1,,,,,,,1,,57,64
2880,note_on,,0,0,1,,,,,,,1,,53,64
2880,note_on,,48,0,2,,,,,,,0,,65,72
2880,note_on,,0,0,1,,,,,,,1,,50,64
3360,set_tempo,599809,960,1,0,,,,,,,,,,
3456,note_on,,0,0,1,,,,,,,1,,53,0
3456,note_on,,0,0,1,,,,,,,1,,57,0
3456,note_on,,0,0,1,,,,,,,1,,62,0
3456,note_on,,576,0,2,,,,,,,0,,65,0
3456,note_on,,576,0,1,,,,,,,1,,50,0
3600,note_on,,0,0,1,,,,,,,1,,67,85
3600,note_on,,0,0,1,,,,,,,1,,58,85
3600,note_on,,0,0,1,,,,,,,1,,50,85
3600,note_on,,144,0,1,,,,,,,1,,64,85
3600,note_on,,144,0,2,,,,,,,0,,67,94
3792,note_on,,192,0,1,,,,,,,1,,50,0
3792,note_on,,0,0,1,,,,,,,1,,64,0
3792,note_on,,192,0,2,,,,,,,0,,67,0
3792,note_on,,0,0,1,,,,,,,1,,58,0
3792,note_on,,0,0,1,,,,,,,1,,67,0
3840,note_on,,0,0,1,,,,,,,1,,65,85
3840,set_tempo,612097,480,1,0,,,,,,,,,,
3840,note_on,,48,0,2,,,,,,,0,,69,94
3840,note_on,,48,0,1,,,,,,,1,,69,85
3840,note_on,,0,0,1,,,,,,,1,,50,85
3840,note_on,,0,0,1,,,,,,,1,,57,85
4224,note_on,,384,0,2,,,,,,,0,,69,0
4224,note_on,,384,0,1,,,,,,,1,,57,0
4224,note_on,,0,0,1,,,,,,,1,,65,0
4224,note_on,,0,0,1,,,,,,,1,,69,0
4224,note_on,,0,0,1,,,,,,,1,,50,0
4320,note_on,,96,0,1,,,,,,,1,,60,85
4320,note_on,,96,0,2,,,,,,,0,,74,94
4320,note_on,,0,0,1,,,,,,,1,,66,85
4320,note_on,,0,0,1,,,,,,,1,,74,85
4320,set_tempo,605953,480,1,0,,,,,,,,,,
4320,note_on,,0,0,1,,,,,,,1,,50,85
4320,note_on,,0,0,1,,,,,,,1,,57,85
4512,note_on,,0,0,1,,,,,,,1,,50,0
4512,note_on,,192,0,1,,,,,,,1,,57,0
4512,note_on,,192,0,2,,,,,,,0,,74,0
4512,note_on,,0,0,1,,,,,,,1,,74,0
4512,note_on,,0,0,1,,,,,,,1,,66,0
4512,note_on,,0,0,1,,,,,,,1,,60,0
4560,note_on,,0,0,1,,,,,,,1,,66,72
4560,note_on,,48,0,2,,,,,,,0,,72,85
4560,note_on,,0,0,1,,,,,,,1,,50,72
4560,note_on,,48,0,1,,,,,,,1,,72,72
4560,note_on,,0,0,1,,,,,,,1,,60,72
4752,note_on,,0,0,1,,,,,,,1,,72,0
4752,note_on,,0,0,1,,,,,,,1,,60,0
4752,note_on,,0,0,1,,,,,,,1,,66,0
4752,note_on,,192,0,1,,,,,,,1,,50,0
4752,note_on,,192,0,2,,,,,,,0,,72,0
4800,note_on,,48,0,2,,,,,,,0,,72,94
4800,note_on,,0,0,1,,,,,,,1,,62,85
4800,note_on,,0,0,1,,,,,,,1,,67,85
4800,note_on,,48,0,1,,,,,,,1,,70,85
4800,note_on,,0,0,1,,,,,,,1,,55,85
4992,note_on,,192,0,2,,,,,,,0,,72,0
5040,note_on,,48,0,2,,,,,,,0,,70,94
5184,note_on,,0,0,1,,,,,,,1,,70,0
