tick,type,data,time,meta,track,port,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 2, 0, 3, 0, 51, 0)",0,1,0,,,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,,0,0,,,,
0,control_change,,0,0,1,,,,,,,,,0,7,127,,
0,control_change,,0,0,1,,,,,,,,,0,10,64,,
0,control_change,,0,0,1,,,,,,,,,0,91,64,,
0,note_on,,0,0,1,,,,,,,,,0,,,83,127
0,note_on,,0,0,1,,,,,,,,,0,,,88,123
0,note_on,,0,0,1,,,,,,,,,0,,,95,127
0,note_on,,0,0,1,,,,,,,,,0,,,67,122
0,note_on,,0,0,1,,,,,,,,,0,,,76,127
0,note_on,,0,0,1,,,,,,,,,0,,,73,127
0,midi_port,,0,1,1,0,,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,,0,,,79,127
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,2,0,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,3,0,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,midi_port,,0,1,4,0,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,midi_port,,0,1,5,0,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,
0,midi_port,,0,1,0,0,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,,,
0,set_tempo,,0,1,0,,223880,,,,,,,,,,,
0,key_signature,,0,1,0,,,D,,,,,,,,,,
0,time_signature,,0,1,0,,,,3,4,24,8,,,,,,
2256,note_on,,2256,0,1,,,,,,,,,0,,,83,0
2256,note_on,,0,0,1,,,,,,,,,0,,,88,0
2256,note_on,,0,0,1,,,,,,,,,0,,,79,0
2256,note_on,,0,0,1,,,,,,,,,0,,,73,0
2256,note_on,,0,0,1,,,,,,,,,0,,,76,0
2256,note_on,,0,0,1,,,,,,,,,0,,,67,0
2256,note_on,,0,0,1,,,,,,,,,0,,,95,0
2304,note_on,,0,0,1,,,,,,,,,0,,,46,127
2304,note_on,,0,0,1,,,,,,,,,0,,,61,123
2304,note_on,,48,0,1,,,,,,,,,0,,,64,127
2304,note_on,,0,0,1,,,,,,,,,0,,,54,127
2304,note_on,,0,0,1,,,,,,,,,0,,,34,127
2304,note_on,,0,0,1,,,,,,,,,0,,,66,123
4560,note_on,,2256,0,1,,,,,,,,,0,,,64,0
4560,note_on,,0,0,1,,,,,,,,,0,,,61,0
4560,note_on,,0,0,1,,,,,,,,,0,,,66,0
4560,note_on,,0,0,1,,,,,,,,,0,,,54,0
4560,note_on,,0,0,1,,,,,,,,,0,,,46,0
4560,note_on,,0,0,1,,,,,,,,,0,,,34,0
4608,note_on,,48,0,1,,,,,,,,,0,,,41,59
4608,note_on,,0,0,1,,,,,,,,,0,,,50,64
4608,set_tempo,,4608,1,0,,171428,,,,,,,,,,,
4704,note_on,,96,0,1,,,,,,,,,0,,,41,0
4704,note_on,,0,0,1,,,,,,,,,0,,,50,0
4704,note_on,,0,0,1,,,,,,,,,0,,,42,46
4800,note_on,,0,0,1,,,,,,,,,0,,,36,43
4800,note_on,,96,0,1,,,,,,,,,0,,,42,0
4894,note_on,,94,0,1,,,,,,,,,0,,,36,0
4896,note_on,,2,0,1,,,,,,,,,0,,,53,73
4992,note_on,,96,0,1,,,,,,,,,0,,,53,0
4992,note_on,,0,0,1,,,,,,,,,0,,,54,75
5088,note_on,,96,0,1,,,,,,,,,0,,,54,0
5088,note_on,,0,0,1,,,,,,,,,0,,,59,85
5184,note_on,,0,0,1,,,,,,,,,0,,,62,86
5184,note_on,,96,0,1,,,,,,,,,0,,,59,0
5184,note_on,,0,0,1,,,,,,,,,0,,,55,62
5184,note_on,,0,0,1,,,,,,,,,0,,,52,68
5280,note_on,,96,0,1,,,,,,,,,0,,,62,0
5280,note_on,,0,0,1,,,,,,,,,0,,,58,84
5376,note_on,,0,0,1,,,,,,,,,0,,,54,48
5376,note_on,,0,0,1,,,,,,,,,0,,,50,42
5376,note_on,,0,0,1,,,,,,,,,0,,,58,0
5376,note_on,,0,0,1,,,,,,,,,0,,,52,0
