tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity,control,value
0,time_signature,2,4,24,8,0,1,0,,,,,,,,
0,program_change,,,,,0,0,1,,,0,0,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,
0,program_change,,,,,0,0,2,,,0,0,,,,
0,program_change,,,,,0,0,3,,,0,1,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,
0,set_tempo,,,,,0,1,0,,600000,,,,,,
0,key_signature,,,,,0,1,0,Gb,,,,,,,
1131,set_tempo,,,,,1131,1,0,,504201,,,,,,
1131,set_tempo,,,,,0,1,0,,508474,,,,,,
1643,set_tempo,,,,,512,1,0,,517241,,,,,,
1643,set_tempo,,,,,0,1,0,,526315,,,,,,
2048,key_signature,,,,,0,1,0,Gb,,,,,,,
2048,note_on,,,,,2048,0,2,,,,0,70,76,,
2048,note_on,,,,,2048,0,3,,,,1,54,57,,
2048,time_signature,2,4,24,8,405,1,0,,,,,,,,
2278,note_off,,,,,230,0,3,,,,1,54,0,,
2304,note_on,,,,,0,0,2,,,,0,82,57,,
2304,note_on,,,,,256,0,2,,,,0,78,52,,
2557,set_tempo,,,,,0,1,0,,517241,,,,,,
2557,set_tempo,,,,,509,1,0,,521739,,,,,,
2560,note_off,,,,,0,0,2,,,,0,82,0,,
2560,note_off,,,,,0,0,2,,,,0,78,0,,
2560,note_on,,,,,0,0,2,,,,0,83,59,,
2560,note_on,,,,,282,0,3,,,,1,58,43,,
2560,note_on,,,,,0,0,2,,,,0,71,57,,
2560,note_on,,,,,0,0,3,,,,1,66,45,,
2560,note_on,,,,,0,0,3,,,,1,61,40,,
2560,note_off,,,,,256,0,2,,,,0,70,0,,
2619,note_off,,,,,59,0,2,,,,0,71,0,,
2637,note_off,,,,,77,0,3,,,,1,58,0,,
2675,note_off,,,,,56,0,2,,,,0,83,0,,
2714,note_off,,,,,77,0,3,,,,1,61,0,,
2790,note_off,,,,,76,0,3,,,,1,66,0,,
2813,set_tempo,,,,,0,1,0,,508474,,,,,,
2813,set_tempo,,,,,256,1,0,,512820,,,,,,
2816,note_on,,,,,141,0,2,,,,0,72,56,,
2816,note_on,,,,,0,0,2,,,,0,84,58,,
2875,note_off,,,,,59,0,2,,,,0,72,0,,
2931,note_off,,,,,56,0,2,,,,0,84,0,,
3069,set_tempo,,,,,256,1,0,,504201,,,,,,
3069,set_tempo,,,,,0,1,0,,500000,,,,,,
3072,note_on,,,,,282,0,3,,,,1,53,55,,
3072,note_on,,,,,141,0,2,,,,0,73,64,,
3302,note_off,,,,,230,0,3,,,,1,53,0,,
3328,note_on,,,,,0,0,2,,,,0,85,53,,
3328,note_on,,,,,256,0,2,,,,0,80,48,,
3356,set_tempo,,,,,0,1,0,,491803,,,,,,
3356,set_tempo,,,,,287,1,0,,495867,,,,,,
3584,note_on,,,,,0,0,3,,,,1,68,43,,
3584,note_on,,,,,0,0,2,,,,0,87,56,,
3584,note_on,,,,,0,0,2,,,,0,75,54,,
3584,note_off,,,,,0,0,2,,,,0,85,0,,
3584,note_on,,,,,0,0,3,,,,1,61,42,,
3584,note_on,,,,,282,0,3,,,,1,56,43,,
3584,note_off,,,,,256,0,2,,,,0,73,0,,
3584,note_off,,,,,0,0,2,,,,0,80,0,,
3643,note_off,,,,,59,0,2,,,,0,75,0,,
3661,note_off,,,,,77,0,3,,,,1,56,0,,
3697,set_tempo,,,,,341,1,0,,487804,,,,,,
3697,set_tempo,,,,,0,1,0,,483870,,,,,,
3699,note_off,,,,,56,0,2,,,,0,87,0,,
3738,note_off,,,,,77,0,3,,,,1,61,0,,
3814,note_off,,,,,76,0,3,,,,1,68,0,,
3840,note_on,,,,,141,0,2,,,,0,73,51,,
3840,note_on,,,,,0,0,2,,,,0,85,53,,
3899,note_off,,,,,59,0,2,,,,0,73,0,,
3955,note_off,,,,,56,0,2,,,,0,85,0,,
