tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,data,control,value,channel,program,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,,
0,key_signature,,0,1,0,,,,,Cm,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,
4,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
6,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,
10,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 4, 11)",,,,,,
12,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 49, 3, 11)",,,,,,
14,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 110, 30)",,,,,,
16,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 60, 79)",,,,,,
18,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 2, 5)",,,,,,
20,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 100, 33)",,,,,,
22,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 61, 7, 123)",,,,,,
24,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 8, 121)",,,,,,
26,control_change,,2,0,1,,,,,,,,0,0,0,,,
28,control_change,,2,0,1,,,,,,,,32,1,0,,,
30,program_change,,2,0,1,,,,,,,,,,0,0,,
32,control_change,,2,0,1,,,,,,,,7,120,0,,,
34,control_change,,2,0,1,,,,,,,,11,120,0,,,
36,control_change,,2,0,1,,,,,,,,91,40,0,,,
38,control_change,,2,0,1,,,,,,,,93,0,0,,,
40,control_change,,2,0,1,,,,,,,,10,64,0,,,
42,control_change,,2,0,1,,,,,,,,99,1,0,,,
44,control_change,,2,0,1,,,,,,,,98,8,0,,,
46,control_change,,2,0,1,,,,,,,,6,64,0,,,
48,control_change,,2,0,1,,,,,,,,98,9,0,,,
50,control_change,,2,0,1,,,,,,,,6,64,0,,,
52,control_change,,2,0,1,,,,,,,,98,10,0,,,
54,control_change,,2,0,1,,,,,,,,6,64,0,,,
56,control_change,,2,0,1,,,,,,,,98,32,0,,,
58,control_change,,2,0,1,,,,,,,,6,64,0,,,
60,control_change,,2,0,1,,,,,,,,98,33,0,,,
62,control_change,,2,0,1,,,,,,,,6,64,0,,,
64,control_change,,2,0,1,,,,,,,,98,99,0,,,
66,control_change,,2,0,1,,,,,,,,6,64,0,,,
68,control_change,,2,0,1,,,,,,,,98,100,0,,,
70,control_change,,2,0,1,,,,,,,,6,78,0,,,
72,control_change,,2,0,1,,,,,,,,98,102,0,,,
74,control_change,,2,0,1,,,,,,,,6,64,0,,,
192,control_change,,192,0,3,,,,,,,,64,127,0,,,
192,set_tempo,1395348,192,1,0,,,,,,,,,,,,,
192,note_on,,192,0,2,,,,,,,,,,0,,36,37
192,note_on,,0,0,2,,,,,,,,,,0,,48,47
216,note_on,,24,0,2,,,,,,,,,,0,,48,0
216,note_on,,0,0,2,,,,,,,,,,0,,36,0
240,note_on,,0,0,2,,,,,,,,,,0,,67,35
240,note_on,,0,0,2,,,,,,,,,,0,,63,30
240,note_on,,24,0,2,,,,,,,,,,0,,55,25
240,note_on,,166,0,1,,,,,,,,,,0,,79,58
240,set_tempo,1333333,48,1,0,,,,,,,,,,,,,
264,note_on,,0,0,2,,,,,,,,,,0,,63,0
264,note_on,,0,0,2,,,,,,,,,,0,,55,0
264,note_on,,24,0,2,,,,,,,,,,0,,67,0
286,note_on,,46,0,1,,,,,,,,,,0,,79,0
288,note_on,,24,0,2,,,,,,,,,,0,,36,40
288,note_on,,0,0,2,,,,,,,,,,0,,48,50
290,control_change,,98,0,3,,,,,,,,64,0,0,,,
296,control_change,,6,0,3,,,,,,,,64,127,0,,,
312,note_on,,24,0,2,,,,,,,,,,0,,48,0
312,note_on,,0,0,2,,,,,,,,,,0,,36,0
336,set_tempo,1395348,96,1,0,,,,,,,,,,,,,
336,note_on,,24,0,2,,,,,,,,,,0,,56,25
336,note_on,,0,0,2,,,,,,,,,,0,,63,30
336,note_on,,0,0,2,,,,,,,,,,0,,68,35
336,note_on,,50,0,1,,,,,,,,,,0,,80,69
360,note_on,,24,0,2,,,,,,,,,,0,,68,0
360,note_on,,0,0,2,,,,,,,,,,0,,56,0
360,note_on,,0,0,2,,,,,,,,,,0,,63,0
378,set_tempo,1818181,42,1,0,,,,,,,,,,,,,
382,note_on,,46,0,1,,,,,,,,,,0,,80,0
384,note_on,,0,0,2,,,,,,,,,,0,,47,42
384,set_tempo,1714285,6,1,0,,,,,,,,,,,,,
384,control_change,,88,0,3,,,,,,,,64,127,0,,,
384,note_on,,24,0,2,,,,,,,,,,0,,35,32
386,control_change,,2,0,3,,,,,,,,64,0,0,,,
392,control_change,,6,0,3,,,,,,,,64,127,0,,,
408,set_tempo,1153846,24,1,0,,,,,,,,,,,,,
408,note_on,,24,0,2,,,,,,,,,,0,,47,0
408,note_on,,0,0,2,,,,,,,,,,0,,35,0
408,note_on,,26,0,1,,,,,,,,,,0,,79,60
432,set_tempo,1538461,24,1,0,,,,,,,,,,,,,
432,note_on,,24,0,2,,,,,,,,,,0,,55,28
432,note_on,,0,0,2,,,,,,,,,,0,,62,32
432,note_on,,0,0,2,,,,,,,,,,0,,67,38
432,note_on,,0,0,2,,,,,,,,,,0,,65,35
456,note_on,,0,0,2,,,,,,,,,,0,,55,0
456,set_tempo,1071428,24,1,0,,,,,,,,,,,,,
456,note_on,,48,0,1,,,,,,,,,,0,,79,0
456,note_on,,0,0,2,,,,,,,,,,0,,62,0
456,note_on,,0,0,2,,,,,,,,,,0,,65,0
456,note_on,,24,0,2,,,,,,,,,,0,,67,0
456,note_on,,0,0,1,,,,,,,,,,0,,74,53
480,set_tempo,1621621,24,1,0,,,,,,,,,,,,,
480,note_on,,0,0,2,,,,,,,,,,0,,48,45
480,note_on,,24,0,2,,,,,,,,,,0,,36,35
482,control_change,,90,0,3,,,,,,,,64,0,0,,,
488,control_change,,6,0,3,,,,,,,,64,127,0,,,
492,note_on,,36,0,1,,,,,,,,,,0,,74,0
492,note_on,,0,0,1,,,,,,,,,,0,,75,59
492,set_tempo,1538461,12,1,0,,,,,,,,,,,,,
504,set_tempo,1071428,12,1,0,,,,,,,,,,,,,
504,note_on,,12,0,1,,,,,,,,,,0,,75,0
504,note_on,,0,0,2,,,,,,,,,,0,,36,0
504,note_on,,24,0,2,,,,,,,,,,0,,48,0
504,note_on,,0,0,1,,,,,,,,,,0,,77,60
516,note_on,,12,0,1,,,,,,,,,,0,,77,0
516,note_on,,0,0,1,,,,,,,,,,0,,75,59
516,set_tempo,1000000,12,1,0,,,,,,,,,,,,,
528,note_on,,12,0,1,,,,,,,,,,0,,75,0
528,note_on,,0,0,1,,,,,,,,,,0,,74,62
528,note_on,,0,0,2,,,,,,,,,,0,,67,38
528,note_on,,0,0,2,,,,,,,,,,0,,63,35
528,note_on,,0,0,2,,,,,,,,,,0,,60,32
528,note_on,,24,0,2,,,,,,,,,,0,,55,28
540,set_tempo,983606,24,1,0,,,,,,,,,,,,,
