tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,set_tempo,352769,0,1,0,,,,,,,,,,
0,control_change,,0,0,1,,,,,1,0,0,,,
0,control_change,,0,0,1,,,,,7,127,0,,,
0,control_change,,0,0,1,,,,,10,64,0,,,
0,control_change,,0,0,1,,,,,91,0,0,,,
0,control_change,,0,0,1,,,,,93,0,0,,,
0,program_change,,0,0,1,,,,,,,0,0,,
0,track_name,,0,1,1,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,0,,38,72
0,note_on,,0,0,1,,,,,,,0,,50,72
0,control_change,,0,0,2,,,,,32,0,1,,,
0,track_name,,0,1,2,,,,,,,,,,
0,control_change,,0,0,2,,,,,93,0,1,,,
0,control_change,,0,0,2,,,,,91,0,1,,,
0,control_change,,0,0,2,,,,,10,64,1,,,
0,control_change,,0,0,2,,,,,1,0,1,,,
0,control_change,,0,0,2,,,,,7,100,1,,,
0,program_change,,0,0,2,,,,,,,1,53,,
0,control_change,,0,0,1,,,,,32,0,0,,,
0,control_change,,0,0,1,,,,,0,0,0,,,
0,control_change,,0,0,2,,,,,0,0,1,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,
0,track_name,,0,1,0,,,,,,,,,,
96,note_on,,96,0,1,,,,,,,0,,50,0
96,note_on,,0,0,1,,,,,,,0,,38,0
120,note_on,,24,0,1,,,,,,,0,,49,72
120,note_on,,0,0,1,,,,,,,0,,37,72
216,note_on,,96,0,1,,,,,,,0,,37,0
216,note_on,,0,0,1,,,,,,,0,,49,0
240,note_on,,24,0,1,,,,,,,0,,38,72
240,note_on,,0,0,1,,,,,,,0,,50,72
336,note_on,,96,0,1,,,,,,,0,,50,0
336,note_on,,0,0,1,,,,,,,0,,38,0
360,note_on,,24,0,1,,,,,,,0,,51,72
360,note_on,,0,0,1,,,,,,,0,,39,72
456,note_on,,96,0,1,,,,,,,0,,39,0
456,note_on,,0,0,1,,,,,,,0,,51,0
480,note_on,,24,0,1,,,,,,,0,,52,72
480,note_on,,0,0,1,,,,,,,0,,40,72
576,note_on,,96,0,1,,,,,,,0,,40,0
576,note_on,,0,0,1,,,,,,,0,,52,0
600,note_on,,24,0,1,,,,,,,0,,41,85
600,note_on,,0,0,1,,,,,,,0,,53,85
696,note_on,,96,0,1,,,,,,,0,,53,0
696,note_on,,0,0,1,,,,,,,0,,41,0
720,note_on,,24,0,1,,,,,,,0,,42,94
720,note_on,,0,0,1,,,,,,,0,,54,94
816,note_on,,96,0,1,,,,,,,0,,54,0
816,note_on,,0,0,1,,,,,,,0,,42,0
840,note_on,,0,0,1,,,,,,,0,,55,105
840,note_on,,24,0,1,,,,,,,0,,43,105
936,note_on,,0,0,1,,,,,,,0,,43,0
936,note_on,,96,0,1,,,,,,,0,,55,0
960,note_on,,0,0,1,,,,,,,0,,56,105
960,note_on,,24,0,1,,,,,,,0,,44,105
1056,note_on,,0,0,1,,,,,,,0,,44,0
1056,note_on,,96,0,1,,,,,,,0,,56,0
1080,note_on,,24,0,1,,,,,,,0,,55,94
1080,note_on,,0,0,1,,,,,,,0,,43,94
1176,note_on,,96,0,1,,,,,,,0,,43,0
1176,note_on,,0,0,1,,,,,,,0,,55,0
1200,note_on,,24,0,1,,,,,,,0,,42,85
1200,note_on,,0,0,1,,,,,,,0,,54,85
1296,note_on,,96,0,1,,,,,,,0,,54,0
1296,note_on,,0,0,1,,,,,,,0,,42,0
1320,note_on,,24,0,1,,,,,,,0,,53,72
1320,note_on,,0,0,1,,,,,,,0,,41,72
1416,note_on,,96,0,1,,,,,,,0,,41,0
1416,note_on,,0,0,1,,,,,,,0,,53,0
1440,note_on,,24,0,1,,,,,,,0,,52,72
1440,note_on,,0,0,1,,,,,,,0,,40,72
1536,note_on,,96,0,1,,,,,,,0,,40,0
1536,note_on,,0,0,1,,,,,,,0,,52,0
1560,note_on,,24,0,1,,,,,,,0,,39,72
1560,note_on,,0,0,1,,,,,,,0,,51,72
