tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,,,333333,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,,Ab,,,,,,,
0,time_signature,0,1,0,,,,,,,,,6,8,12,8,,,,,,,,
60,control_change,60,0,1,,,,,,,,,,,,,,,0,0,0,,,
62,program_change,2,0,1,,,,,,,,,,,,,,,,,0,0,,
63,control_change,1,0,1,,,,,,,,,,,,,,,7,127,0,,,
120,control_change,57,0,1,,,,,,,,,,,,,,,91,64,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,0,0,0,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,93,20,0,,,
331,control_change,211,0,1,,,,,,,,,,,,,,,64,127,0,,,
360,note_on,29,0,1,,,,,,,,,,,,,,,,,0,,41,56
360,set_tempo,360,1,0,,,,,,,,,,,,,,845070,,,,,,
364,set_tempo,4,1,0,,,,,,,,,,,,,,833333,,,,,,
366,set_tempo,2,1,0,,,,,,,,,,,,,,821918,,,,,,
368,set_tempo,2,1,0,,,,,,,,,,,,,,810811,,,,,,
370,set_tempo,2,1,0,,,,,,,,,,,,,,800000,,,,,,
374,set_tempo,4,1,0,,,,,,,,,,,,,,789474,,,,,,
376,set_tempo,2,1,0,,,,,,,,,,,,,,779221,,,,,,
378,set_tempo,2,1,0,,,,,,,,,,,,,,769231,,,,,,
378,note_on,18,0,1,,,,,,,,,,,,,,,,,0,,41,0
380,set_tempo,2,1,0,,,,,,,,,,,,,,759494,,,,,,
384,set_tempo,4,1,0,,,,,,,,,,,,,,750000,,,,,,
386,set_tempo,2,1,0,,,,,,,,,,,,,,740741,,,,,,
388,set_tempo,2,1,0,,,,,,,,,,,,,,731707,,,,,,
390,set_tempo,2,1,0,,,,,,,,,,,,,,722892,,,,,,
391,note_on,13,0,1,,,,,,,,,,,,,,,,,0,,48,55
394,set_tempo,4,1,0,,,,,,,,,,,,,,714286,,,,,,
402,set_tempo,8,1,0,,,,,,,,,,,,,,705882,,,,,,
410,set_tempo,8,1,0,,,,,,,,,,,,,,697674,,,,,,
416,set_tempo,6,1,0,,,,,,,,,,,,,,689655,,,,,,
421,note_on,30,0,1,,,,,,,,,,,,,,,,,0,,65,60
