tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,data,program,note,velocity,pitch
0,set_tempo,480000,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,,,
0,control_change,,0,0,11,,,,,,,121,0,11,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,,,
0,control_change,,0,0,12,,,,,,,121,0,12,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,121,0,10,,,,,
0,midi_port,,0,1,13,,,,,,0,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,,,
0,control_change,,0,0,14,,,,,,,121,0,14,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,,,
0,control_change,,0,0,15,,,,,,,121,0,15,,,,,
0,track_name,,0,1,16,,,,,,,,,,,,,,
0,control_change,,0,0,13,,,,,,,121,0,13,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,,
0,control_change,,0,0,2,,,,,,,121,0,1,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,,,
0,control_change,,0,0,8,,,,,,,121,0,7,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,,,
0,control_change,,0,0,9,,,,,,,121,0,8,,,,,
0,midi_port,,0,1,16,,,,,,0,,,,,,,,
0,sysex,,0,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,121,0,0,,,,,
0,end_of_track,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,E,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,
