tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,data,control,value,channel,program,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,,
0,key_signature,,0,1,0,,,,,Ab,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,
4,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
6,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,
10,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 4, 11)",,,,,,
12,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 49, 3, 11)",,,,,,
14,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 110, 30)",,,,,,
16,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 60, 79)",,,,,,
18,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 2, 5)",,,,,,
20,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 100, 33)",,,,,,
22,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 61, 7, 123)",,,,,,
24,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 8, 121)",,,,,,
26,control_change,,2,0,1,,,,,,,,0,0,0,,,
28,control_change,,2,0,1,,,,,,,,32,1,0,,,
30,program_change,,2,0,1,,,,,,,,,,0,0,,
32,control_change,,2,0,1,,,,,,,,7,120,0,,,
34,control_change,,2,0,1,,,,,,,,11,120,0,,,
36,control_change,,2,0,1,,,,,,,,91,40,0,,,
38,control_change,,2,0,1,,,,,,,,93,0,0,,,
40,control_change,,2,0,1,,,,,,,,10,64,0,,,
42,control_change,,2,0,1,,,,,,,,99,1,0,,,
44,control_change,,2,0,1,,,,,,,,98,8,0,,,
46,control_change,,2,0,1,,,,,,,,6,64,0,,,
48,control_change,,2,0,1,,,,,,,,98,9,0,,,
50,control_change,,2,0,1,,,,,,,,6,64,0,,,
52,control_change,,2,0,1,,,,,,,,98,10,0,,,
54,control_change,,2,0,1,,,,,,,,6,64,0,,,
56,control_change,,2,0,1,,,,,,,,98,32,0,,,
58,control_change,,2,0,1,,,,,,,,6,64,0,,,
60,control_change,,2,0,1,,,,,,,,98,33,0,,,
62,control_change,,2,0,1,,,,,,,,6,64,0,,,
64,control_change,,2,0,1,,,,,,,,98,99,0,,,
66,control_change,,2,0,1,,,,,,,,6,64,0,,,
68,control_change,,2,0,1,,,,,,,,98,100,0,,,
70,control_change,,2,0,1,,,,,,,,6,80,0,,,
72,control_change,,2,0,1,,,,,,,,98,102,0,,,
74,control_change,,2,0,1,,,,,,,,6,64,0,,,
192,control_change,,192,0,3,,,,,,,,64,127,0,,,
192,note_on,,192,0,2,,,,,,,,,,0,,44,54
192,set_tempo,1621621,192,1,0,,,,,,,,,,,,,
196,note_on,,4,0,2,,,,,,,,,,0,,51,50
196,set_tempo,1333333,4,1,0,,,,,,,,,,,,,
200,note_on,,4,0,2,,,,,,,,,,0,,56,52
200,set_tempo,1153846,4,1,0,,,,,,,,,,,,,
204,note_on,,130,0,1,,,,,,,,,,0,,60,54
208,note_on,,4,0,1,,,,,,,,,,0,,63,56
212,note_on,,4,0,1,,,,,,,,,,0,,68,58
212,set_tempo,1621621,12,1,0,,,,,,,,,,,,,
216,set_tempo,1395348,4,1,0,,,,,,,,,,,,,
216,note_on,,4,0,1,,,,,,,,,,0,,72,66
280,note_on,,80,0,2,,,,,,,,,,0,,56,0
280,note_on,,0,0,2,,,,,,,,,,0,,44,0
280,note_on,,0,0,2,,,,,,,,,,0,,51,0
280,note_on,,0,0,1,,,,,,,,,,0,,63,0
280,note_on,,0,0,1,,,,,,,,,,0,,68,0
280,note_on,,64,0,1,,,,,,,,,,0,,72,0
280,note_on,,0,0,1,,,,,,,,,,0,,60,0
288,note_on,,0,0,1,,,,,,,,,,0,,68,72
288,set_tempo,1621621,72,1,0,,,,,,,,,,,,,
288,note_on,,0,0,1,,,,,,,,,,0,,65,56
288,note_on,,8,0,1,,,,,,,,,,0,,61,46
288,note_on,,8,0,2,,,,,,,,,,0,,49,40
288,note_on,,0,0,2,,,,,,,,,,0,,56,46
290,control_change,,98,0,3,,,,,,,,64,0,0,,,
296,control_change,,6,0,3,,,,,,,,64,127,0,,,
328,note_on,,40,0,1,,,,,,,,,,0,,65,0
336,note_on,,8,0,1,,,,,,,,,,0,,64,60
360,note_on,,24,0,1,,,,,,,,,,0,,64,0
360,note_on,,0,0,1,,,,,,,,,,0,,68,0
360,note_on,,0,0,1,,,,,,,,,,0,,70,50
360,set_tempo,2142857,72,1,0,,,,,,,,,,,,,
372,note_on,,0,0,2,,,,,,,,,,0,,49,0
372,note_on,,12,0,1,,,,,,,,,,0,,61,0
372,note_on,,84,0,2,,,,,,,,,,0,,56,0
384,set_tempo,1818181,24,1,0,,,,,,,,,,,,,
384,note_on,,12,0,2,,,,,,,,,,0,,44,50
384,control_change,,88,0,3,,,,,,,,64,127,0,,,
386,control_change,,2,0,3,,,,,,,,64,0,0,,,
386,note_on,,14,0,1,,,,,,,,,,0,,70,0
388,set_tempo,1621621,4,1,0,,,,,,,,,,,,,
388,note_on,,4,0,2,,,,,,,,,,0,,51,48
392,set_tempo,1463414,4,1,0,,,,,,,,,,,,,
392,control_change,,6,0,3,,,,,,,,64,127,0,,,
392,note_on,,4,0,2,,,,,,,,,,0,,56,50
396,note_on,,10,0,1,,,,,,,,,,0,,60,52
396,set_tempo,1621621,4,1,0,,,,,,,,,,,,,
400,note_on,,4,0,1,,,,,,,,,,0,,63,54
400,set_tempo,1935483,4,1,0,,,,,,,,,,,,,
404,set_tempo,2500000,4,1,0,,,,,,,,,,,,,
404,note_on,,4,0,1,,,,,,,,,,0,,68,56
412,note_on,,8,0,1,,,,,,,,,,0,,72,60
412,set_tempo,1463414,8,1,0,,,,,,,,,,,,,
528,note_on,,116,0,1,,,,,,,,,,0,,72,0
528,note_on,,0,0,1,,,,,,,,,,0,,68,0
528,note_on,,0,0,1,,,,,,,,,,0,,63,0
528,note_on,,0,0,2,,,,,,,,,,0,,44,0
528,note_on,,0,0,2,,,,,,,,,,0,,51,0
528,control_change,,136,0,3,,,,,,,,64,0,0,,,
528,note_on,,136,0,2,,,,,,,,,,0,,56,0
528,note_on,,0,0,1,,,,,,,,,,0,,60,0
576,control_change,,48,0,3,,,,,,,,64,127,0,,,
576,note_on,,48,0,1,,,,,,,,,,0,,72,66
576,note_on,,48,0,2,,,,,,,,,,0,,44,36
576,set_tempo,2142857,164,1,0,,,,,,,,,,,,,
588,note_on,,12,0,2,,,,,,,,,,0,,44,0
592,set_tempo,1111111,16,1,0,,,,,,,,,,,,,
592,note_on,,4,0,2,,,,,,,,,,0,,56,30
592,note_on,,0,0,2,,,,,,,,,,0,,60,38
608,note_on,,16,0,2,,,,,,,,,,0,,60,0
608,set_tempo,1333333,16,1,0,,,,,,,,,,,,,
608,note_on,,0,0,2,,,,,,,,,,0,,51,34
608,note_on,,0,0,2,,,,,,,,,,0,,56,0
