tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,set_tempo,1199873,0,1,0,,,,,,,,,,
0,control_change,,0,0,2,,,,,1,0,1,,,
0,control_change,,0,0,2,,,,,10,64,1,,,
0,control_change,,0,0,2,,,,,91,0,1,,,
0,control_change,,0,0,2,,,,,93,0,1,,,
0,track_name,,0,1,2,,,,,,,,,,
0,note_on,,0,0,2,,,,,,,1,,62,72
0,note_on,,0,0,2,,,,,,,1,,71,72
0,note_on,,0,0,2,,,,,,,1,,68,72
0,note_on,,0,0,2,,,,,,,1,,52,72
0,control_change,,0,0,2,,,,,7,127,1,,,
0,track_name,,0,1,1,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,0,,71,72
0,control_change,,0,0,1,,,,,93,0,0,,,
0,control_change,,0,0,1,,,,,91,0,0,,,
0,control_change,,0,0,1,,,,,10,64,0,,,
0,control_change,,0,0,1,,,,,1,0,0,,,
0,control_change,,0,0,1,,,,,7,127,0,,,
0,control_change,,0,0,1,,,,,32,0,0,,,
0,control_change,,0,0,1,,,,,0,0,0,,,
0,control_change,,0,0,2,,,,,32,0,1,,,
0,control_change,,0,0,2,,,,,0,0,1,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,
0,program_change,,0,0,1,,,,,,,0,53,,
0,program_change,,0,0,2,,,,,,,1,0,,
192,note_on,,0,0,2,,,,,,,1,,71,0
192,note_on,,192,0,2,,,,,,,1,,68,0
192,note_on,,0,0,2,,,,,,,1,,62,0
192,note_on,,192,0,1,,,,,,,0,,71,0
240,note_on,,0,0,2,,,,,,,1,,64,72
240,note_on,,48,0,2,,,,,,,1,,72,72
240,note_on,,48,0,1,,,,,,,0,,72,72
336,note_on,,96,0,2,,,,,,,1,,64,0
336,note_on,,96,0,1,,,,,,,0,,72,0
336,note_on,,0,0,2,,,,,,,1,,72,0
360,note_on,,24,0,2,,,,,,,1,,62,72
360,note_on,,0,0,2,,,,,,,1,,71,72
360,note_on,,24,0,1,,,,,,,0,,71,72
384,note_on,,24,0,2,,,,,,,1,,52,0
456,note_on,,96,0,1,,,,,,,0,,71,0
456,note_on,,72,0,2,,,,,,,1,,71,0
456,note_on,,0,0,2,,,,,,,1,,62,0
480,note_on,,24,0,2,,,,,,,1,,69,72
480,note_on,,0,0,2,,,,,,,1,,57,72
480,note_on,,0,0,2,,,,,,,1,,60,72
480,note_on,,24,0,1,,,,,,,0,,69,72
672,note_on,,192,0,2,,,,,,,1,,60,0
672,note_on,,0,0,2,,,,,,,1,,57,0
672,note_on,,0,0,2,,,,,,,1,,69,0
672,note_on,,192,0,1,,,,,,,0,,69,0
720,note_on,,48,0,1,,,,,,,0,,71,72
720,note_on,,0,0,2,,,,,,,1,,50,72
720,note_on,,0,0,2,,,,,,,1,,65,72
720,note_on,,48,0,2,,,,,,,1,,71,72
