tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,track_name,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,program_change,0,0,3,,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,0,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,set_tempo,0,1,0,,,,,,312500,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
240,note_on,240,0,1,,,,,,,,,0,73,80,,
300,note_on,60,0,1,,,,,,,,,0,73,0,,
360,note_on,360,0,2,,,,,,,,,0,43,90,,
360,note_on,60,0,1,,,,,,,,,0,73,80,,
360,control_change,360,0,3,,,,,,,,,0,,,64,127
420,note_on,60,0,1,,,,,,,,,0,73,0,,
420,note_on,0,0,1,,,,,,,,,0,72,80,,
480,note_on,120,0,2,,,,,,,,,0,43,0,,
480,note_on,0,0,1,,,,,,,,,0,75,80,,
480,note_on,0,0,2,,,,,,,,,0,61,80,,
480,note_on,0,0,2,,,,,,,,,0,58,80,,
480,note_on,0,0,2,,,,,,,,,0,51,80,,
480,control_change,120,0,3,,,,,,,,,0,,,64,0
480,note_on,60,0,1,,,,,,,,,0,72,0,,
540,note_on,60,0,1,,,,,,,,,0,75,0,,
540,note_on,0,0,1,,,,,,,,,0,73,80,,
600,note_on,120,0,2,,,,,,,,,0,51,0,,
600,note_on,0,0,2,,,,,,,,,0,58,0,,
600,note_on,0,0,2,,,,,,,,,0,61,0,,
600,note_on,0,0,2,,,,,,,,,0,51,80,,
600,note_on,0,0,2,,,,,,,,,0,61,80,,
600,note_on,60,0,1,,,,,,,,,0,73,0,,
600,note_on,0,0,2,,,,,,,,,0,58,80,,
600,note_on,0,0,1,,,,,,,,,0,84,80,,
660,note_on,60,0,1,,,,,,,,,0,84,0,,
660,note_on,0,0,1,,,,,,,,,0,82,80,,
720,note_on,60,0,1,,,,,,,,,0,82,0,,
720,note_on,120,0,2,,,,,,,,,0,61,0,,
720,note_on,0,0,2,,,,,,,,,0,58,0,,
720,note_on,0,0,2,,,,,,,,,0,51,0,,
720,note_on,0,0,2,,,,,,,,,0,43,90,,
720,note_on,0,0,1,,,,,,,,,0,73,80,,
720,control_change,240,0,3,,,,,,,,,0,,,64,127
780,note_on,60,0,1,,,,,,,,,0,73,0,,
780,note_on,0,0,1,,,,,,,,,0,72,80,,
840,note_on,0,0,2,,,,,,,,,0,61,80,,
840,control_change,120,0,3,,,,,,,,,0,,,64,0
840,note_on,0,0,1,,,,,,,,,0,75,80,,
840,note_on,60,0,1,,,,,,,,,0,72,0,,
840,note_on,120,0,2,,,,,,,,,0,43,0,,
840,note_on,0,0,2,,,,,,,,,0,58,80,,
840,note_on,0,0,2,,,,,,,,,0,51,80,,
900,note_on,0,0,1,,,,,,,,,0,73,80,,
900,note_on,60,0,1,,,,,,,,,0,75,0,,
960,note_on,0,0,2,,,,,,,,,0,61,0,,
960,note_on,0,0,1,,,,,,,,,0,84,80,,
960,note_on,60,0,1,,,,,,,,,0,73,0,,
960,note_on,120,0,2,,,,,,,,,0,51,0,,
960,note_on,0,0,2,,,,,,,,,0,58,0,,
960,note_on,0,0,2,,,,,,,,,0,58,80,,
