tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,1,,,,,0,10,64,,
0,control_change,,,,,0,0,1,,,,,0,7,127,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,set_tempo,,,,,0,1,0,,571429,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
173,control_change,,,,,173,0,1,,,,,0,91,114,,
173,note_on,,,,,0,0,1,,,,,0,,,49,62
221,note_on,,,,,48,0,1,,,,,0,,,51,68
224,note_on,,,,,3,0,1,,,,,0,,,49,0
259,note_on,,,,,35,0,1,,,,,0,,,49,68
261,note_on,,,,,2,0,1,,,,,0,,,51,0
294,note_on,,,,,33,0,1,,,,,0,,,49,0
297,note_on,,,,,3,0,1,,,,,0,,,48,79
334,note_on,,,,,37,0,1,,,,,0,,,49,82
341,note_on,,,,,7,0,1,,,,,0,,,48,0
369,note_on,,,,,28,0,1,,,,,0,,,49,0
376,note_on,,,,,7,0,1,,,,,0,,,58,75
416,note_on,,,,,40,0,1,,,,,0,,,56,73
420,note_on,,,,,4,0,1,,,,,0,,,58,0
454,note_on,,,,,34,0,1,,,,,0,,,54,76
456,note_on,,,,,2,0,1,,,,,0,,,56,0
488,note_on,,,,,32,0,1,,,,,0,,,54,0
493,note_on,,,,,5,0,1,,,,,0,,,53,82
534,note_on,,,,,41,0,1,,,,,0,,,53,0
536,note_on,,,,,2,0,1,,,,,0,,,63,78
573,note_on,,,,,37,0,1,,,,,0,,,63,0
576,note_on,,,,,3,0,1,,,,,0,,,61,72
612,note_on,,,,,36,0,1,,,,,0,,,61,0
613,note_on,,,,,1,0,1,,,,,0,,,60,78
654,note_on,,,,,41,0,1,,,,,0,,,60,0
656,note_on,,,,,2,0,1,,,,,0,,,59,82
691,note_on,,,,,35,0,1,,,,,0,,,59,0
694,note_on,,,,,3,0,1,,,,,0,,,61,77
730,note_on,,,,,36,0,1,,,,,0,,,61,0
733,note_on,,,,,3,0,1,,,,,0,,,59,76
776,note_on,,,,,43,0,1,,,,,0,,,59,0
776,note_on,,,,,0,0,1,,,,,0,,,58,79
810,note_on,,,,,34,0,1,,,,,0,,,58,0
815,note_on,,,,,5,0,1,,,,,0,,,59,72
850,note_on,,,,,35,0,1,,,,,0,,,59,0
862,note_on,,,,,12,0,1,,,,,0,,,70,74
906,note_on,,,,,0,0,1,,,,,0,,,68,75
906,note_on,,,,,44,0,1,,,,,0,,,70,0
948,note_on,,,,,42,0,1,,,,,0,,,68,0
949,note_on,,,,,1,0,1,,,,,0,,,66,73
989,note_on,,,,,40,0,1,,,,,0,,,66,0
995,note_on,,,,,6,0,1,,,,,0,,,65,70
1044,note_on,,,,,49,0,1,,,,,0,,,75,70
1047,note_on,,,,,3,0,1,,,,,0,,,65,0
1096,note_on,,,,,49,0,1,,,,,0,,,75,0
1096,note_on,,,,,0,0,1,,,,,0,,,73,69
1150,note_on,,,,,54,0,1,,,,,0,,,73,0
1156,note_on,,,,,6,0,1,,,,,0,,,69,50
1229,note_on,,,,,73,0,1,,,,,0,,,69,0
1230,set_tempo,,,,,1230,1,0,,582524,,,,,,,
1230,note_on,,,,,1,0,1,,,,,0,,,70,66
1235,note_on,,,,,5,0,1,,,,,0,,,30,46
1264,control_change,,,,,29,0,1,,,,,0,64,72,,
1268,control_change,,,,,4,0,1,,,,,0,64,127,,
1270,note_on,,,,,2,0,1,,,,,0,,,30,0
1280,note_on,,,,,10,0,1,,,,,0,,,70,0
1286,note_on,,,,,6,0,1,,,,,0,,,71,65
1319,note_on,,,,,33,0,1,,,,,0,,,71,0
1328,note_on,,,,,9,0,1,,,,,0,,,72,85
1372,note_on,,,,,44,0,1,,,,,0,,,72,0
1372,note_on,,,,,0,0,1,,,,,0,,,75,82
1372,note_on,,,,,0,0,1,,,,,0,,,66,50
1401,note_on,,,,,29,0,1,,,,,0,,,66,0
1401,note_on,,,,,0,0,1,,,,,0,,,75,0
1411,note_on,,,,,10,0,1,,,,,0,,,58,46
1414,note_on,,,,,3,0,1,,,,,0,,,73,86
1436,note_on,,,,,22,0,1,,,,,0,,,58,0
1442,note_on,,,,,6,0,1,,,,,0,,,73,0
1450,note_on,,,,,8,0,1,,,,,0,,,82,84
1454,note_on,,,,,4,0,1,,,,,0,,,49,43
1484,note_on,,,,,30,0,1,,,,,0,,,82,0
1488,note_on,,,,,4,0,1,,,,,0,,,49,0
1493,control_change,,,,,5,0,1,,,,,0,64,104,,
1495,note_on,,,,,2,0,1,,,,,0,,,83,86
1497,control_change,,,,,2,0,1,,,,,0,64,24,,
1500,note_on,,,,,3,0,1,,,,,0,,,54,48
1502,control_change,,,,,2,0,1,,,,,0,64,0,,
1520,note_on,,,,,18,0,1,,,,,0,,,83,0
1526,control_change,,,,,6,0,1,,,,,0,64,56,,
1530,control_change,,,,,4,0,1,,,,,0,64,127,,
1537,note_on,,,,,7,0,1,,,,,0,,,82,79
1541,note_on,,,,,4,0,1,,,,,0,,,54,0
1544,note_on,,,,,3,0,1,,,,,0,,,66,58
1570,note_on,,,,,26,0,1,,,,,0,,,66,0
1572,note_on,,,,,2,0,1,,,,,0,,,82,0
1576,note_on,,,,,4,0,1,,,,,0,,,77,92
1584,note_on,,,,,8,0,1,,,,,0,,,58,46
1603,note_on,,,,,19,0,1,,,,,0,,,77,0
1609,note_on,,,,,6,0,1,,,,,0,,,58,0
1618,note_on,,,,,9,0,1,,,,,0,,,78,88
1621,note_on,,,,,3,0,1,,,,,0,,,66,43
1640,note_on,,,,,19,0,1,,,,,0,,,66,0
1646,note_on,,,,,6,0,1,,,,,0,,,78,0
1656,note_on,,,,,0,0,1,,,,,0,,,75,89
1656,note_on,,,,,10,0,1,,,,,0,,,58,46
1682,note_on,,,,,26,0,1,,,,,0,,,58,0
