tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,
0,note_on,0,0,1,,,,,,,,,0,77,100
0,track_name,0,1,9,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,
0,track_name,0,1,2,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,
0,note_on,0,0,2,,,,,,,,,1,49,100
0,midi_port,0,1,3,,,,,,,0,,,,
0,track_name,0,1,3,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,
0,track_name,0,1,4,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,
0,track_name,0,1,6,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,
0,track_name,0,1,7,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,
0,track_name,0,1,8,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,
0,midi_port,0,1,5,,,,,,,0,,,,
0,midi_port,0,1,1,,,,,,,0,,,,
0,end_of_track,0,1,9,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,
0,key_signature,0,1,0,,,,,Db,,,,,,
0,set_tempo,0,1,0,,,,,,689655,,,,,
60,note_on,60,0,2,,,,,,,,,1,49,0
60,note_on,0,0,2,,,,,,,,,1,56,100
60,set_tempo,60,1,0,,,,,,697674,,,,,
90,note_on,90,0,1,,,,,,,,,0,77,0
90,note_on,0,0,1,,,,,,,,,0,73,100
120,set_tempo,60,1,0,,,,,,705882,,,,,
120,note_on,0,0,1,,,,,,,,,0,68,100
120,note_on,30,0,1,,,,,,,,,0,73,0
120,note_on,0,0,2,,,,,,,,,1,61,100
120,note_on,0,0,2,,,,,,,,,1,65,100
120,note_on,60,0,2,,,,,,,,,1,56,0
180,note_on,60,0,2,,,,,,,,,1,56,100
180,set_tempo,60,1,0,,,,,,714286,,,,,
240,note_on,60,0,2,,,,,,,,,1,56,0
240,set_tempo,60,1,0,,,,,,722892,,,,,
240,note_on,0,0,2,,,,,,,,,1,56,100
300,note_on,0,0,2,,,,,,,,,1,56,100
300,set_tempo,60,1,0,,,,,,731707,,,,,
300,note_on,60,0,2,,,,,,,,,1,56,0
360,note_on,240,0,1,,,,,,,,,0,68,0
360,set_tempo,60,1,0,,,,,,740741,,,,,
360,note_on,0,0,1,,,,,,,,,0,70,100
360,note_on,60,0,2,,,,,,,,,1,56,0
360,note_on,0,0,2,,,,,,,,,1,61,0
360,note_on,0,0,2,,,,,,,,,1,65,0
360,note_on,0,0,2,,,,,,,,,1,65,100
360,note_on,0,0,2,,,,,,,,,1,61,100
420,note_on,0,0,2,,,,,,,,,1,65,0
420,note_on,0,0,2,,,,,,,,,1,56,100
420,set_tempo,60,1,0,,,,,,750000,,,,,
