tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,data,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,,
0,control_change,,,,,0,0,1,,,,,0,7,120,,,
0,control_change,,,,,0,0,1,,,,,0,10,75,,,
0,track_name,,,,,0,1,6,,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,program_change,,,,,0,0,2,,,,0,1,,,,,
0,control_change,,,,,0,0,2,,,,,1,7,116,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,control_change,,,,,0,0,2,,,,,1,10,50,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,,
0,key_signature,,,,,0,1,0,Db,,,,,,,,,
0,set_tempo,,,,,0,1,0,,430108,,,,,,,,
60,midi_port,,,,,0,1,1,,,0,,,,,,,
60,sysex,,,,,60,0,1,,,,,,,,"(126, 127, 9, 1)",,
180,note_on,,,,,120,0,1,,,,,0,,,,68,45
237,note_on,,,,,57,0,1,,,,,0,,,,68,0
240,note_on,,,,,3,0,1,,,,,0,,,,67,50
269,note_on,,,,,29,0,1,,,,,0,,,,67,0
270,note_on,,,,,1,0,1,,,,,0,,,,68,49
298,note_on,,,,,28,0,1,,,,,0,,,,68,0
300,note_on,,,,,2,0,1,,,,,0,,,,72,53
329,note_on,,,,,29,0,1,,,,,0,,,,72,0
330,note_on,,,,,1,0,1,,,,,0,,,,70,50
357,note_on,,,,,27,0,1,,,,,0,,,,70,0
360,note_on,,,,,3,0,1,,,,,0,,,,67,54
365,set_tempo,,,,,365,1,0,,430108,,,,,,,,
389,note_on,,,,,29,0,1,,,,,0,,,,67,0
390,note_on,,,,,1,0,1,,,,,0,,,,68,51
417,note_on,,,,,27,0,1,,,,,0,,,,68,0
420,note_on,,,,,3,0,1,,,,,0,,,,70,57
449,note_on,,,,,29,0,1,,,,,0,,,,70,0
450,note_on,,,,,1,0,1,,,,,0,,,,68,55
478,note_on,,,,,28,0,1,,,,,0,,,,68,0
480,note_on,,,,,2,0,1,,,,,0,,,,72,60
510,note_on,,,,,0,0,1,,,,,0,,,,70,56
510,note_on,,,,,30,0,1,,,,,0,,,,72,0
537,note_on,,,,,27,0,1,,,,,0,,,,70,0
540,note_on,,,,,3,0,1,,,,,0,,,,67,57
567,note_on,,,,,27,0,1,,,,,0,,,,67,0
570,note_on,,,,,3,0,1,,,,,0,,,,68,61
599,note_on,,,,,29,0,1,,,,,0,,,,68,0
600,note_on,,,,,1,0,1,,,,,0,,,,72,61
628,note_on,,,,,28,0,1,,,,,0,,,,72,0
630,note_on,,,,,2,0,1,,,,,0,,,,70,65
659,note_on,,,,,29,0,1,,,,,0,,,,70,0
660,note_on,,,,,1,0,1,,,,,0,,,,67,62
687,note_on,,,,,27,0,1,,,,,0,,,,67,0
690,note_on,,,,,3,0,1,,,,,0,,,,68,66
719,note_on,,,,,29,0,1,,,,,0,,,,68,0
720,set_tempo,,,,,355,1,0,,393443,,,,,,,,
720,note_on,,,,,1,0,1,,,,,0,,,,72,63
747,note_on,,,,,27,0,1,,,,,0,,,,72,0
750,note_on,,,,,3,0,1,,,,,0,,,,70,69
779,note_on,,,,,29,0,1,,,,,0,,,,70,0
780,note_on,,,,,1,0,1,,,,,0,,,,67,67
808,note_on,,,,,28,0,1,,,,,0,,,,67,0
810,note_on,,,,,2,0,1,,,,,0,,,,68,72
840,note_on,,,,,30,0,1,,,,,0,,,,68,0
840,note_on,,,,,0,0,1,,,,,0,,,,72,68
867,note_on,,,,,27,0,1,,,,,0,,,,72,0
870,note_on,,,,,3,0,1,,,,,0,,,,70,69
897,note_on,,,,,27,0,1,,,,,0,,,,70,0
900,note_on,,,,,900,0,2,,,,,1,,,,49,49
900,control_change,,,,,0,0,2,,,,,1,64,127,,,
900,note_on,,,,,3,0,1,,,,,0,,,,67,73
900,control_change,,,,,0,0,1,,,,,0,64,127,,,
929,note_on,,,,,29,0,1,,,,,0,,,,67,0
930,note_on,,,,,1,0,1,,,,,0,,,,68,72
