tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,control,value,channel,data,program,note,velocity,pitch
0,copyright,0,1,0,,,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,121,0,15,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,,
0,control_change,0,0,14,,,,,,,121,0,14,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,121,0,13,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,121,0,12,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,121,0,11,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,121,0,10,,,,,
0,control_change,0,0,9,,,,,,,121,0,8,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,121,0,7,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,121,0,1,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,
0,sysex,0,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,
0,track_name,0,1,4,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,Em,,,,,,,,
0,control_change,0,0,1,,,,,,,121,0,0,,,,,
0,set_tempo,0,1,0,,,,,500000,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,,
80,control_change,80,0,14,,,,,,,101,0,14,,,,,
80,control_change,80,0,12,,,,,,,101,0,12,,,,,
80,control_change,80,0,15,,,,,,,101,0,15,,,,,
80,control_change,80,0,11,,,,,,,101,0,11,,,,,
80,control_change,80,0,10,,,,,,,101,0,10,,,,,
80,control_change,80,0,13,,,,,,,101,0,13,,,,,
