tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,key,note,velocity,channel,control,value
0,time_signature,4,4,96,8,0,1,0,,,,,,,,
0,key_signature,,,,,0,1,10,,,C,,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,key_signature,,,,,0,1,2,,,C,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,
0,key_signature,,,,,0,1,3,,,C,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,
0,key_signature,,,,,0,1,4,,,C,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,
0,key_signature,,,,,0,1,5,,,C,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,
0,key_signature,,,,,0,1,6,,,C,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,
0,key_signature,,,,,0,1,7,,,C,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,
0,key_signature,,,,,0,1,8,,,C,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,,
0,key_signature,,,,,0,1,9,,,C,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,
0,key_signature,,,,,0,1,1,,,C,,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,
0,set_tempo,,,,,0,1,0,,431654,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,
964,note_on,,,,,964,0,1,,,,79,87,0,,
972,control_change,,,,,8,0,1,,,,,,0,64,24
984,control_change,,,,,12,0,1,,,,,,0,64,88
1000,control_change,,,,,16,0,1,,,,,,0,64,127
1064,note_on,,,,,64,0,1,,,,78,85,0,,
1096,note_off,,,,,32,0,1,,,,79,0,0,,
1180,note_on,,,,,84,0,1,,,,74,87,0,,
1212,note_off,,,,,32,0,1,,,,78,0,0,,
1252,note_off,,,,,40,0,1,,,,74,0,0,,
1276,note_on,,,,,24,0,1,,,,71,89,0,,
1356,note_off,,,,,80,0,1,,,,71,0,0,,
1404,note_on,,,,,48,0,1,,,,66,85,0,,
1464,control_change,,,,,60,0,1,,,,,,0,64,56
1480,control_change,,,,,16,0,1,,,,,,0,64,0
1576,control_change,,,,,96,0,1,,,,,,0,64,104
1592,control_change,,,,,16,0,1,,,,,,0,64,127
1808,control_change,,,,,216,0,1,,,,,,0,64,40
1816,note_on,,,,,8,0,1,,,,59,44,0,,
1820,note_on,,,,,0,0,1,,,,62,51,0,,
1820,note_on,,,,,4,0,1,,,,47,54,0,,
1820,control_change,,,,,0,0,1,,,,,,0,64,0
1884,control_change,,,,,64,0,1,,,,,,0,64,40
1888,note_off,,,,,4,0,1,,,,47,0,0,,
1900,control_change,,,,,12,0,1,,,,,,0,64,104
1904,note_off,,,,,4,0,1,,,,62,0,0,,
1916,control_change,,,,,0,0,1,,,,,,0,64,127
1916,note_off,,,,,12,0,1,,,,59,0,0,,
1956,note_off,,,,,40,0,1,,,,66,0,0,,
2216,note_on,,,,,260,0,1,,,,71,90,0,,
2224,control_change,,,,,8,0,1,,,,,,0,64,116
2232,note_on,,,,,0,0,1,,,,64,74,0,,
2232,note_on,,,,,8,0,1,,,,59,66,0,,
2236,note_on,,,,,4,0,1,,,,43,67,0,,
2244,control_change,,,,,0,0,1,,,,,,0,64,0
2244,note_on,,,,,8,0,1,,,,55,51,0,,
2276,note_off,,,,,32,0,1,,,,71,0,0,,
2288,control_change,,,,,0,0,1,,,,,,0,64,24
2288,note_off,,,,,12,0,1,,,,43,0,0,,
2292,note_off,,,,,4,0,1,,,,59,0,0,,
2296,note_off,,,,,4,0,1,,,,55,0,0,,
2304,control_change,,,,,0,0,1,,,,,,0,64,88
2304,note_off,,,,,8,0,1,,,,64,0,0,,
2660,note_on,,,,,0,0,1,,,,73,93,0,,
2660,control_change,,,,,356,0,1,,,,,,0,64,127
2660,note_on,,,,,0,0,1,,,,40,66,0,,
2660,control_change,,,,,0,0,1,,,,,,0,64,40
2660,note_on,,,,,0,0,1,,,,67,60,0,,
2660,note_on,,,,,0,0,1,,,,71,57,0,,
2660,note_on,,,,,0,0,1,,,,61,60,0,,
2660,note_on,,,,,0,0,1,,,,52,61,0,,
2676,control_change,,,,,16,0,1,,,,,,0,64,0
2748,control_change,,,,,72,0,1,,,,,,0,64,88
2768,control_change,,,,,20,0,1,,,,,,0,64,127
2824,note_off,,,,,56,0,1,,,,73,0,0,,
2828,note_off,,,,,4,0,1,,,,61,0,0,,
2828,note_off,,,,,0,0,1,,,,71,0,0,,
2836,note_off,,,,,8,0,1,,,,52,0,0,,
2836,note_off,,,,,0,0,1,,,,40,0,0,,
2840,note_off,,,,,4,0,1,,,,67,0,0,,
3128,note_on,,,,,288,0,1,,,,70,89,0,,
3128,note_on,,,,,0,0,1,,,,58,63,0,,
3128,note_on,,,,,0,0,1,,,,61,62,0,,
3128,note_on,,,,,0,0,1,,,,49,58,0,,
3128,note_on,,,,,0,0,1,,,,54,60,0,,
3128,note_on,,,,,0,0,1,,,,42,63,0,,
3128,note_on,,,,,0,0,1,,,,66,61,0,,
3216,control_change,,,,,88,0,1,,,,,,0,64,104
3232,control_change,,,,,16,0,1,,,,,,0,64,0
3340,control_change,,,,,108,0,1,,,,,,0,64,127
3344,note_off,,,,,4,0,1,,,,49,0,0,,
3348,note_off,,,,,4,0,1,,,,66,0,0,,
3352,note_off,,,,,4,0,1,,,,61,0,0,,
3356,note_off,,,,,4,0,1,,,,42,0,0,,
3356,note_off,,,,,0,0,1,,,,54,0,0,,
3360,note_off,,,,,4,0,1,,,,70,0,0,,
3380,note_off,,,,,20,0,1,,,,58,0,0,,
3740,note_on,,,,,0,0,1,,,,58,62,0,,
3740,note_on,,,,,0,0,1,,,,61,25,0,,
3740,note_on,,,,,0,0,1,,,,40,70,0,,
3740,note_on,,,,,360,0,1,,,,54,71,0,,
3740,note_on,,,,,0,0,1,,,,52,77,0,,
3740,note_on,,,,,0,0,1,,,,66,91,0,,
3768,note_off,,,,,28,0,1,,,,61,0,0,,
3784,note_off,,,,,16,0,1,,,,40,0,0,,
3788,note_off,,,,,4,0,1,,,,54,0,0,,
3792,note_off,,,,,4,0,1,,,,58,0,0,,
3796,note_off,,,,,4,0,1,,,,52,0,0,,
3812,note_off,,,,,16,0,1,,,,66,0,0,,
3852,control_change,,,,,40,0,1,,,,,,0,64,104
3864,control_change,,,,,12,0,1,,,,,,0,64,72
3884,control_change,,,,,20,0,1,,,,,,0,64,56
3900,control_change,,,,,16,0,1,,,,,,0,64,24
3916,control_change,,,,,16,0,1,,,,,,0,64,0
3944,note_on,,,,,28,0,1,,,,71,96,0,,
3948,note_on,,,,,4,0,1,,,,59,70,0,,
3956,note_on,,,,,8,0,1,,,,50,75,0,,
3956,note_on,,,,,0,0,1,,,,66,61,0,,
3980,note_on,,,,,24,0,1,,,,38,65,0,,
3988,note_off,,,,,8,0,1,,,,66,0,0,,
4004,note_off,,,,,16,0,1,,,,59,0,0,,
4008,note_off,,,,,4,0,1,,,,50,0,0,,
4012,note_off,,,,,4,0,1,,,,71,0,0,,
4012,note_off,,,,,0,0,1,,,,38,0,0,,
4140,note_on,,,,,0,0,1,,,,66,69,0,,
4140,note_on,,,,,0,0,1,,,,61,77,0,,
4140,note_on,,,,,128,0,1,,,,73,95,0,,
4148,note_on,,,,,8,0,1,,,,46,76,0,,
4148,note_on,,,,,0,0,1,,,,34,71,0,,
4192,note_off,,,,,44,0,1,,,,61,0,0,,
4192,note_off,,,,,0,0,1,,,,46,0,0,,
4192,note_off,,,,,0,0,1,,,,34,0,0,,
4224,note_off,,,,,32,0,1,,,,73,0,0,,
4248,note_off,,,,,24,0,1,,,,66,0,0,,
4340,note_on,,,,,0,0,1,,,,62,79,0,,
4340,note_on,,,,,92,0,1,,,,74,96,0,,
4344,note_on,,,,,4,0,1,,,,47,65,0,,
4348,note_on,,,,,4,0,1,,,,66,51,0,,
4360,note_on,,,,,12,0,1,,,,35,71,0,,
4384,note_off,,,,,24,0,1,,,,47,0,0,,
4392,note_off,,,,,0,0,1,,,,35,0,0,,
4392,note_off,,,,,8,0,1,,,,66,0,0,,
4396,note_off,,,,,4,0,1,,,,62,0,0,,
4412,note_off,,,,,16,0,1,,,,74,0,0,,
4540,note_on,,,,,128,0,1,,,,76,96,0,,
4540,note_on,,,,,0,0,1,,,,64,87,0,,
4548,note_on,,,,,0,0,1,,,,67,73,0,,
4548,note_on,,,,,8,0,1,,,,71,80,0,,
4556,note_on,,,,,8,0,1,,,,59,82,0,,
4556,note_on,,,,,0,0,1,,,,55,82,0,,
4556,note_on,,,,,0,0,1,,,,52,70,0,,
4560,note_on,,,,,4,0,1,,,,47,74,0,,
4572,note_off,,,,,12,0,1,,,,67,0,0,,
4576,note_off,,,,,4,0,1,,,,71,0,0,,
4576,note_off,,,,,0,0,1,,,,55,0,0,,
4584,note_off,,,,,8,0,1,,,,52,0,0,,
4588,note_off,,,,,4,0,1,,,,64,0,0,,
4592,note_off,,,,,4,0,1,,,,59,0,0,,
4604,note_off,,,,,12,0,1,,,,47,0,0,,
4616,note_off,,,,,12,0,1,,,,76,0,0,,
4788,note_on,,,,,172,0,1,,,,78,97,0,,
4792,note_on,,,,,0,0,1,,,,74,84,0,,
4792,note_on,,,,,4,0,1,,,,66,88,0,,
4800,note_on,,,,,8,0,1,,,,71,76,0,,
4800,note_on,,,,,0,0,1,,,,54,69,0,,
4804,note_on,,,,,4,0,1,,,,59,75,0,,
4804,note_on,,,,,0,0,1,,,,47,70,0,,
4808,note_on,,,,,4,0,1,,,,50,72,0,,
4828,note_off,,,,,20,0,1,,,,71,0,0,,
4936,control_change,,,,,108,0,1,,,,,,0,64,56
4952,control_change,,,,,16,0,1,,,,,,0,64,127
5040,note_off,,,,,88,0,1,,,,47,0,0,,
5048,note_off,,,,,8,0,1,,,,66,0,0,,
5068,note_off,,,,,20,0,1,,,,74,0,0,,
5068,note_off,,,,,0,0,1,,,,50,0,0,,
5068,note_off,,,,,0,0,1,,,,59,0,0,,
5080,note_off,,,,,12,0,1,,,,54,0,0,,
5096,note_off,,,,,16,0,1,,,,78,0,0,,
5656,note_on,,,,,560,0,1,,,,81,102,0,,
5664,note_on,,,,,8,0,1,,,,76,88,0,,
5668,note_on,,,,,4,0,1,,,,69,88,0,,
5668,note_on,,,,,0,0,1,,,,71,82,0,,
5676,note_on,,,,,8,0,1,,,,59,74,0,,
5680,note_on,,,,,0,0,1,,,,52,70,0,,
5680,control_change,,,,,0,0,1,,,,,,0,64,24
5680,note_on,,,,,4,0,1,,,,47,74,0,,
5688,note_on,,,,,8,0,1,,,,55,70,0,,
5696,control_change,,,,,8,0,1,,,,,,0,64,0
5756,note_off,,,,,60,0,1,,,,69,0,0,,
5760,note_off,,,,,4,0,1,,,,71,0,0,,
5776,control_change,,,,,16,0,1,,,,,,0,64,104
5788,control_change,,,,,12,0,1,,,,,,0,64,127
5792,note_off,,,,,4,0,1,,,,76,0,0,,
5824,note_off,,,,,32,0,1,,,,47,0,0,,
5836,note_off,,,,,12,0,1,,,,81,0,0,,
5852,note_off,,,,,16,0,1,,,,59,0,0,,
5852,note_off,,,,,0,0,1,,,,52,0,0,,
5864,note_off,,,,,12,0,1,,,,55,0,0,,
6296,note_on,,,,,432,0,1,,,,79,95,0,,
6300,note_on,,,,,4,0,1,,,,61,65,0,,
6300,note_on,,,,,0,0,1,,,,67,80,0,,
6308,note_on,,,,,8,0,1,,,,47,70,0,,
6316,note_on,,,,,8,0,1,,,,55,63,0,,
6316,note_on,,,,,0,0,1,,,,52,55,0,,
6316,control_change,,,,,0,0,1,,,,,,0,64,40
6324,note_on,,,,,8,0,1,,,,76,68,0,,
6328,note_on,,,,,4,0,1,,,,71,62,0,,
6332,control_change,,,,,4,0,1,,,,,,0,64,0
6340,note_off,,,,,8,0,1,,,,55,0,0,,
6352,note_off,,,,,12,0,1,,,,52,0,0,,
6352,note_off,,,,,0,0,1,,,,76,0,0,,
6356,note_off,,,,,4,0,1,,,,71,0,0,,
6364,control_change,,,,,8,0,1,,,,,,0,64,24
6376,note_off,,,,,12,0,1,,,,67,0,0,,
6376,control_change,,,,,0,0,1,,,,,,0,64,88
6384,note_off,,,,,8,0,1,,,,47,0,0,,
6392,note_off,,,,,8,0,1,,,,61,0,0,,
6392,control_change,,,,,0,0,1,,,,,,0,64,127
6396,note_off,,,,,4,0,1,,,,79,0,0,,
6460,control_change,,,,,64,0,1,,,,,,0,64,0
6496,note_on,,,,,36,0,1,,,,47,76,0,,
