tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,note,velocity
3048,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
3048,note_off,8,0,1,,,,,,,,,,,,,,2,,,37,64
3200,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
3200,note_on,0,0,1,,,,,,,,,,,,,,2,,,53,57
3200,note_on,0,0,1,,,,,,,,,,,,,,2,,,76,68
3200,note_on,152,0,1,,,,,,,,,,,,,,2,,,67,62
3208,note_off,0,0,1,,,,,,,,,,,,,,2,,,49,64
3208,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
3208,note_off,8,0,1,,,,,,,,,,,,,,2,,,66,64
3208,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
3360,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
3360,note_on,0,0,1,,,,,,,,,,,,,,2,,,49,57
3360,note_on,0,0,1,,,,,,,,,,,,,,2,,,78,72
3360,note_on,0,0,1,,,,,,,,,,,,,,2,,,70,62
3360,control_change,152,0,1,,,,,,,,,,,,,,2,64,0,,
3368,note_off,8,0,1,,,,,,,,,,,,,,2,,,67,64
3368,note_off,0,0,1,,,,,,,,,,,,,,2,,,53,64
3368,note_off,0,0,1,,,,,,,,,,,,,,2,,,76,64
3368,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
3517,note_off,0,0,1,,,,,,,,,,,,,,2,,,78,64
3517,note_off,149,0,1,,,,,,,,,,,,,,2,,,70,64
3520,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
3520,note_on,0,0,1,,,,,,,,,,,,,,2,,,68,62
3520,control_change,3,0,1,,,,,,,,,,,,,,2,64,127,,
3520,note_on,0,0,1,,,,,,,,,,,,,,2,,,53,57
3520,note_on,0,0,1,,,,,,,,,,,,,,2,,,77,62
3528,note_off,8,0,1,,,,,,,,,,,,,,2,,,49,64
3528,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
3680,note_on,152,0,1,,,,,,,,,,,,,,2,,,65,62
3680,note_on,0,0,1,,,,,,,,,,,,,,2,,,73,50
3680,note_on,0,0,1,,,,,,,,,,,,,,2,,,49,57
3680,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
3688,note_off,8,0,1,,,,,,,,,,,,,,2,,,68,64
3688,note_off,0,0,1,,,,,,,,,,,,,,2,,,77,64
3688,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
3688,note_off,0,0,1,,,,,,,,,,,,,,2,,,53,64
3820,control_change,132,0,1,,,,,,,,,,,,,,2,64,0,,
3820,control_change,0,0,1,,,,,,,,,,,,,,2,64,0,,
3830,note_off,10,0,1,,,,,,,,,,,,,,2,,,65,64
3830,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
3830,note_off,0,0,1,,,,,,,,,,,,,,2,,,49,64
3830,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
3840,control_change,10,0,1,,,,,,,,,,,,,,2,64,127,,
3840,note_on,0,0,1,,,,,,,,,,,,,,2,,,68,70
3840,note_on,0,0,1,,,,,,,,,,,,,,2,,,77,70
3840,note_on,0,0,1,,,,,,,,,,,,,,2,,,32,79
3840,control_change,0,0,1,,,,,,,,,,,,,,2,64,127,,
4000,note_on,160,0,1,,,,,,,,,,,,,,2,,,66,59
4000,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,59
4000,note_on,0,0,1,,,,,,,,,,,,,,2,,,48,57
4000,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
4008,note_off,0,0,1,,,,,,,,,,,,,,2,,,68,64
4008,note_off,0,0,1,,,,,,,,,,,,,,2,,,77,64
4008,note_off,8,0,1,,,,,,,,,,,,,,2,,,32,64
4160,note_on,152,0,1,,,,,,,,,,,,,,2,,,68,70
4160,note_on,0,0,1,,,,,,,,,,,,,,2,,,60,57
4160,note_on,0,0,1,,,,,,,,,,,,,,2,,,51,57
4160,note_on,0,0,1,,,,,,,,,,,,,,2,,,77,70
4168,note_off,0,0,1,,,,,,,,,,,,,,2,,,48,64
4168,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
4168,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
4168,note_off,8,0,1,,,,,,,,,,,,,,2,,,66,64
4320,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
4320,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,57
4320,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,65
4320,note_on,152,0,1,,,,,,,,,,,,,,2,,,66,62
4328,note_off,0,0,1,,,,,,,,,,,,,,2,,,60,64
4328,note_off,0,0,1,,,,,,,,,,,,,,2,,,51,64
4328,note_off,0,0,1,,,,,,,,,,,,,,2,,,77,64
4328,note_off,8,0,1,,,,,,,,,,,,,,2,,,68,64
4480,note_on,0,0,1,,,,,,,,,,,,,,2,,,77,52
4480,note_on,152,0,1,,,,,,,,,,,,,,2,,,68,62
4480,note_on,0,0,1,,,,,,,,,,,,,,2,,,60,57
4480,note_on,0,0,1,,,,,,,,,,,,,,2,,,51,57
4488,note_off,8,0,1,,,,,,,,,,,,,,2,,,66,64
4488,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
4488,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
4488,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
4640,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
4640,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,61
4640,note_on,152,0,1,,,,,,,,,,,,,,2,,,66,62
4640,note_on,0,0,1,,,,,,,,,,,,,,2,,,48,57
4648,note_off,0,0,1,,,,,,,,,,,,,,2,,,77,64
4648,note_off,0,0,1,,,,,,,,,,,,,,2,,,60,64
4648,note_off,0,0,1,,,,,,,,,,,,,,2,,,51,64
4648,note_off,8,0,1,,,,,,,,,,,,,,2,,,68,64
4780,control_change,0,0,1,,,,,,,,,,,,,,2,64,0,,
4780,control_change,132,0,1,,,,,,,,,,,,,,2,64,0,,
4790,note_off,10,0,1,,,,,,,,,,,,,,2,,,66,64
4790,note_off,0,0,1,,,,,,,,,,,,,,2,,,48,64
4790,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
4790,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
4800,control_change,0,0,1,,,,,,,,,,,,,,2,64,127,,
4800,note_on,0,0,1,,,,,,,,,,,,,,2,,,37,75
4800,note_on,0,0,1,,,,,,,,,,,,,,2,,,73,62
4800,note_on,0,0,1,,,,,,,,,,,,,,2,,,65,62
4800,control_change,10,0,1,,,,,,,,,,,,,,2,64,127,,
4960,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
4960,note_on,0,0,1,,,,,,,,,,,,,,2,,,49,57
4960,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,64
4960,note_on,160,0,1,,,,,,,,,,,,,,2,,,66,62
4968,note_off,8,0,1,,,,,,,,,,,,,,2,,,37,64
4968,note_off,0,0,1,,,,,,,,,,,,,,2,,,65,64
4968,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
5120,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
5120,note_on,0,0,1,,,,,,,,,,,,,,2,,,53,57
5120,note_on,152,0,1,,,,,,,,,,,,,,2,,,67,68
5120,note_on,0,0,1,,,,,,,,,,,,,,2,,,76,68
5128,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
5128,note_off,0,0,1,,,,,,,,,,,,,,2,,,49,64
5128,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
5128,note_off,8,0,1,,,,,,,,,,,,,,2,,,66,64
5277,note_off,0,0,1,,,,,,,,,,,,,,2,,,76,64
5277,note_off,149,0,1,,,,,,,,,,,,,,2,,,67,64
5280,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
5280,note_on,0,0,1,,,,,,,,,,,,,,2,,,49,57
5280,note_on,0,0,1,,,,,,,,,,,,,,2,,,70,72
5280,control_change,3,0,1,,,,,,,,,,,,,,2,64,0,,
5280,note_on,0,0,1,,,,,,,,,,,,,,2,,,78,72
5288,note_off,8,0,1,,,,,,,,,,,,,,2,,,53,64
5288,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
5440,control_change,152,0,1,,,,,,,,,,,,,,2,64,127,,
5440,note_on,0,0,1,,,,,,,,,,,,,,2,,,77,62
5440,note_on,0,0,1,,,,,,,,,,,,,,2,,,53,57
5440,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
5440,note_on,0,0,1,,,,,,,,,,,,,,2,,,68,62
5448,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
5448,note_off,0,0,1,,,,,,,,,,,,,,2,,,78,64
5448,note_off,8,0,1,,,,,,,,,,,,,,2,,,70,64
5448,note_off,0,0,1,,,,,,,,,,,,,,2,,,49,64
5600,control_change,0,0,1,,,,,,,,,,,,,,2,64,0,,
5600,note_on,0,0,1,,,,,,,,,,,,,,2,,,73,50
5600,note_on,0,0,1,,,,,,,,,,,,,,2,,,49,57
5600,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
5600,note_on,152,0,1,,,,,,,,,,,,,,2,,,65,62
5608,note_off,8,0,1,,,,,,,,,,,,,,2,,,68,64
5608,note_off,0,0,1,,,,,,,,,,,,,,2,,,53,64
5608,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
5608,note_off,0,0,1,,,,,,,,,,,,,,2,,,77,64
5740,control_change,132,0,1,,,,,,,,,,,,,,2,64,0,,
5750,note_off,10,0,1,,,,,,,,,,,,,,2,,,65,64
5750,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
5750,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
5750,note_off,0,0,1,,,,,,,,,,,,,,2,,,49,64
5760,control_change,10,0,1,,,,,,,,,,,,,,2,64,127,,
5760,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,62
5760,note_on,0,0,1,,,,,,,,,,,,,,2,,,67,62
5760,note_on,0,0,1,,,,,,,,,,,,,,2,,,39,77
5760,control_change,0,0,1,,,,,,,,,,,,,,2,64,127,,
5920,note_on,160,0,1,,,,,,,,,,,,,,2,,,77,59
5920,note_on,0,0,1,,,,,,,,,,,,,,2,,,51,57
5920,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
5920,note_on,0,0,1,,,,,,,,,,,,,,2,,,68,59
5928,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
5928,note_off,0,0,1,,,,,,,,,,,,,,2,,,67,64
5928,note_off,8,0,1,,,,,,,,,,,,,,2,,,39,64
6080,note_on,0,0,1,,,,,,,,,,,,,,2,,,58,57
6080,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,57
6080,note_on,0,0,1,,,,,,,,,,,,,,2,,,69,65
6080,note_on,152,0,1,,,,,,,,,,,,,,2,,,78,47
6088,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
6088,note_off,0,0,1,,,,,,,,,,,,,,2,,,51,64
6088,note_off,0,0,1,,,,,,,,,,,,,,2,,,68,64
6088,note_off,8,0,1,,,,,,,,,,,,,,2,,,77,64
6240,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
6240,note_on,152,0,1,,,,,,,,,,,,,,2,,,79,65
6240,note_on,0,0,1,,,,,,,,,,,,,,2,,,67,57
6240,note_on,0,0,1,,,,,,,,,,,,,,2,,,70,62
6248,note_off,0,0,1,,,,,,,,,,,,,,2,,,69,64
6248,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
6248,note_off,0,0,1,,,,,,,,,,,,,,2,,,58,64
6248,note_off,8,0,1,,,,,,,,,,,,,,2,,,78,64
6400,note_on,152,0,1,,,,,,,,,,,,,,2,,,80,52
6400,note_on,0,0,1,,,,,,,,,,,,,,2,,,72,62
6400,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,57
6400,note_on,0,0,1,,,,,,,,,,,,,,2,,,58,57
6408,note_off,8,0,1,,,,,,,,,,,,,,2,,,79,64
6408,note_off,0,0,1,,,,,,,,,,,,,,2,,,67,64
6408,note_off,0,0,1,,,,,,,,,,,,,,2,,,70,64
6408,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
6560,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
6560,note_on,0,0,1,,,,,,,,,,,,,,2,,,73,62
6560,note_on,0,0,1,,,,,,,,,,,,,,2,,,51,57
6560,note_on,152,0,1,,,,,,,,,,,,,,2,,,82,61
6568,note_off,0,0,1,,,,,,,,,,,,,,2,,,58,64
6568,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
6568,note_off,0,0,1,,,,,,,,,,,,,,2,,,72,64
6568,note_off,8,0,1,,,,,,,,,,,,,,2,,,80,64
6700,control_change,0,0,1,,,,,,,,,,,,,,2,64,0,,
6700,control_change,132,0,1,,,,,,,,,,,,,,2,64,0,,
6710,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
6710,note_off,0,0,1,,,,,,,,,,,,,,2,,,51,64
6710,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
6710,note_off,10,0,1,,,,,,,,,,,,,,2,,,82,64
6720,note_on,10,0,1,,,,,,,,,,,,,,2,,,74,62
6720,note_on,0,0,1,,,,,,,,,,,,,,2,,,44,81
6720,note_on,0,0,1,,,,,,,,,,,,,,2,,,83,62
6804,note_off,84,0,1,,,,,,,,,,,,,,2,,,44,64
6880,note_on,76,0,1,,,,,,,,,,,,,,2,,,75,62
6880,note_on,0,0,1,,,,,,,,,,,,,,2,,,84,64
6880,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,57
6880,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,57
6888,note_off,8,0,1,,,,,,,,,,,,,,2,,,83,64
6888,note_off,0,0,1,,,,,,,,,,,,,,2,,,74,64
7040,note_on,152,0,1,,,,,,,,,,,,,,2,,,85,68
7040,note_on,0,0,1,,,,,,,,,,,,,,2,,,76,62
7040,note_on,0,0,1,,,,,,,,,,,,,,2,,,60,63
7040,note_on,0,0,1,,,,,,,,,,,,,,2,,,68,63
7048,note_off,8,0,1,,,,,,,,,,,,,,2,,,75,64
7048,note_off,0,0,1,,,,,,,,,,,,,,2,,,84,64
7048,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
7048,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
7190,control_change,142,0,1,,,,,,,,,,,,,,2,64,0,,
7200,note_on,0,0,1,,,,,,,,,,,,,,2,,,49,75
7200,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,75
7200,note_on,0,0,1,,,,,,,,,,,,,,2,,,87,72
7200,note_on,0,0,1,,,,,,,,,,,,,,2,,,78,62
7200,control_change,10,0,1,,,,,,,,,,,,,,2,64,0,,
7208,note_off,8,0,1,,,,,,,,,,,,,,2,,,85,64
7208,note_off,0,0,1,,,,,,,,,,,,,,2,,,68,64
7208,note_off,0,0,1,,,,,,,,,,,,,,2,,,76,64
7208,note_off,0,0,1,,,,,,,,,,,,,,2,,,60,64
7284,note_off,76,0,1,,,,,,,,,,,,,,2,,,49,64
7357,note_off,73,0,1,,,,,,,,,,,,,,2,,,78,64
7357,note_off,0,0,1,,,,,,,,,,,,,,2,,,87,64
7360,note_on,3,0,1,,,,,,,,,,,,,,2,,,77,62
7360,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,57
7360,note_on,0,0,1,,,,,,,,,,,,,,2,,,53,57
7360,note_on,0,0,1,,,,,,,,,,,,,,2,,,85,62
7368,note_off,8,0,1,,,,,,,,,,,,,,2,,,56,64
7520,note_on,152,0,1,,,,,,,,,,,,,,2,,,80,50
7520,note_on,0,0,1,,,,,,,,,,,,,,2,,,72,62
7520,note_on,0,0,1,,,,,,,,,,,,,,2,,,65,64
7520,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,64
7528,note_off,8,0,1,,,,,,,,,,,,,,2,,,77,64
7528,note_off,0,0,1,,,,,,,,,,,,,,2,,,61,64
7528,note_off,0,0,1,,,,,,,,,,,,,,2,,,53,64
7528,note_off,0,0,1,,,,,,,,,,,,,,2,,,85,64
7660,control_change,132,0,1,,,,,,,,,,,,,,2,64,0,,
7660,control_change,0,0,1,,,,,,,,,,,,,,2,64,0,,
7670,note_off,10,0,1,,,,,,,,,,,,,,2,,,80,64
7670,note_off,0,0,1,,,,,,,,,,,,,,2,,,72,64
7670,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
7670,note_off,0,0,1,,,,,,,,,,,,,,2,,,65,64
7680,note_on,10,0,1,,,,,,,,,,,,,,2,,,84,70
7680,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,70
7680,note_on,0,0,1,,,,,,,,,,,,,,2,,,51,83
7680,control_change,0,0,1,,,,,,,,,,,,,,2,64,127,,
7840,note_on,160,0,1,,,,,,,,,,,,,,2,,,73,59
7840,note_on,0,0,1,,,,,,,,,,,,,,2,,,82,59
7840,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,62
7840,note_on,0,0,1,,,,,,,,,,,,,,2,,,55,62
7848,note_off,0,0,1,,,,,,,,,,,,,,2,,,84,64
7848,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
7848,note_off,8,0,1,,,,,,,,,,,,,,2,,,51,64
8000,note_on,0,0,1,,,,,,,,,,,,,,2,,,58,65
8000,note_on,0,0,1,,,,,,,,,,,,,,2,,,67,65
8000,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,70
8000,note_on,152,0,1,,,,,,,,,,,,,,2,,,84,70
8008,note_off,0,0,1,,,,,,,,,,,,,,2,,,55,64
8008,note_off,0,0,1,,,,,,,,,,,,,,2,,,82,64
8008,note_off,8,0,1,,,,,,,,,,,,,,2,,,73,64
8008,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
8160,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,62
8160,note_on,0,0,1,,,,,,,,,,,,,,2,,,70,62
8160,note_on,0,0,1,,,,,,,,,,,,,,2,,,73,62
8160,note_on,152,0,1,,,,,,,,,,,,,,2,,,82,65
8168,note_off,0,0,1,,,,,,,,,,,,,,2,,,58,64
8168,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
8168,note_off,8,0,1,,,,,,,,,,,,,,2,,,84,64
8168,note_off,0,0,1,,,,,,,,,,,,,,2,,,67,64
8320,note_on,152,0,1,,,,,,,,,,,,,,2,,,84,52
8320,note_on,0,0,1,,,,,,,,,,,,,,2,,,67,69
8320,note_on,0,0,1,,,,,,,,,,,,,,2,,,75,62
8320,note_on,0,0,1,,,,,,,,,,,,,,2,,,58,69
8328,note_off,8,0,1,,,,,,,,,,,,,,2,,,82,64
8328,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
8328,note_off,0,0,1,,,,,,,,,,,,,,2,,,70,64
8328,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
8480,note_on,0,0,1,,,,,,,,,,,,,,2,,,73,62
8480,note_on,152,0,1,,,,,,,,,,,,,,2,,,82,61
8480,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,62
8480,note_on,0,0,1,,,,,,,,,,,,,,2,,,55,62
8488,note_off,8,0,1,,,,,,,,,,,,,,2,,,84,64
8488,note_off,0,0,1,,,,,,,,,,,,,,2,,,75,64
8488,note_off,0,0,1,,,,,,,,,,,,,,2,,,67,64
8488,note_off,0,0,1,,,,,,,,,,,,,,2,,,58,64
8620,control_change,132,0,1,,,,,,,,,,,,,,2,64,0,,
8620,control_change,0,0,1,,,,,,,,,,,,,,2,64,0,,
8630,note_off,0,0,1,,,,,,,,,,,,,,2,,,55,64
8630,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
8630,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
8630,note_off,10,0,1,,,,,,,,,,,,,,2,,,82,64
8640,control_change,0,0,1,,,,,,,,,,,,,,2,64,127,,
8640,note_on,0,0,1,,,,,,,,,,,,,,2,,,68,75
8640,note_on,0,0,1,,,,,,,,,,,,,,2,,,60,75
8640,note_on,0,0,1,,,,,,,,,,,,,,2,,,72,62
8640,note_on,0,0,1,,,,,,,,,,,,,,2,,,80,62
8640,control_change,10,0,1,,,,,,,,,,,,,,2,64,127,,
8800,note_on,0,0,1,,,,,,,,,,,,,,2,,,73,62
8800,note_on,160,0,1,,,,,,,,,,,,,,2,,,82,64
8800,note_on,0,0,1,,,,,,,,,,,,,,2,,,65,54
8800,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,54
8808,note_off,8,0,1,,,,,,,,,,,,,,2,,,68,64
8808,note_off,0,0,1,,,,,,,,,,,,,,2,,,80,64
8808,note_off,0,0,1,,,,,,,,,,,,,,2,,,60,64
8808,note_off,0,0,1,,,,,,,,,,,,,,2,,,72,64
8960,note_on,0,0,1,,,,,,,,,,,,,,2,,,66,57
8960,note_on,0,0,1,,,,,,,,,,,,,,2,,,58,57
8960,note_on,0,0,1,,,,,,,,,,,,,,2,,,70,68
8960,note_on,152,0,1,,,,,,,,,,,,,,2,,,78,68
8968,note_off,0,0,1,,,,,,,,,,,,,,2,,,65,64
8968,note_off,0,0,1,,,,,,,,,,,,,,2,,,56,64
8968,note_off,0,0,1,,,,,,,,,,,,,,2,,,73,64
8968,note_off,8,0,1,,,,,,,,,,,,,,2,,,82,64
9117,note_off,149,0,1,,,,,,,,,,,,,,2,,,78,64
9117,note_off,0,0,1,,,,,,,,,,,,,,2,,,70,64
9120,note_on,0,0,1,,,,,,,,,,,,,,2,,,72,72
9120,note_on,0,0,1,,,,,,,,,,,,,,2,,,63,52
9120,note_on,0,0,1,,,,,,,,,,,,,,2,,,54,52
9120,note_on,0,0,1,,,,,,,,,,,,,,2,,,80,72
9120,control_change,3,0,1,,,,,,,,,,,,,,2,64,0,,
9128,note_off,0,0,1,,,,,,,,,,,,,,2,,,66,64
9128,note_off,8,0,1,,,,,,,,,,,,,,2,,,58,64
9280,note_on,0,0,1,,,,,,,,,,,,,,2,,,65,54
9280,note_on,0,0,1,,,,,,,,,,,,,,2,,,56,54
9280,note_on,0,0,1,,,,,,,,,,,,,,2,,,68,62
9280,note_on,0,0,1,,,,,,,,,,,,,,2,,,77,62
9280,control_change,152,0,1,,,,,,,,,,,,,,2,64,127,,
9288,note_off,0,0,1,,,,,,,,,,,,,,2,,,54,64
9288,note_off,0,0,1,,,,,,,,,,,,,,2,,,72,64
9288,note_off,8,0,1,,,,,,,,,,,,,,2,,,80,64
9288,note_off,0,0,1,,,,,,,,,,,,,,2,,,63,64
9440,control_change,152,0,1,,,,,,,,,,,,,,2,64,0,,
9440,note_on,0,0,1,,,,,,,,,,,,,,2,,,61,49
9440,note_on,0,0,1,,,,,,,,,,,,,,2,,,53,49
