tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,control,value,channel,program,note,velocity
0,set_tempo,599809,0,1,0,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,32,0,1,,,
0,program_change,,0,0,2,,,,,,,,1,53,,
0,control_change,,0,0,2,,,,,,1,0,1,,,
0,control_change,,0,0,2,,,,,,10,64,1,,,
0,control_change,,0,0,2,,,,,,91,0,1,,,
0,control_change,,0,0,2,,,,,,93,0,1,,,
0,key_signature,,0,1,2,,,,,Eb,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,0,0,1,,,
0,note_on,,0,0,1,,,,,,,,0,,62,100
0,note_on,,0,0,1,,,,,,,,0,,58,100
0,note_on,,0,0,1,,,,,,,,0,,51,100
0,note_on,,0,0,1,,,,,,,,0,,79,100
0,note_on,,0,0,1,,,,,,,,0,,68,100
0,track_name,,0,1,1,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,7,95,1,,,
0,control_change,,0,0,1,,,,,,93,0,0,,,
0,control_change,,0,0,1,,,,,,0,0,0,,,
0,track_name,,0,1,0,,,,,,,,,,,
0,key_signature,,0,1,1,,,,,Eb,,,,,,
0,key_signature,,0,1,1,,,,,Eb,,,,,,
0,control_change,,0,0,1,,,,,,7,108,0,,,
0,program_change,,0,0,1,,,,,,,,0,0,,
0,copyright,,0,1,0,,,,,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,
0,control_change,,0,0,1,,,,,,91,0,0,,,
0,control_change,,0,0,1,,,,,,1,0,0,,,
0,control_change,,0,0,1,,,,,,32,0,0,,,
0,control_change,,0,0,1,,,,,,10,64,0,,,
228,note_on,,228,0,1,,,,,,,,0,,79,0
240,note_on,,12,0,1,,,,,,,,0,,77,100
456,note_on,,216,0,1,,,,,,,,0,,62,0
456,note_on,,0,0,1,,,,,,,,0,,58,0
456,note_on,,0,0,1,,,,,,,,0,,51,0
456,note_on,,0,0,1,,,,,,,,0,,68,0
468,note_on,,12,0,1,,,,,,,,0,,77,0
480,note_on,,0,0,1,,,,,,,,0,,58,100
480,note_on,,0,0,1,,,,,,,,0,,70,100
480,note_on,,12,0,1,,,,,,,,0,,68,100
480,note_on,,0,0,1,,,,,,,,0,,62,100
480,note_on,,0,0,1,,,,,,,,0,,51,100
936,note_on,,456,0,1,,,,,,,,0,,62,0
936,note_on,,0,0,1,,,,,,,,0,,58,0
936,note_on,,0,0,1,,,,,,,,0,,51,0
936,note_on,,0,0,1,,,,,,,,0,,70,0
936,note_on,,0,0,1,,,,,,,,0,,68,0
960,note_on,,0,0,1,,,,,,,,0,,58,100
960,note_on,,24,0,1,,,,,,,,0,,67,100
960,note_on,,0,0,1,,,,,,,,0,,79,100
960,note_on,,0,0,1,,,,,,,,0,,63,100
960,note_on,,0,0,1,,,,,,,,0,,51,100
1416,note_on,,456,0,1,,,,,,,,0,,63,0
1416,note_on,,0,0,1,,,,,,,,0,,58,0
1416,note_on,,0,0,1,,,,,,,,0,,51,0
1416,note_on,,0,0,1,,,,,,,,0,,79,0
1416,note_on,,0,0,1,,,,,,,,0,,67,0
1440,note_on,,0,0,1,,,,,,,,0,,51,100
1440,note_on,,0,0,1,,,,,,,,0,,62,100
1440,note_on,,0,0,1,,,,,,,,0,,59,100
1440,note_on,,0,0,1,,,,,,,,0,,79,100
1440,note_on,,24,0,1,,,,,,,,0,,68,100
1668,note_on,,228,0,1,,,,,,,,0,,79,0
1680,note_on,,12,0,1,,,,,,,,0,,77,100
1896,note_on,,0,0,1,,,,,,,,0,,51,0
1896,note_on,,0,0,1,,,,,,,,0,,68,0
1896,note_on,,216,0,1,,,,,,,,0,,62,0
1896,note_on,,0,0,1,,,,,,,,0,,59,0
1908,note_on,,12,0,1,,,,,,,,0,,77,0
1920,note_on,,0,0,1,,,,,,,,0,,58,100
1920,note_on,,12,0,1,,,,,,,,0,,68,100
1920,note_on,,0,0,1,,,,,,,,0,,70,100
1920,note_on,,0,0,1,,,,,,,,0,,51,100
1920,note_on,,0,0,1,,,,,,,,0,,62,100
2376,note_on,,456,0,1,,,,,,,,0,,62,0
2376,note_on,,0,0,1,,,,,,,,0,,58,0
2376,note_on,,0,0,1,,,,,,,,0,,51,0
2376,note_on,,0,0,1,,,,,,,,0,,70,0
2376,note_on,,0,0,1,,,,,,,,0,,68,0
2400,note_on,,24,0,1,,,,,,,,0,,67,100
2400,note_on,,0,0,1,,,,,,,,0,,79,100
2400,note_on,,0,0,1,,,,,,,,0,,51,100
2400,note_on,,0,0,1,,,,,,,,0,,63,100
2400,note_on,,0,0,1,,,,,,,,0,,58,100
2856,note_on,,0,0,1,,,,,,,,0,,51,0
2856,note_on,,0,0,1,,,,,,,,0,,79,0
2856,note_on,,0,0,1,,,,,,,,0,,67,0
2856,note_on,,456,0,1,,,,,,,,0,,63,0
2856,note_on,,0,0,1,,,,,,,,0,,58,0
2880,note_on,,24,0,1,,,,,,,,0,,68,100
2880,note_on,,0,0,1,,,,,,,,0,,58,100
2880,note_on,,0,0,1,,,,,,,,0,,51,100
2880,note_on,,0,0,1,,,,,,,,0,,79,100
2880,note_on,,0,0,1,,,,,,,,0,,62,100
3108,note_on,,228,0,1,,,,,,,,0,,79,0
3120,note_on,,12,0,1,,,,,,,,0,,77,100
3336,note_on,,0,0,1,,,,,,,,0,,68,0
3336,note_on,,0,0,1,,,,,,,,0,,51,0
3336,note_on,,0,0,1,,,,,,,,0,,58,0
3336,note_on,,216,0,1,,,,,,,,0,,62,0
3348,note_on,,12,0,1,,,,,,,,0,,77,0
3360,note_on,,12,0,1,,,,,,,,0,,68,100
3360,note_on,,0,0,1,,,,,,,,0,,70,100
3360,note_on,,0,0,1,,,,,,,,0,,51,100
3360,note_on,,0,0,1,,,,,,,,0,,58,100
3360,note_on,,0,0,1,,,,,,,,0,,62,100
3816,note_on,,456,0,1,,,,,,,,0,,62,0
3816,note_on,,0,0,1,,,,,,,,0,,58,0
3816,note_on,,0,0,1,,,,,,,,0,,51,0
3816,note_on,,0,0,1,,,,,,,,0,,70,0
3816,note_on,,0,0,1,,,,,,,,0,,68,0
3840,note_on,,0,0,1,,,,,,,,0,,51,100
3840,note_on,,0,0,1,,,,,,,,0,,58,100
3840,note_on,,0,0,1,,,,,,,,0,,62,100
3840,note_on,,24,0,1,,,,,,,,0,,68,100
3840,note_on,,0,0,1,,,,,,,,0,,77,100
4296,note_on,,0,0,1,,,,,,,,0,,68,0
4296,note_on,,0,0,1,,,,,,,,0,,77,0
4296,note_on,,0,0,1,,,,,,,,0,,51,0
4296,note_on,,0,0,1,,,,,,,,0,,58,0
4296,note_on,,456,0,1,,,,,,,,0,,62,0
4320,note_on,,0,0,1,,,,,,,,0,,51,100
4320,note_on,,0,0,1,,,,,,,,0,,67,100
4320,note_on,,24,0,1,,,,,,,,0,,75,100
4320,note_on,,0,0,1,,,,,,,,0,,58,100
4320,note_on,,0,0,1,,,,,,,,0,,63,100
5256,note_on,,936,0,1,,,,,,,,0,,63,0
5256,note_on,,0,0,1,,,,,,,,0,,58,0
5256,note_on,,0,0,1,,,,,,,,0,,51,0
5280,note_on,,24,0,1,,,,,,,,0,,39,100
5736,note_on,,456,0,1,,,,,,,,0,,67,0
5736,note_on,,0,0,1,,,,,,,,0,,39,0
5736,note_on,,0,0,1,,,,,,,,0,,75,0
5760,control_change,,5760,0,2,,,,,,7,100,1,,,
5760,note_on,,0,0,2,,,,,,,,1,,67,100
5760,control_change,,24,0,1,,,,,,7,82,0,,,
5800,control_change,,40,0,2,,,,,,7,101,1,,,
5840,control_change,,40,0,2,,,,,,7,102,1,,,
5920,control_change,,80,0,2,,,,,,7,103,1,,,
5960,control_change,,40,0,2,,,,,,7,104,1,,,
5988,note_on,,28,0,2,,,,,,,,1,,67,0
6000,control_change,,12,0,2,,,,,,7,105,1,,,
6000,note_on,,0,0,2,,,,,,,,1,,68,100
6040,control_change,,40,0,2,,,,,,7,106,1,,,
6080,control_change,,40,0,2,,,,,,7,107,1,,,
6160,control_change,,80,0,2,,,,,,7,108,1,,,
6200,control_change,,40,0,2,,,,,,7,109,1,,,
6228,note_on,,28,0,2,,,,,,,,1,,68,0
6240,control_change,,12,0,2,,,,,,7,110,1,,,
6240,note_on,,0,0,2,,,,,,,,1,,72,100
6240,note_on,,0,0,1,,,,,,,,0,,60,100
6240,note_on,,480,0,1,,,,,,,,0,,53,100
6240,note_on,,0,0,1,,,,,,,,0,,56,100
6240,note_on,,0,0,1,,,,,,,,0,,65,100
6696,note_on,,0,0,1,,,,,,,,0,,53,0
6696,note_on,,456,0,1,,,,,,,,0,,65,0
6696,note_on,,0,0,1,,,,,,,,0,,60,0
6696,note_on,,0,0,1,,,,,,,,0,,56,0
6696,note_on,,456,0,2,,,,,,,,1,,72,0
6720,note_on,,24,0,1,,,,,,,,0,,53,100
6720,note_on,,0,0,1,,,,,,,,0,,56,100
6720,note_on,,0,0,1,,,,,,,,0,,60,100
6720,note_on,,0,0,1,,,,,,,,0,,65,100
6720,note_on,,24,0,2,,,,,,,,1,,70,100
6760,control_change,,40,0,2,,,,,,7,109,1,,,
6800,control_change,,40,0,2,,,,,,7,108,1,,,
6840,control_change,,40,0,2,,,,,,7,107,1,,,
6880,control_change,,40,0,2,,,,,,7,106,1,,,
6920,control_change,,40,0,2,,,,,,7,104,1,,,
6948,note_on,,28,0,2,,,,,,,,1,,70,0
6960,note_on,,0,0,2,,,,,,,,1,,68,100
6960,control_change,,12,0,2,,,,,,7,103,1,,,
7000,control_change,,40,0,2,,,,,,7,102,1,,,
7040,control_change,,40,0,2,,,,,,7,101,1,,,
7080,control_change,,40,0,2,,,,,,7,100,1,,,
7176,note_on,,0,0,1,,,,,,,,0,,56,0
7176,note_on,,0,0,1,,,,,,,,0,,60,0
7176,note_on,,456,0,1,,,,,,,,0,,65,0
7176,note_on,,0,0,1,,,,,,,,0,,53,0
7188,note_on,,108,0,2,,,,,,,,1,,68,0
7200,note_on,,12,0,2,,,,,,,,1,,67,100
7428,note_on,,228,0,2,,,,,,,,1,,67,0
7440,note_on,,12,0,2,,,,,,,,1,,66,100
7668,note_on,,228,0,2,,,,,,,,1,,66,0
7680,note_on,,12,0,2,,,,,,,,1,,67,100
7680,note_on,,0,0,1,,,,,,,,0,,55,100
7680,note_on,,0,0,1,,,,,,,,0,,51,100
7680,note_on,,504,0,1,,,,,,,,0,,48,100
7680,note_on,,0,0,1,,,,,,,,0,,60,100
8136,note_on,,0,0,1,,,,,,,,0,,51,0
8136,note_on,,456,0,2,,,,,,,,1,,67,0
8136,note_on,,0,0,1,,,,,,,,0,,55,0
8136,note_on,,456,0,1,,,,,,,,0,,60,0
8136,note_on,,0,0,1,,,,,,,,0,,48,0
8160,note_on,,24,0,2,,,,,,,,1,,67,100
8160,note_on,,0,0,1,,,,,,,,0,,51,100
8160,note_on,,0,0,1,,,,,,,,0,,55,100
8160,note_on,,0,0,1,,,,,,,,0,,60,100
8160,note_on,,24,0,1,,,,,,,,0,,48,100
8616,note_on,,456,0,2,,,,,,,,1,,67,0
8616,note_on,,456,0,1,,,,,,,,0,,60,0
8616,note_on,,0,0,1,,,,,,,,0,,55,0
8616,note_on,,0,0,1,,,,,,,,0,,51,0
8616,note_on,,0,0,1,,,,,,,,0,,48,0
8640,note_on,,24,0,1,,,,,,,,0,,53,100
8640,note_on,,24,0,2,,,,,,,,1,,67,100
8680,control_change,,40,0,2,,,,,,7,101,1,,,
8720,control_change,,40,0,2,,,,,,7,102,1,,,
8760,control_change,,40,0,2,,,,,,7,103,1,,,
8840,control_change,,80,0,2,,,,,,7,104,1,,,
8868,note_on,,28,0,2,,,,,,,,1,,67,0
8880,note_on,,0,0,2,,,,,,,,1,,68,100
8880,control_change,,12,0,2,,,,,,7,105,1,,,
8920,control_change,,40,0,2,,,,,,7,106,1,,,
8960,control_change,,40,0,2,,,,,,7,107,1,,,
9000,control_change,,40,0,2,,,,,,7,108,1,,,
9080,control_change,,80,0,2,,,,,,7,109,1,,,
9108,note_on,,28,0,2,,,,,,,,1,,68,0
9120,note_on,,0,0,2,,,,,,,,1,,72,100
9120,control_change,,12,0,2,,,,,,7,110,1,,,
9120,note_on,,480,0,1,,,,,,,,0,,56,100
9120,note_on,,0,0,1,,,,,,,,0,,60,100
9120,note_on,,0,0,1,,,,,,,,0,,65,100
9576,note_on,,0,0,1,,,,,,,,0,,60,0
9576,note_on,,456,0,1,,,,,,,,0,,65,0
9576,note_on,,456,0,2,,,,,,,,1,,72,0
9576,note_on,,0,0,1,,,,,,,,0,,56,0
9600,note_on,,0,0,1,,,,,,,,0,,65,100
9600,note_on,,0,0,1,,,,,,,,0,,60,100
9600,note_on,,24,0,2,,,,,,,,1,,70,100
9600,note_on,,24,0,1,,,,,,,,0,,56,100
9640,control_change,,40,0,2,,,,,,7,109,1,,,
9680,control_change,,40,0,2,,,,,,7,108,1,,,
9720,control_change,,40,0,2,,,,,,7,107,1,,,
9760,control_change,,40,0,2,,,,,,7,106,1,,,
9800,control_change,,40,0,2,,,,,,7,104,1,,,
9828,note_on,,28,0,2,,,,,,,,1,,70,0
9840,note_on,,0,0,2,,,,,,,,1,,68,100
9840,control_change,,12,0,2,,,,,,7,103,1,,,
9880,control_change,,40,0,2,,,,,,7,102,1,,,
9920,control_change,,40,0,2,,,,,,7,101,1,,,
9960,control_change,,40,0,2,,,,,,7,100,1,,,
10056,note_on,,0,0,1,,,,,,,,0,,56,0
10056,note_on,,0,0,1,,,,,,,,0,,60,0
10056,note_on,,456,0,1,,,,,,,,0,,53,0
10056,note_on,,0,0,1,,,,,,,,0,,65,0
10068,note_on,,108,0,2,,,,,,,,1,,68,0
10080,note_on,,24,0,1,,,,,,,,0,,48,100
10080,note_on,,12,0,2,,,,,,,,1,,68,100
10560,note_on,,0,0,1,,,,,,,,0,,60,100
10560,note_on,,0,0,1,,,,,,,,0,,63,100
10560,note_on,,480,0,1,,,,,,,,0,,56,100
11016,note_on,,0,0,1,,,,,,,,0,,56,0
11016,note_on,,936,0,2,,,,,,,,1,,68,0
11016,note_on,,0,0,1,,,,,,,,0,,60,0
11016,note_on,,456,0,1,,,,,,,,0,,63,0
11040,note_on,,24,0,2,,,,,,,,1,,67,100
11040,note_on,,24,0,1,,,,,,,,0,,55,100
11040,note_on,,0,0,1,,,,,,,,0,,60,100
11040,note_on,,0,0,1,,,,,,,,0,,63,100
11496,note_on,,456,0,2,,,,,,,,1,,67,0
11496,note_on,,456,0,1,,,,,,,,0,,63,0
11496,note_on,,0,0,1,,,,,,,,0,,60,0
11496,note_on,,0,0,1,,,,,,,,0,,55,0
11496,note_on,,0,0,1,,,,,,,,0,,48,0
11520,note_on,,24,0,2,,,,,,,,1,,67,100
11520,note_on,,24,0,1,,,,,,,,0,,46,100
11560,control_change,,40,0,2,,,,,,7,101,1,,,
