tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,sysex,0,0,0,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
1,sysex,1,0,0,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,,,,,,,
2,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 48, 4, 11)",,,,,,,,,,,,
3,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 49, 3, 11)",,,,,,,,,,,,
4,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 51, 110, 30)",,,,,,,,,,,,
5,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 52, 60, 79)",,,,,,,,,,,,
6,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 56, 2, 5)",,,,,,,,,,,,
7,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 58, 100, 33)",,,,,,,,,,,,
8,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 61, 7, 123)",,,,,,,,,,,,
9,sysex,1,0,0,"(65, 16, 66, 18, 64, 1, 62, 8, 121)",,,,,,,,,,,,
9,time_signature,0,1,0,,6,8,12,8,,,,,,,,
9,key_signature,0,1,0,,,,,,G,,,,,,,
9,set_tempo,0,1,0,,,,,,,500000,,,,,,
24,program_change,0,0,1,,,,,,,,,,0,0,,
24,control_change,0,0,1,,,,,,,,93,0,0,,,
24,control_change,0,0,1,,,,,,,,91,40,0,,,
24,control_change,0,0,1,,,,,,,,10,64,0,,,
24,control_change,0,0,1,,,,,,,,7,120,0,,,
24,control_change,0,0,1,,,,,,,,32,1,0,,,
24,control_change,24,0,1,,,,,,,,0,0,0,,,
34,control_change,10,0,1,,,,,,,,11,120,0,,,
43,control_change,9,0,1,,,,,,,,99,1,0,,,
44,control_change,1,0,1,,,,,,,,98,8,0,,,
45,control_change,1,0,1,,,,,,,,6,64,0,,,
46,control_change,1,0,1,,,,,,,,38,0,0,,,
47,control_change,1,0,1,,,,,,,,99,1,0,,,
48,control_change,1,0,1,,,,,,,,98,9,0,,,
49,control_change,1,0,1,,,,,,,,6,64,0,,,
50,control_change,1,0,1,,,,,,,,38,0,0,,,
51,control_change,1,0,1,,,,,,,,99,1,0,,,
52,control_change,1,0,1,,,,,,,,98,10,0,,,
53,control_change,1,0,1,,,,,,,,6,64,0,,,
54,control_change,1,0,1,,,,,,,,38,0,0,,,
55,control_change,1,0,1,,,,,,,,99,1,0,,,
56,control_change,1,0,1,,,,,,,,98,32,0,,,
57,control_change,1,0,1,,,,,,,,6,64,0,,,
58,control_change,1,0,1,,,,,,,,38,0,0,,,
59,control_change,1,0,1,,,,,,,,99,1,0,,,
60,control_change,1,0,1,,,,,,,,98,33,0,,,
61,control_change,1,0,1,,,,,,,,6,64,0,,,
62,control_change,1,0,1,,,,,,,,38,0,0,,,
63,control_change,1,0,1,,,,,,,,99,1,0,,,
64,control_change,1,0,1,,,,,,,,98,99,0,,,
65,control_change,1,0,1,,,,,,,,6,64,0,,,
66,control_change,1,0,1,,,,,,,,38,0,0,,,
67,control_change,1,0,1,,,,,,,,99,1,0,,,
68,control_change,1,0,1,,,,,,,,98,100,0,,,
69,control_change,1,0,1,,,,,,,,6,80,0,,,
70,control_change,1,0,1,,,,,,,,38,0,0,,,
71,control_change,1,0,1,,,,,,,,99,1,0,,,
72,control_change,1,0,1,,,,,,,,98,102,0,,,
73,control_change,1,0,1,,,,,,,,6,64,0,,,
74,control_change,1,0,1,,,,,,,,38,0,0,,,
144,control_change,144,0,3,,,,,,,,64,127,0,,,
144,note_on,144,0,2,,,,,,,,,,0,,43,46
153,set_tempo,0,1,0,,,,,,,1111111,,,,,,
153,time_signature,144,1,0,,3,4,24,8,,,,,,,,
168,note_on,24,0,2,,,,,,,,,,0,,43,0
168,note_on,0,0,2,,,,,,,,,,0,,50,38
177,set_tempo,24,1,0,,,,,,,845070,,,,,,
192,note_on,24,0,2,,,,,,,,,,0,,50,0
192,note_on,0,0,2,,,,,,,,,,0,,59,44
201,set_tempo,24,1,0,,,,,,,895522,,,,,,
216,note_on,142,0,1,,,,,,,,,,0,,66,46
216,note_on,24,0,2,,,,,,,,,,0,,59,0
216,note_on,0,0,2,,,,,,,,,,0,,60,38
216,note_on,0,0,1,,,,,,,,,,0,,69,48
218,control_change,74,0,3,,,,,,,,64,0,0,,,
225,set_tempo,24,1,0,,,,,,,952381,,,,,,
240,note_on,24,0,1,,,,,,,,,,0,,69,0
240,note_on,0,0,1,,,,,,,,,,0,,66,0
240,note_on,0,0,1,,,,,,,,,,0,,71,52
240,note_on,0,0,1,,,,,,,,,,0,,67,50
240,note_on,24,0,2,,,,,,,,,,0,,60,0
240,note_on,0,0,2,,,,,,,,,,0,,59,36
248,control_change,30,0,3,,,,,,,,64,127,0,,,
249,set_tempo,24,1,0,,,,,,,923077,,,,,,
252,note_on,12,0,1,,,,,,,,,,0,,71,0
252,note_on,0,0,1,,,,,,,,,,0,,67,0
252,note_on,0,0,1,,,,,,,,,,0,,67,54
252,note_on,0,0,1,,,,,,,,,,0,,72,56
261,set_tempo,12,1,0,,,,,,,800000,,,,,,
264,note_on,0,0,1,,,,,,,,,,0,,70,58
264,note_on,0,0,1,,,,,,,,,,0,,67,0
264,note_on,0,0,1,,,,,,,,,,0,,73,60
264,note_on,12,0,1,,,,,,,,,,0,,72,0
264,note_on,24,0,2,,,,,,,,,,0,,59,0
264,note_on,0,0,2,,,,,,,,,,0,,50,34
273,set_tempo,12,1,0,,,,,,,821918,,,,,,
276,note_on,0,0,1,,,,,,,,,,0,,70,0
276,note_on,0,0,1,,,,,,,,,,0,,72,60
276,note_on,0,0,1,,,,,,,,,,0,,76,62
276,note_on,12,0,1,,,,,,,,,,0,,73,0
285,set_tempo,12,1,0,,,,,,,923077,,,,,,
286,note_on,22,0,2,,,,,,,,,,0,,50,0
288,note_on,12,0,1,,,,,,,,,,0,,76,0
288,note_on,0,0,1,,,,,,,,,,0,,71,52
