tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,control,value,channel,program,note,velocity
0,set_tempo,555521,0,1,0,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,7,90,0,,,
0,control_change,,0,0,1,,,,,,0,0,0,,,
0,control_change,,0,0,1,,,,,,32,0,0,,,
0,control_change,,0,0,1,,,,,,1,0,0,,,
0,control_change,,0,0,1,,,,,,10,64,0,,,
0,control_change,,0,0,1,,,,,,91,0,0,,,
0,control_change,,0,0,1,,,,,,93,0,0,,,
0,program_change,,0,0,1,,,,,,,,0,0,,
0,track_name,,0,1,1,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,0,,68,100
0,key_signature,,0,1,1,,,,,A,,,,,,
0,note_on,,0,0,1,,,,,,,,0,,74,100
0,note_on,,0,0,1,,,,,,,,0,,52,100
0,control_change,,0,0,2,,,,,,0,0,1,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,key_signature,,0,1,2,,,,,A,,,,,,
0,control_change,,0,0,2,,,,,,93,0,1,,,
0,control_change,,0,0,2,,,,,,91,0,1,,,
0,control_change,,0,0,2,,,,,,10,64,1,,,
0,control_change,,0,0,2,,,,,,1,0,1,,,
0,program_change,,0,0,2,,,,,,,,1,53,,
0,control_change,,0,0,2,,,,,,32,0,1,,,
0,note_on,,0,0,1,,,,,,,,0,,59,100
0,key_signature,,0,1,1,,,,,A,,,,,,
0,control_change,,0,0,2,,,,,,7,127,1,,,
0,time_signature,,0,1,0,6,8,24,8,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,
456,note_on,,456,0,1,,,,,,,,0,,59,0
456,note_on,,0,0,1,,,,,,,,0,,74,0
456,note_on,,0,0,1,,,,,,,,0,,68,0
480,note_on,,24,0,1,,,,,,,,0,,67,100
480,note_on,,0,0,1,,,,,,,,0,,70,100
480,note_on,,0,0,1,,,,,,,,0,,61,100
523,control_change,,43,0,1,,,,,,7,91,0,,,
610,control_change,,87,0,1,,,,,,7,92,0,,,
696,control_change,,86,0,1,,,,,,7,93,0,,,
708,note_on,,12,0,1,,,,,,,,0,,61,0
708,note_on,,0,0,1,,,,,,,,0,,70,0
708,note_on,,0,0,1,,,,,,,,0,,67,0
720,note_on,,12,0,1,,,,,,,,0,,68,100
720,note_on,,0,0,1,,,,,,,,0,,71,100
720,note_on,,0,0,1,,,,,,,,0,,62,100
782,control_change,,62,0,1,,,,,,7,94,0,,,
826,control_change,,44,0,1,,,,,,7,95,0,,,
912,control_change,,86,0,1,,,,,,7,96,0,,,
998,control_change,,86,0,1,,,,,,7,97,0,,,
1085,control_change,,87,0,1,,,,,,7,98,0,,,
1128,control_change,,43,0,1,,,,,,7,99,0,,,
1176,note_on,,0,0,1,,,,,,,,0,,68,0
1176,note_on,,0,0,1,,,,,,,,0,,71,0
1176,note_on,,48,0,1,,,,,,,,0,,62,0
1200,note_on,,24,0,1,,,,,,,,0,,67,100
1200,note_on,,0,0,1,,,,,,,,0,,58,100
1200,note_on,,0,0,1,,,,,,,,0,,73,100
1214,control_change,,14,0,1,,,,,,7,100,0,,,
1300,control_change,,86,0,1,,,,,,7,101,0,,,
1387,control_change,,87,0,1,,,,,,7,102,0,,,
1428,note_on,,0,0,1,,,,,,,,0,,67,0
1428,note_on,,41,0,1,,,,,,,,0,,58,0
1428,note_on,,0,0,1,,,,,,,,0,,73,0
1430,control_change,,2,0,1,,,,,,7,103,0,,,
1440,note_on,,10,0,1,,,,,,,,0,,68,100
1440,note_on,,0,0,1,,,,,,,,0,,74,100
1440,note_on,,0,0,1,,,,,,,,0,,59,100
1516,control_change,,76,0,1,,,,,,7,104,0,,,
1603,control_change,,87,0,1,,,,,,7,105,0,,,
1689,control_change,,86,0,1,,,,,,7,106,0,,,
1776,control_change,,87,0,1,,,,,,7,107,0,,,
1819,control_change,,43,0,1,,,,,,7,108,0,,,
1896,note_on,,77,0,1,,,,,,,,0,,59,0
1896,note_on,,0,0,1,,,,,,,,0,,74,0
1896,note_on,,0,0,1,,,,,,,,0,,68,0
1905,control_change,,9,0,1,,,,,,7,109,0,,,
1920,note_on,,15,0,1,,,,,,,,0,,67,100
1920,note_on,,0,0,1,,,,,,,,0,,61,100
1920,note_on,,0,0,1,,,,,,,,0,,70,100
1992,control_change,,72,0,1,,,,,,7,110,0,,,
2078,control_change,,86,0,1,,,,,,7,111,0,,,
2121,control_change,,43,0,1,,,,,,7,112,0,,,
2148,note_on,,27,0,1,,,,,,,,0,,61,0
2148,note_on,,0,0,1,,,,,,,,0,,70,0
2148,note_on,,0,0,1,,,,,,,,0,,67,0
2160,note_on,,12,0,1,,,,,,,,0,,62,100
2160,note_on,,0,0,1,,,,,,,,0,,68,100
2160,note_on,,0,0,1,,,,,,,,0,,71,100
2208,control_change,,48,0,1,,,,,,7,113,0,,,
2294,control_change,,86,0,1,,,,,,7,114,0,,,
2381,control_change,,87,0,1,,,,,,7,115,0,,,
2424,control_change,,43,0,1,,,,,,7,116,0,,,
2510,control_change,,86,0,1,,,,,,7,117,0,,,
2597,control_change,,87,0,1,,,,,,7,118,0,,,
2616,note_on,,19,0,1,,,,,,,,0,,71,0
2616,note_on,,0,0,1,,,,,,,,0,,68,0
2616,note_on,,0,0,1,,,,,,,,0,,62,0
2640,note_on,,0,0,1,,,,,,,,0,,73,100
2640,note_on,,0,0,1,,,,,,,,0,,67,100
2640,note_on,,24,0,1,,,,,,,,0,,58,100
2683,control_change,,43,0,1,,,,,,7,119,0,,,
2726,control_change,,43,0,1,,,,,,7,120,0,,,
2850,note_on,,124,0,1,,,,,,,,0,,76,100
2856,note_on,,6,0,1,,,,,,,,0,,52,0
2868,note_on,,12,0,1,,,,,,,,0,,73,0
2868,note_on,,0,0,1,,,,,,,,0,,67,0
2868,note_on,,0,0,1,,,,,,,,0,,58,0
2880,note_on,,0,0,1,,,,,,,,0,,74,100
2880,note_on,,0,0,1,,,,,,,,0,,68,100
2880,note_on,,12,0,1,,,,,,,,0,,52,100
2880,note_on,,0,0,1,,,,,,,,0,,59,100
3306,note_on,,426,0,1,,,,,,,,0,,76,0
5004,note_on,,1698,0,1,,,,,,,,0,,68,0
5004,note_on,,0,0,1,,,,,,,,0,,74,0
5004,note_on,,0,0,1,,,,,,,,0,,59,0
5004,note_on,,0,0,1,,,,,,,,0,,52,0
5760,note_on,,0,0,2,,,,,,,,1,,69,100
5760,note_on,,0,0,1,,,,,,,,0,,52,100
5760,control_change,,756,0,1,,,,,,7,75,0,,,
5760,note_on,,0,0,1,,,,,,,,0,,45,100
5760,note_on,,0,0,1,,,,,,,,0,,33,100
5760,control_change,,5760,0,2,,,,,,7,95,1,,,
5988,note_on,,228,0,1,,,,,,,,0,,52,0
6000,note_on,,12,0,1,,,,,,,,0,,61,100
6086,control_change,,326,0,2,,,,,,7,96,1,,,
6173,control_change,,87,0,2,,,,,,7,97,1,,,
6216,note_on,,43,0,2,,,,,,,,1,,69,0
6228,note_on,,228,0,1,,,,,,,,0,,61,0
6240,note_on,,12,0,1,,,,,,,,0,,69,100
6240,note_on,,24,0,2,,,,,,,,1,,71,100
6302,control_change,,62,0,2,,,,,,7,98,1,,,
6389,control_change,,87,0,2,,,,,,7,99,1,,,
6468,note_on,,79,0,2,,,,,,,,1,,71,0
6468,note_on,,0,0,1,,,,,,,,0,,45,0
6468,note_on,,0,0,1,,,,,,,,0,,33,0
6468,note_on,,228,0,1,,,,,,,,0,,69,0
6480,note_on,,12,0,2,,,,,,,,1,,73,100
6480,note_on,,0,0,1,,,,,,,,0,,52,100
6480,note_on,,0,0,1,,,,,,,,0,,33,100
6480,note_on,,12,0,1,,,,,,,,0,,45,100
6518,control_change,,38,0,2,,,,,,7,100,1,,,
6605,control_change,,87,0,2,,,,,,7,101,1,,,
6708,note_on,,103,0,2,,,,,,,,1,,73,0
6708,note_on,,228,0,1,,,,,,,,0,,52,0
6720,note_on,,12,0,1,,,,,,,,0,,61,100
6720,note_on,,12,0,2,,,,,,,,1,,63,100
