tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity
0,text,0,1,0,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,
0,midi_port,0,1,12,,,,,,,0,,,,
0,track_name,0,1,12,,,,,,,,,,,
0,program_change,0,0,12,,,,,,,,52,12,,
0,program_change,0,0,3,,,,,,,,47,1,,
0,track_name,0,1,3,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,
0,midi_port,0,1,13,,,,,,,0,,,,
0,track_name,0,1,13,,,,,,,,,,,
0,program_change,0,0,13,,,,,,,,52,13,,
0,midi_port,0,1,14,,,,,,,0,,,,
0,track_name,0,1,14,,,,,,,,,,,
0,program_change,0,0,14,,,,,,,,19,14,,
0,midi_port,0,1,15,,,,,,,0,,,,
0,track_name,0,1,15,,,,,,,,,,,
0,program_change,0,0,15,,,,,,,,73,2,,
0,midi_port,0,1,16,,,,,,,0,,,,
0,track_name,0,1,4,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,68,3,,
0,track_name,0,1,6,,,,,,,,,,,
0,program_change,0,0,11,,,,,,,,52,11,,
0,program_change,0,0,6,,,,,,,,48,5,,
0,program_change,0,0,5,,,,,,,,70,4,,
0,track_name,0,1,5,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,
0,midi_port,0,1,7,,,,,,,0,,,,
0,track_name,0,1,7,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,48,6,,
0,midi_port,0,1,8,,,,,,,0,,,,
0,track_name,0,1,16,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,
0,track_name,0,1,9,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,,48,8,,
0,midi_port,0,1,10,,,,,,,0,,,,
0,track_name,0,1,10,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,,52,10,,
0,midi_port,0,1,11,,,,,,,0,,,,
0,track_name,0,1,11,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,48,7,,
0,program_change,0,0,16,,,,,,,,68,3,,
0,midi_port,0,1,6,,,,,,,0,,,,
0,track_name,0,1,2,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,
0,midi_port,0,1,2,,,,,,,0,,,,
0,track_name,0,1,1,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,56,0,,
0,program_change,0,0,1,,,,,,,,73,2,,
0,time_signature,0,1,0,4,2,48,8,,,,,,,
0,key_signature,0,1,0,,,,,D,,,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,
960,set_tempo,960,1,0,,,,,,428571,,,,,
1200,note_on,1200,0,9,,,,,,,,,8,50,40
1200,note_on,1200,0,14,,,,,,,,,14,50,40
1200,note_on,1200,0,13,,,,,,,,,13,50,40
1200,note_on,1200,0,5,,,,,,,,,4,50,40
1440,note_on,240,0,5,,,,,,,,,4,50,0
1440,note_on,0,0,9,,,,,,,,,8,52,40
1440,note_on,240,0,9,,,,,,,,,8,50,0
1440,note_on,0,0,14,,,,,,,,,14,52,40
1440,note_on,240,0,13,,,,,,,,,13,50,0
1440,note_on,0,0,5,,,,,,,,,4,52,40
1440,note_on,0,0,13,,,,,,,,,13,52,40
1440,note_on,240,0,14,,,,,,,,,14,50,0
1680,note_on,240,0,14,,,,,,,,,14,52,0
1680,note_on,0,0,14,,,,,,,,,14,54,40
1680,note_on,0,0,5,,,,,,,,,4,54,40
1680,note_on,240,0,5,,,,,,,,,4,52,0
1680,note_on,0,0,9,,,,,,,,,8,54,40
1680,note_on,240,0,9,,,,,,,,,8,52,0
1680,note_on,1680,0,8,,,,,,,,,7,57,40
1680,note_on,240,0,13,,,,,,,,,13,52,0
1680,note_on,0,0,13,,,,,,,,,13,54,40
1680,note_on,1680,0,12,,,,,,,,,12,57,40
1920,note_on,0,0,5,,,,,,,,,4,55,40
1920,note_on,240,0,5,,,,,,,,,4,54,0
1920,note_on,0,0,14,,,,,,,,,14,55,40
1920,note_on,240,0,14,,,,,,,,,14,54,0
1920,note_on,0,0,13,,,,,,,,,13,55,40
1920,note_on,240,0,8,,,,,,,,,7,57,0
1920,note_on,240,0,9,,,,,,,,,8,54,0
1920,note_on,0,0,9,,,,,,,,,8,55,40
1920,note_on,240,0,13,,,,,,,,,13,54,0
1920,note_on,0,0,8,,,,,,,,,7,59,40
1920,note_on,0,0,12,,,,,,,,,12,59,40
1920,note_on,240,0,12,,,,,,,,,12,57,0
2160,note_on,0,0,12,,,,,,,,,12,61,40
2160,note_on,0,0,8,,,,,,,,,7,61,40
2160,note_on,240,0,8,,,,,,,,,7,59,0
2160,note_on,0,0,14,,,,,,,,,14,54,40
2160,note_on,240,0,12,,,,,,,,,12,59,0
2160,note_on,0,0,5,,,,,,,,,4,54,40
2160,note_on,240,0,13,,,,,,,,,13,55,0
2160,note_on,0,0,13,,,,,,,,,13,54,40
2160,note_on,240,0,14,,,,,,,,,14,55,0
2160,note_on,240,0,5,,,,,,,,,4,55,0
2160,note_on,240,0,9,,,,,,,,,8,55,0
2160,note_on,0,0,9,,,,,,,,,8,54,40
2280,note_on,0,0,14,,,,,,,,,14,52,40
2280,note_on,0,0,13,,,,,,,,,13,52,40
2280,note_on,120,0,9,,,,,,,,,8,54,0
2280,note_on,120,0,5,,,,,,,,,4,54,0
2280,note_on,0,0,5,,,,,,,,,4,52,40
2280,note_on,120,0,13,,,,,,,,,13,54,0
2280,note_on,0,0,9,,,,,,,,,8,52,40
2280,note_on,120,0,14,,,,,,,,,14,54,0
2400,note_on,0,0,14,,,,,,,,,14,54,40
2400,note_on,120,0,14,,,,,,,,,14,52,0
2400,note_on,0,0,12,,,,,,,,,12,62,40
2400,note_on,240,0,8,,,,,,,,,7,61,0
2400,note_on,0,0,13,,,,,,,,,13,54,40
2400,note_on,240,0,12,,,,,,,,,12,61,0
2400,note_on,120,0,5,,,,,,,,,4,52,0
2400,note_on,0,0,5,,,,,,,,,4,54,40
2400,note_on,0,0,9,,,,,,,,,8,54,40
2400,note_on,120,0,9,,,,,,,,,8,52,0
2400,note_on,120,0,13,,,,,,,,,13,52,0
2400,note_on,0,0,8,,,,,,,,,7,62,40
2520,note_on,120,0,13,,,,,,,,,13,54,0
2520,note_on,0,0,5,,,,,,,,,4,50,40
2520,note_on,0,0,13,,,,,,,,,13,50,40
2520,note_on,0,0,14,,,,,,,,,14,50,40
2520,note_on,120,0,14,,,,,,,,,14,54,0
2520,note_on,120,0,5,,,,,,,,,4,54,0
2520,note_on,120,0,9,,,,,,,,,8,54,0
2520,note_on,0,0,9,,,,,,,,,8,50,40
2640,note_on,120,0,13,,,,,,,,,13,50,0
2640,note_on,0,0,13,,,,,,,,,13,55,40
2640,note_on,0,0,9,,,,,,,,,8,55,40
2640,note_on,120,0,9,,,,,,,,,8,50,0
2640,note_on,0,0,8,,,,,,,,,7,61,40
2640,note_on,2640,0,11,,,,,,,,,11,62,40
2640,note_on,240,0,12,,,,,,,,,12,62,0
2640,note_on,120,0,14,,,,,,,,,14,50,0
2640,note_on,0,0,14,,,,,,,,,14,55,40
2640,note_on,240,0,8,,,,,,,,,7,62,0
2640,note_on,0,0,12,,,,,,,,,12,61,40
2640,note_on,2640,0,4,,,,,,,,,3,62,40
2640,note_on,0,0,5,,,,,,,,,4,55,40
2640,note_on,120,0,5,,,,,,,,,4,50,0
2640,note_on,2640,0,7,,,,,,,,,6,62,40
2760,note_on,0,0,12,,,,,,,,,12,59,40
2760,note_on,120,0,12,,,,,,,,,12,61,0
2760,note_on,120,0,8,,,,,,,,,7,61,0
2760,note_on,0,0,8,,,,,,,,,7,59,40
2880,note_on,120,0,8,,,,,,,,,7,59,0
2880,note_on,0,0,4,,,,,,,,,3,64,40
2880,note_on,0,0,12,,,,,,,,,12,61,40
2880,note_on,120,0,12,,,,,,,,,12,59,0
2880,note_on,240,0,4,,,,,,,,,3,62,0
2880,note_on,0,0,7,,,,,,,,,6,64,40
2880,note_on,0,0,11,,,,,,,,,11,64,40
2880,note_on,240,0,11,,,,,,,,,11,62,0
2880,note_on,240,0,7,,,,,,,,,6,62,0
2880,note_on,0,0,8,,,,,,,,,7,61,40
3000,note_on,0,0,12,,,,,,,,,12,57,40
3000,note_on,120,0,12,,,,,,,,,12,61,0
3000,note_on,0,0,8,,,,,,,,,7,57,40
3000,note_on,120,0,8,,,,,,,,,7,61,0
3120,note_on,480,0,5,,,,,,,,,4,55,0
3120,note_on,480,0,14,,,,,,,,,14,55,0
3120,note_on,0,0,12,,,,,,,,,12,62,40
3120,note_on,3120,0,6,,,,,,,,,5,69,40
3120,note_on,0,0,14,,,,,,,,,14,54,40
3120,note_on,3120,0,10,,,,,,,,,10,69,40
3120,note_on,480,0,13,,,,,,,,,13,55,0
3120,note_on,0,0,13,,,,,,,,,13,54,40
3120,note_on,0,0,11,,,,,,,,,11,66,40
3120,note_on,240,0,4,,,,,,,,,3,64,0
3120,note_on,0,0,4,,,,,,,,,3,66,40
3120,note_on,120,0,12,,,,,,,,,12,57,0
3120,note_on,480,0,9,,,,,,,,,8,55,0
3120,note_on,0,0,5,,,,,,,,,4,54,40
3120,note_on,0,0,8,,,,,,,,,7,62,40
3120,note_on,120,0,8,,,,,,,,,7,57,0
3120,note_on,3120,0,15,,,,,,,,,2,69,40
3120,note_on,240,0,7,,,,,,,,,6,64,0
3120,note_on,0,0,7,,,,,,,,,6,66,40
