tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity,control,value
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,68,5,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,52,2,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,19,8,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,52,3,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,52,1,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,52,0,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,5,,,7,90
0,program_change,0,0,4,,,,,,,68,5,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,5,,,7,90
0,program_change,0,0,3,,,,,,,70,6,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,10,,,7,90
0,control_change,0,0,16,,,,,,,,7,,,7,90
0,program_change,0,0,16,,,,,,,19,7,,,,
0,track_name,0,1,16,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,,7,,,7,90
0,program_change,0,0,15,,,,,,,19,7,,,,
0,track_name,0,1,15,,,,,,,,,,,,
0,control_change,0,0,14,,,,,,,,13,,,7,90
0,program_change,0,0,14,,,,,,,48,13,,,,
0,track_name,0,1,14,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,,12,,,7,90
0,program_change,0,0,13,,,,,,,48,12,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,11,,,7,90
0,program_change,0,0,12,,,,,,,48,11,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,program_change,0,0,11,,,,,,,48,10,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,19,8,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,2,48,8,,,,,,,,
0,program_change,0,0,2,,,,,,,73,4,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,
0,end_of_track,0,1,1,,,,,,,,,,,,
960,note_on,960,0,8,,,,,,,,8,54,64,,
960,note_on,960,0,3,,,,,,,,6,54,64,,
960,note_on,960,0,14,,,,,,,,13,54,64,,
960,set_tempo,960,1,0,,,,,,461538,,,,,,
960,note_on,960,0,16,,,,,,,,7,54,64,,
960,note_on,960,0,7,,,,,,,,3,54,64,,
1200,note_on,240,0,8,,,,,,,,8,54,0,,
1200,note_on,240,0,3,,,,,,,,6,54,0,,
1200,note_on,0,0,14,,,,,,,,13,47,64,,
1200,note_on,240,0,14,,,,,,,,13,54,0,,
1200,note_on,240,0,16,,,,,,,,7,54,0,,
1200,note_on,0,0,8,,,,,,,,8,47,64,,
1200,note_on,0,0,16,,,,,,,,7,55,64,,
1200,note_on,0,0,3,,,,,,,,6,55,64,,
1200,note_on,0,0,7,,,,,,,,3,55,64,,
1200,note_on,240,0,7,,,,,,,,3,54,0,,
1440,note_on,0,0,7,,,,,,,,3,53,64,,
1440,note_on,240,0,3,,,,,,,,6,55,0,,
1440,note_on,240,0,7,,,,,,,,3,55,0,,
1440,note_on,0,0,3,,,,,,,,6,53,64,,
1440,note_on,0,0,16,,,,,,,,7,53,64,,
1440,note_on,240,0,16,,,,,,,,7,55,0,,
1680,note_on,480,0,8,,,,,,,,8,47,0,,
1680,note_on,0,0,14,,,,,,,,13,45,64,,
1680,note_on,480,0,14,,,,,,,,13,47,0,,
1680,note_on,0,0,8,,,,,,,,8,45,64,,
1800,note_on,360,0,16,,,,,,,,7,53,0,,
1800,note_on,360,0,3,,,,,,,,6,53,0,,
1800,note_on,0,0,3,,,,,,,,6,54,64,,
1800,note_on,0,0,16,,,,,,,,7,54,64,,
1800,note_on,360,0,7,,,,,,,,3,53,0,,
1800,note_on,0,0,7,,,,,,,,3,54,64,,
