tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,text,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,program_change,0,0,11,,,,,,,,52,11,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,program_change,0,0,12,,,,,,,,52,12,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,program_change,0,0,10,,,,,,,,52,10,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,program_change,0,0,14,,,,,,,,52,14,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,program_change,0,0,15,,,,,,,,19,15,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,program_change,0,0,13,,,,,,,,52,13,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,70,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,48,5,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,48,7,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,,48,8,,,,
0,program_change,0,0,3,,,,,,,,47,1,,,,
0,program_change,0,0,7,,,,,,,,48,6,,,,
0,program_change,0,0,4,,,,,,,,73,2,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,56,0,,,,
0,program_change,0,0,16,,,,,,,,68,3,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,time_signature,0,1,0,3,8,12,8,,,,,,,,,
0,key_signature,0,1,0,,,,,D,,,,,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,56,0,,,,
180,note_on,180,0,9,,,,,,,,,8,62,70,,
180,note_on,180,0,2,,,,,,,,,0,74,70,,
180,set_tempo,180,1,0,,,,,,705882,,,,,,,
180,note_on,180,0,5,,,,,,,,,4,62,70,,
180,note_on,180,0,3,,,,,,,,,1,50,70,,
