tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-320,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-160,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-480,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-322,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-155,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-482,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-80,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-400,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-240,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-316,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-402,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,0,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,3,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,750000,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,
96,note_on,96,0,1,,,,,,,,,,,,,,,0,,52,127
191,note_on,95,0,1,,,,,,,,,,,,,,,0,,52,0
194,note_on,3,0,1,,,,,,,,,,,,,,,0,,51,127
289,note_on,95,0,1,,,,,,,,,,,,,,,0,,51,0
290,note_on,1,0,1,,,,,,,,,,,,,,,0,,52,127
384,note_on,94,0,1,,,,,,,,,,,,,,,0,,40,127
385,note_on,1,0,1,,,,,,,,,,,,,,,0,,52,0
504,note_on,119,0,1,,,,,,,,,,,,,,,0,,59,127
599,note_on,95,0,1,,,,,,,,,,,,,,,0,,59,0
600,note_on,1,0,1,,,,,,,,,,,,,,,0,,57,127
695,note_on,95,0,1,,,,,,,,,,,,,,,0,,57,0
696,note_on,1,0,1,,,,,,,,,,,,,,,0,,59,127
791,note_on,95,0,1,,,,,,,,,,,,,,,0,,59,0
792,note_on,1,0,1,,,,,,,,,,,,,,,0,,54,127
887,note_on,95,0,1,,,,,,,,,,,,,,,0,,54,0
888,note_on,1,0,1,,,,,,,,,,,,,,,0,,57,127
983,note_on,95,0,1,,,,,,,,,,,,,,,0,,57,0
984,note_on,1,0,1,,,,,,,,,,,,,,,0,,55,127
1079,note_on,95,0,1,,,,,,,,,,,,,,,0,,55,0
1080,note_on,1,0,1,,,,,,,,,,,,,,,0,,54,127
1151,note_on,71,0,1,,,,,,,,,,,,,,,0,,40,0
1175,note_on,24,0,1,,,,,,,,,,,,,,,0,,54,0
1176,note_on,1,0,1,,,,,,,,,,,,,,,0,,55,127
1272,note_on,96,0,1,,,,,,,,,,,,,,,0,,52,127
1367,note_on,95,0,1,,,,,,,,,,,,,,,0,,52,0
1368,note_on,1,0,1,,,,,,,,,,,,,,,0,,51,127
1463,note_on,95,0,1,,,,,,,,,,,,,,,0,,51,0
1464,note_on,1,0,1,,,,,,,,,,,,,,,0,,52,127
1556,note_on,92,0,1,,,,,,,,,,,,,,,0,,55,0
1559,note_on,3,0,1,,,,,,,,,,,,,,,0,,52,0
