tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,
0,note_on,,,,,0,0,2,,47,64,1
0,text,,,,,0,1,1,,,,
0,text,,,,,0,1,2,,,,
0,end_of_track,,,,,0,1,0,,,,
0,set_tempo,,,,,0,1,0,714286,,,
120,note_on,,,,,120,0,1,,71,64,0
120,note_off,,,,,120,0,2,,47,64,1
180,note_on,,,,,0,0,1,,70,64,0
180,note_off,,,,,60,0,1,,71,64,0
240,note_on,,,,,0,0,1,,71,64,0
240,note_off,,,,,60,0,1,,70,64,0
240,note_on,,,,,120,0,2,,50,64,1
360,note_off,,,,,120,0,1,,71,64,0
360,note_on,,,,,0,0,1,,66,64,0
360,note_off,,,,,120,0,2,,50,64,1
480,note_off,,,,,120,0,1,,66,64,0
480,note_on,,,,,0,0,1,,67,64,0
480,note_on,,,,,120,0,2,,52,64,1
510,note_off,,,,,30,0,1,,67,64,0
510,note_on,,,,,0,0,1,,69,64,0
540,note_off,,,,,30,0,1,,69,64,0
540,note_on,,,,,0,0,1,,67,64,0
600,note_on,,,,,0,0,1,,66,64,0
600,note_off,,,,,120,0,2,,52,64,1
600,note_off,,,,,60,0,1,,67,64,0
720,note_on,,,,,120,0,2,,50,64,1
720,note_off,,,,,120,0,1,,66,64,0
720,note_on,,,,,0,0,1,,71,64,0
840,note_on,,,,,0,0,1,,66,64,0
840,note_off,,,,,120,0,1,,71,64,0
840,note_off,,,,,120,0,2,,50,64,1
960,note_off,,,,,120,0,1,,66,64,0
960,note_on,,,,,0,0,1,,66,64,0
960,note_on,,,,,120,0,2,,49,64,1
990,note_off,,,,,30,0,1,,66,64,0
990,note_on,,,,,0,0,1,,67,64,0
1020,note_on,,,,,0,0,1,,66,64,0
1020,note_off,,,,,30,0,1,,67,64,0
1080,note_off,,,,,120,0,2,,49,64,1
1080,note_on,,,,,0,0,1,,64,64,0
1080,note_off,,,,,60,0,1,,66,64,0
1200,note_on,,,,,0,0,1,,73,64,0
1200,note_off,,,,,120,0,1,,64,64,0
1200,note_on,,,,,120,0,2,,46,64,1
1320,note_on,,,,,0,0,1,,64,64,0
1320,note_off,,,,,120,0,1,,73,64,0
1320,note_off,,,,,120,0,2,,46,64,1
1440,note_on,,,,,120,0,2,,47,64,1
1440,note_off,,,,,120,0,1,,64,64,0
1440,note_on,,,,,0,0,1,,64,64,0
1470,note_off,,,,,30,0,1,,64,64,0
1470,note_on,,,,,0,0,1,,66,64,0
1500,note_off,,,,,30,0,1,,66,64,0
1500,note_on,,,,,0,0,1,,64,64,0
1560,note_off,,,,,120,0,2,,47,64,1
1560,note_on,,,,,0,0,1,,62,64,0
1560,note_off,,,,,60,0,1,,64,64,0
1620,note_on,,,,,0,0,1,,61,64,0
1620,note_off,,,,,60,0,1,,62,64,0
1680,note_on,,,,,120,0,2,,43,64,1
1680,note_on,,,,,0,0,1,,62,64,0
1680,note_off,,,,,60,0,1,,61,64,0
1740,note_on,,,,,0,0,1,,64,64,0
1740,note_off,,,,,60,0,1,,62,64,0
1800,note_on,,,,,0,0,1,,66,64,0
1800,note_off,,,,,120,0,2,,43,64,1
1800,note_off,,,,,60,0,1,,64,64,0
1860,note_on,,,,,0,0,1,,64,64,0
1860,note_off,,,,,60,0,1,,66,64,0
1920,note_on,,,,,0,0,1,,66,64,0
1920,note_off,,,,,60,0,1,,64,64,0
1920,note_on,,,,,120,0,2,,42,64,1
1950,note_on,,,,,0,0,1,,64,64,0
1950,note_off,,,,,30,0,1,,66,64,0
1980,note_on,,,,,0,0,1,,66,64,0
1980,note_off,,,,,30,0,1,,64,64,0
2040,note_off,,,,,120,0,2,,42,64,1
