tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity,pitch,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,,
0,note_on,,,,,0,0,6,,,,,5,60,120,,,
0,note_on,,,,,0,0,6,,,,,5,51,120,,,
0,note_on,,,,,0,0,6,,,,,5,55,120,,,
0,note_on,,,,,0,0,6,,,,,5,48,120,,,
0,track_name,,,,,0,1,20,,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,,
0,program_change,,,,,0,0,6,,,,6,5,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,,
0,note_on,,,,,0,0,7,,,,,6,63,100,,,
0,note_on,,,,,0,0,7,,,,,6,67,100,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,,
0,program_change,,,,,0,0,8,,,,6,7,,,,,
0,note_on,,,,,0,0,8,,,,,7,60,100,,,
0,program_change,,,,,0,0,7,,,,6,6,,,,,
0,note_on,,,,,0,0,8,,,,,7,51,100,,,
0,track_name,,,,,0,1,6,,,,,,,,,,
0,note_on,,,,,0,0,5,,,,,4,67,120,,,
0,program_change,,,,,0,0,2,,,,48,1,,,,,
0,note_on,,,,,0,0,2,,,,,1,60,127,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,program_change,,,,,0,0,3,,,,48,2,,,,,
0,note_on,,,,,0,0,3,,,,,2,67,127,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,program_change,,,,,0,0,4,,,,42,3,,,,,
0,note_on,,,,,0,0,4,,,,,3,48,100,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,program_change,,,,,0,0,5,,,,6,4,,,,,
0,note_on,,,,,0,0,5,,,,,4,63,120,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,note_on,,,,,0,0,8,,,,,7,55,100,,,
0,note_on,,,,,0,0,8,,,,,7,48,100,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,,
0,end_of_track,,,,,0,1,15,,,,,,,,,,
0,midi_port,,,,,0,1,16,,,0,,,,,,,
0,track_name,,,,,0,1,16,,,,,,,,,,
0,end_of_track,,,,,0,1,16,,,,,,,,,,
0,midi_port,,,,,0,1,17,,,0,,,,,,,
0,track_name,,,,,0,1,17,,,,,,,,,,
0,track_name,,,,,0,1,15,,,,,,,,,,
0,end_of_track,,,,,0,1,17,,,,,,,,,,
0,track_name,,,,,0,1,18,,,,,,,,,,
0,end_of_track,,,,,0,1,18,,,,,,,,,,
0,midi_port,,,,,0,1,19,,,0,,,,,,,
0,track_name,,,,,0,1,19,,,,,,,,,,
0,end_of_track,,,,,0,1,19,,,,,,,,,,
0,midi_port,,,,,0,1,20,,,0,,,,,,,
0,midi_port,,,,,0,1,18,,,0,,,,,,,
0,midi_port,,,,,0,1,15,,,0,,,,,,,
0,end_of_track,,,,,0,1,14,,,,,,,,,,
0,track_name,,,,,0,1,14,,,,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,,
0,program_change,,,,,0,0,9,,,,45,10,,,,,
0,midi_port,,,,,0,1,10,,,0,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,,
0,program_change,,,,,0,0,10,,,,45,11,,,,,
0,midi_port,,,,,0,1,11,,,0,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,,
0,program_change,,,,,0,0,11,,,,45,12,,,,,
0,midi_port,,,,,0,1,12,,,0,,,,,,,
