tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,2,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,4,,,,2,121,127,,
0,control_change,,,,,0,0,4,,,,2,91,127,,
0,control_change,,,,,0,0,4,,,,2,10,40,,
0,control_change,,,,,0,0,4,,,,2,1,20,,
0,control_change,,,,,0,0,12,,,,11,1,25,,
0,control_change,,,,,0,0,12,,,,11,10,100,,
0,program_change,,,,,0,0,4,,,49,2,,,,
0,control_change,,,,,0,0,12,,,,11,91,127,,
0,program_change,,,,,0,0,12,,,53,11,,,,
0,track_name,,,,,0,1,12,,,,,,,,
0,control_change,,,,,0,0,11,,,,10,1,25,,
0,control_change,,,,,0,0,11,,,,10,10,80,,
0,control_change,,,,,0,0,11,,,,10,91,127,,
0,control_change,,,,,0,0,11,,,,10,121,127,,
0,control_change,,,,,0,0,12,,,,11,121,127,,
0,program_change,,,,,0,0,11,,,53,10,,,,
0,track_name,,,,,0,1,4,,,,,,,,
0,program_change,,,,,0,0,13,,,20,12,,,,
0,control_change,,,,,0,0,2,,,,0,121,127,,
0,control_change,,,,,0,0,2,,,,0,91,127,,
0,control_change,,,,,0,0,2,,,,0,10,50,,
0,control_change,,,,,0,0,2,,,,0,1,20,,
0,track_name,,,,,0,1,3,,,,,,,,
0,program_change,,,,,0,0,3,,,73,1,,,,
0,track_name,,,,,0,1,13,,,,,,,,
0,control_change,,,,,0,0,3,,,,1,121,127,,
0,control_change,,,,,0,0,3,,,,1,10,70,,
0,control_change,,,,,0,0,3,,,,1,1,20,,
0,control_change,,,,,0,0,13,,,,12,1,5,,
0,control_change,,,,,0,0,13,,,,12,10,50,,
0,control_change,,,,,0,0,13,,,,12,91,127,,
0,control_change,,,,,0,0,13,,,,12,121,127,,
0,control_change,,,,,0,0,3,,,,1,91,127,,
0,track_name,,,,,0,1,11,,,,,,,,
0,program_change,,,,,0,0,7,,,49,5,,,,
0,track_name,,,,,0,1,5,,,,,,,,
