tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-320,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-160,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-480,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-322,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-155,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-482,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-80,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-400,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-240,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-316,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,0,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,1071429,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-402,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,
96,note_on,96,0,1,,,,,,,,,,,,,,,0,,72,127
126,note_on,30,0,1,,,,,,,,,,,,,,,0,,71,127
147,note_on,21,0,1,,,,,,,,,,,,,,,0,,72,0
156,note_on,9,0,1,,,,,,,,,,,,,,,0,,72,127
169,note_on,13,0,1,,,,,,,,,,,,,,,0,,71,0
516,note_on,347,0,1,,,,,,,,,,,,,,,0,,72,0
632,note_on,116,0,1,,,,,,,,,,,,,,,0,,67,127
682,note_on,50,0,1,,,,,,,,,,,,,,,0,,67,0
684,note_on,2,0,1,,,,,,,,,,,,,,,0,,69,127
734,note_on,50,0,1,,,,,,,,,,,,,,,0,,69,0
736,note_on,2,0,1,,,,,,,,,,,,,,,0,,71,127
786,note_on,50,0,1,,,,,,,,,,,,,,,0,,71,0
788,note_on,2,0,1,,,,,,,,,,,,,,,0,,72,127
839,note_on,51,0,1,,,,,,,,,,,,,,,0,,72,0
840,note_on,1,0,1,,,,,,,,,,,,,,,0,,74,127
890,note_on,50,0,1,,,,,,,,,,,,,,,0,,74,0
891,note_on,1,0,1,,,,,,,,,,,,,,,0,,75,127
941,note_on,50,0,1,,,,,,,,,,,,,,,0,,75,0
943,note_on,2,0,1,,,,,,,,,,,,,,,0,,77,127
993,note_on,50,0,1,,,,,,,,,,,,,,,0,,77,0
995,note_on,2,0,1,,,,,,,,,,,,,,,0,,75,127
1045,note_on,50,0,1,,,,,,,,,,,,,,,0,,75,0
1047,note_on,2,0,1,,,,,,,,,,,,,,,0,,74,127
1097,note_on,50,0,1,,,,,,,,,,,,,,,0,,75,127
1098,note_on,1,0,1,,,,,,,,,,,,,,,0,,74,0
1147,note_on,49,0,1,,,,,,,,,,,,,,,0,,75,0
1149,note_on,2,0,1,,,,,,,,,,,,,,,0,,72,127
1205,note_on,56,0,1,,,,,,,,,,,,,,,0,,72,0
1223,note_on,18,0,1,,,,,,,,,,,,,,,0,,80,127
1295,note_on,72,0,1,,,,,,,,,,,,,,,0,,80,0
