tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,track_name,0,1,0,,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,62,100,,
0,program_change,0,0,1,,,,,,,,6,0,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,521739,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,8,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,,
240,note_on,240,0,1,,,,,,,,,0,62,0,,
240,note_on,0,0,1,,,,,,,,,0,69,100,,
480,note_on,240,0,1,,,,,,,,,0,69,0,,
480,note_on,0,0,1,,,,,,,,,0,65,100,,
720,note_on,240,0,1,,,,,,,,,0,65,0,,
720,note_on,0,0,1,,,,,,,,,0,62,100,,
960,note_on,240,0,1,,,,,,,,,0,62,0,,
960,note_on,0,0,1,,,,,,,,,0,61,100,,
1200,note_on,240,0,1,,,,,,,,,0,61,0,,
1200,note_on,0,0,1,,,,,,,,,0,62,100,,
1320,note_on,120,0,1,,,,,,,,,0,62,0,,
1320,note_on,0,0,1,,,,,,,,,0,64,100,,
1440,note_on,120,0,1,,,,,,,,,0,64,0,,
1440,note_on,0,0,1,,,,,,,,,0,65,100,,
1740,note_on,300,0,1,,,,,,,,,0,65,0,,
1740,note_on,0,0,1,,,,,,,,,0,67,100,,
1800,note_on,60,0,1,,,,,,,,,0,67,0,,
1800,note_on,0,0,1,,,,,,,,,0,65,100,,
1860,note_on,60,0,1,,,,,,,,,0,65,0,,
1860,note_on,0,0,1,,,,,,,,,0,64,100,,
1920,note_on,60,0,1,,,,,,,,,0,64,0,,
1920,note_on,0,0,1,,,,,,,,,0,69,100,,
1920,note_on,0,0,1,,,,,,,,,0,62,100,,
2040,note_on,120,0,1,,,,,,,,,0,62,0,,
2040,note_on,0,0,1,,,,,,,,,0,64,100,,
2160,note_on,0,0,1,,,,,,,,,0,65,100,,
2160,note_on,0,0,1,,,,,,,,,0,74,100,,
2160,note_on,0,0,1,,,,,,,,,0,69,0,,
2160,note_on,120,0,1,,,,,,,,,0,64,0,,
2280,note_on,120,0,1,,,,,,,,,0,65,0,,
2280,note_on,0,0,1,,,,,,,,,0,67,100,,
2400,note_on,120,0,1,,,,,,,,,0,67,0,,
2400,note_on,0,0,1,,,,,,,,,0,74,0,,
2400,note_on,0,0,1,,,,,,,,,0,72,100,,
2400,note_on,0,0,1,,,,,,,,,0,69,100,,
2520,note_on,120,0,1,,,,,,,,,0,69,0,,
2520,note_on,0,0,1,,,,,,,,,0,57,100,,
2580,note_on,60,0,1,,,,,,,,,0,57,0,,
2580,note_on,0,0,1,,,,,,,,,0,59,100,,
2640,note_on,60,0,1,,,,,,,,,0,59,0,,
2640,note_on,0,0,1,,,,,,,,,0,72,0,,
2640,note_on,0,0,1,,,,,,,,,0,69,100,,
2640,note_on,0,0,1,,,,,,,,,0,60,100,,
2700,note_on,0,0,1,,,,,,,,,0,57,100,,
2700,note_on,60,0,1,,,,,,,,,0,60,0,,
2760,note_on,0,0,1,,,,,,,,,0,65,100,,
2760,note_on,60,0,1,,,,,,,,,0,57,0,,
2880,note_on,120,0,1,,,,,,,,,0,69,0,,
2880,note_on,0,0,1,,,,,,,,,0,68,100,,
2940,note_on,60,0,1,,,,,,,,,0,65,0,,
2940,note_on,0,0,1,,,,,,,,,0,59,100,,
3000,note_on,60,0,1,,,,,,,,,0,59,0,,
3000,note_on,0,0,1,,,,,,,,,0,64,100,,
3120,note_on,120,0,1,,,,,,,,,0,68,0,,
3120,note_on,0,0,1,,,,,,,,,0,69,100,,
3180,note_on,60,0,1,,,,,,,,,0,64,0,,
3180,note_on,0,0,1,,,,,,,,,0,65,100,,
3240,note_on,60,0,1,,,,,,,,,0,65,0,,
3240,note_on,0,0,1,,,,,,,,,0,69,0,,
3240,note_on,0,0,1,,,,,,,,,0,71,100,,
3240,note_on,0,0,1,,,,,,,,,0,64,100,,
3300,note_on,0,0,1,,,,,,,,,0,62,100,,
3300,note_on,60,0,1,,,,,,,,,0,64,0,,
3360,note_on,60,0,1,,,,,,,,,0,62,0,,
