tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,93,89
0,note_on,,,,,0,0,1,,,,,0,,81,90
0,program_change,,,,,0,0,1,,,,,1,0,,
0,program_change,,,,,0,0,1,,,,,0,0,,
0,control_change,,,,,0,0,1,,,32,0,1,,,
0,control_change,,,,,0,0,1,,,0,0,1,,,
0,control_change,,,,,0,0,1,,,32,0,0,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,
0,control_change,,,,,0,0,1,,,10,50,1,,,
0,control_change,,,,,0,0,1,,,91,60,1,,,
0,control_change,,,,,0,0,1,,,10,50,1,,,
0,control_change,,,,,0,0,1,,,91,60,1,,,
0,control_change,,,,,0,0,1,,,10,76,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,10,76,0,,,
0,note_on,,,,,0,0,1,,,,,1,,69,89
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,key_signature,,,,,0,1,0,F,,,,,,,
0,set_tempo,,,,,0,1,0,,2000000,,,,,,
15,note_on,,,,,15,0,1,,,,,0,,81,0
15,note_on,,,,,0,0,1,,,,,0,,93,0
15,note_on,,,,,0,0,1,,,,,1,,69,0
16,note_on,,,,,1,0,1,,,,,0,,91,86
16,note_on,,,,,0,0,1,,,,,1,,67,117
16,note_on,,,,,0,0,1,,,,,1,,79,118
31,note_on,,,,,0,0,1,,,,,1,,79,0
31,note_on,,,,,0,0,1,,,,,1,,67,0
31,note_on,,,,,15,0,1,,,,,0,,91,0
32,note_on,,,,,1,0,1,,,,,0,,81,100
32,note_on,,,,,0,0,1,,,,,0,,93,101
32,note_on,,,,,0,0,1,,,,,1,,69,78
87,set_tempo,,,,,55,1,1,,3750000,,,,,,
87,set_tempo,,,,,0,1,1,,3750000,,,,,,
119,set_tempo,,,,,0,1,1,,2400000,,,,,,
119,note_on,,,,,32,0,1,,,,,0,,81,0
119,note_on,,,,,0,0,1,,,,,0,,93,0
119,note_on,,,,,0,0,1,,,,,1,,69,0
119,set_tempo,,,,,0,1,1,,2400000,,,,,,
160,note_on,,,,,41,0,1,,,,,0,,79,85
160,note_on,,,,,0,0,1,,,,,0,,91,87
160,note_on,,,,,0,0,1,,,,,1,,67,85
175,note_on,,,,,0,0,1,,,,,0,,91,0
175,note_on,,,,,0,0,1,,,,,1,,67,0
175,note_on,,,,,15,0,1,,,,,0,,79,0
176,note_on,,,,,1,0,1,,,,,0,,89,89
176,note_on,,,,,0,0,1,,,,,1,,65,87
191,note_on,,,,,15,0,1,,,,,0,,89,0
191,note_on,,,,,0,0,1,,,,,1,,65,0
192,note_on,,,,,1,0,1,,,,,0,,88,92
192,note_on,,,,,0,0,1,,,,,1,,64,88
207,note_on,,,,,0,0,1,,,,,1,,64,0
207,note_on,,,,,15,0,1,,,,,0,,88,0
208,note_on,,,,,1,0,1,,,,,0,,86,91
208,note_on,,,,,0,0,1,,,,,1,,62,89
223,note_on,,,,,15,0,1,,,,,0,,86,0
223,note_on,,,,,0,0,1,,,,,1,,62,0
