tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 6, 42, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,7,96,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,11,127,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,10,32,,
0,program_change,,0,0,7,,,,,,,,,,,,,,48,2,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,6,,,,,,,,,,,,,,,1,,,71,76
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,7,96,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,11,127,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,10,48,,
0,program_change,,0,0,6,,,,,,,,,,,,,,48,1,,,,
0,note_on,,0,0,7,,,,,,,,,,,,,,,2,,,66,76
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,5,,,,,,,,,,,,,,,0,,,83,76
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,7,80,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,11,127,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,10,64,,
0,program_change,,0,0,5,,,,,,,,,,,,,,73,0,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,8,,,,,,,,,,,,,,48,3,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,11,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,10,,,,,,,,,,,,,,,5,,,71,72
0,note_on,,0,0,10,,,,,,,,,,,,,,,5,,,66,72
0,note_on,,0,0,10,,,,,,,,,,,,,,,5,,,62,72
0,note_on,,0,0,10,,,,,,,,,,,,,,,5,,,50,72
0,program_change,,0,0,10,,,,,,,,,,,,,,6,5,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,5,7,72,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,5,11,127,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,5,10,64,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,9,,,,,,,,,,,,,,,4,,,50,76
0,control_change,,0,0,9,,,,,,,,,,,,,,,4,7,96,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,4,11,127,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,4,10,90,,
0,program_change,,0,0,9,,,,,,,,,,,,,,48,4,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,8,,,,,,,,,,,,,,,3,,,59,76
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,7,96,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,11,127,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,10,70,,
