tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,
0,note_on,,,,,0,0,2,,,,,2,48,110
0,note_on,,,,,0,0,2,,,,,2,60,110
0,program_change,,,,,0,0,2,,,,6,2,,
0,track_name,,,,,0,1,2,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,
0,midi_port,,,,,0,1,4,,,0,,,,
0,note_on,,,,,0,0,1,,,,,1,36,120
0,note_on,,,,,0,0,1,,,,,1,48,120
0,program_change,,,,,0,0,1,,,,6,1,,
0,track_name,,,,,0,1,1,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,
0,set_tempo,,,,,0,1,0,,909091,,,,,
0,marker,,,,,0,1,0,,,,,,,
2,set_tempo,,,,,2,1,0,,857143,,,,,
30,note_on,,,,,30,0,1,,,,,1,72,120
30,note_on,,,,,30,0,2,,,,,2,84,110
60,note_on,,,,,30,0,1,,,,,1,72,0
60,note_on,,,,,0,0,1,,,,,1,74,120
60,note_on,,,,,30,0,2,,,,,2,84,0
60,note_on,,,,,0,0,2,,,,,2,86,110
90,note_on,,,,,30,0,1,,,,,1,74,0
90,note_on,,,,,30,0,2,,,,,2,86,0
90,note_on,,,,,0,0,2,,,,,2,88,110
90,note_on,,,,,0,0,1,,,,,1,76,120
120,note_on,,,,,0,0,2,,,,,2,79,110
120,note_on,,,,,30,0,1,,,,,1,76,0
120,note_on,,,,,0,0,1,,,,,1,67,120
120,note_on,,,,,30,0,2,,,,,2,88,0
150,note_on,,,,,0,0,1,,,,,1,76,120
150,note_on,,,,,30,0,1,,,,,1,67,0
150,note_on,,,,,0,0,2,,,,,2,88,110
