tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,program,note,velocity
0,time_signature,3,4,96,8,0,1,0,,,,,,,
0,time_signature,3,4,96,8,0,1,10,,,,,,,
0,set_tempo,,,,,0,1,10,461538,,,,,,
0,control_change,,,,,0,0,6,,0,0,5,,,
0,track_name,,,,,0,1,11,,,,,,,
0,control_change,,,,,0,0,11,,0,0,11,,,
0,program_change,,,,,0,0,11,,,,11,42,,
0,time_signature,3,4,96,8,0,1,11,,,,,,,
0,set_tempo,,,,,0,1,11,461538,,,,,,
0,set_tempo,,,,,0,1,3,461538,,,,,,
0,time_signature,3,4,96,8,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,,,2,68,,
0,control_change,,,,,0,0,3,,0,0,2,,,
0,program_change,,,,,0,0,10,,,,10,41,,
0,track_name,,,,,0,1,3,,,,,,,
0,control_change,,,,,0,0,12,,0,0,12,,,
0,program_change,,,,,0,0,12,,,,12,43,,
0,time_signature,3,4,96,8,0,1,12,,,,,,,
0,set_tempo,,,,,0,1,12,461538,,,,,,
0,track_name,,,,,0,1,13,,,,,,,
0,control_change,,,,,0,0,13,,0,0,13,,,
0,program_change,,,,,0,0,13,,,,13,6,,
0,time_signature,3,4,96,8,0,1,13,,,,,,,
0,set_tempo,,,,,0,1,13,461538,,,,,,
0,set_tempo,,,,,0,1,2,461538,,,,,,
0,time_signature,3,4,96,8,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,,,1,60,,
0,track_name,,,,,0,1,12,,,,,,,
0,control_change,,,,,0,0,10,,0,0,10,,,
0,track_name,,,,,0,1,10,,,,,,,
0,set_tempo,,,,,0,1,9,461538,,,,,,
0,program_change,,,,,0,0,6,,,,5,70,,
0,time_signature,3,4,96,8,0,1,6,,,,,,,
0,set_tempo,,,,,0,1,6,461538,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,control_change,,,,,0,0,7,,0,0,6,,,
0,program_change,,,,,0,0,7,,,,6,40,,
0,time_signature,3,4,96,8,0,1,7,,,,,,,
0,set_tempo,,,,,0,1,7,461538,,,,,,
0,set_tempo,,,,,0,1,5,461538,,,,,,
0,time_signature,3,4,96,8,0,1,5,,,,,,,
0,program_change,,,,,0,0,5,,,,4,68,,
0,control_change,,,,,0,0,5,,0,0,4,,,
0,track_name,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,control_change,,,,,0,0,8,,0,0,7,,,
0,program_change,,,,,0,0,8,,,,7,40,,
0,time_signature,3,4,96,8,0,1,8,,,,,,,
0,set_tempo,,,,,0,1,8,461538,,,,,,
0,set_tempo,,,,,0,1,4,461538,,,,,,
0,time_signature,3,4,96,8,0,1,4,,,,,,,
0,program_change,,,,,0,0,4,,,,3,68,,
0,control_change,,,,,0,0,4,,0,0,3,,,
0,track_name,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,
0,control_change,,,,,0,0,9,,0,0,8,,,
0,program_change,,,,,0,0,9,,,,8,40,,
0,time_signature,3,4,96,8,0,1,9,,,,,,,
0,control_change,,,,,0,0,2,,0,0,1,,,
0,track_name,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,set_tempo,,,,,0,1,1,461538,,,,,,
0,set_tempo,,,,,0,1,0,461538,,,,,,
0,control_change,,,,,0,0,1,,0,0,0,,,
0,program_change,,,,,0,0,1,,,,0,60,,
0,time_signature,3,4,96,8,0,1,1,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
96,note_on,,,,,0,0,10,,,,10,,65,75
96,note_on,,,,,0,0,7,,,,6,,72,75
96,set_tempo,,,,,96,1,4,428571,,,,,,
96,note_on,,,,,0,0,4,,,,3,,69,62
96,set_tempo,,,,,96,1,2,428571,,,,,,
96,set_tempo,,,,,96,1,9,428571,,,,,,
96,note_on,,,,,0,0,6,,,,5,,57,49
96,note_on,,,,,0,0,9,,,,8,,69,75
96,note_on,,,,,0,0,11,,,,11,,57,98
96,set_tempo,,,,,96,1,11,428571,,,,,,
96,set_tempo,,,,,96,1,8,428571,,,,,,
96,set_tempo,,,,,96,1,0,428571,,,,,,
96,note_on,,,,,0,0,5,,,,4,,65,62
96,note_on,,,,,0,0,13,,,,13,,57,96
96,set_tempo,,,,,96,1,12,428571,,,,,,
96,set_tempo,,,,,96,1,5,428571,,,,,,
96,note_on,,,,,0,0,12,,,,12,,45,98
