tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,3,8,12,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,2,,,,,1,7,89,,
0,program_change,,,,,0,0,2,,,,0,1,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,2,,,,,1,10,64,,
0,program_change,,,,,0,0,3,,,,0,2,,,,
0,control_change,,,,,0,0,3,,,,,2,10,90,,
0,note_on,,,,,0,0,3,,,,,2,,,40,64
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,control_change,,,,,0,0,1,,,,,0,7,91,,
0,control_change,,,,,0,0,1,,,,,0,10,37,,
0,control_change,,,,,0,0,3,,,,,2,7,90,,
0,note_on,,,,,0,0,2,,,,,1,,,56,64
0,track_name,,,,,0,1,1,,,,,,,,,
0,key_signature,,,,,0,1,0,E,,,,,,,,
0,set_tempo,,,,,0,1,0,,1178782,,,,,,,
30,note_on,,,,,30,0,1,,,,,0,,,76,64
50,control_change,,,,,50,0,3,,,,,2,7,77,,
56,note_on,,,,,56,0,2,,,,,1,,,57,64
60,note_on,,,,,0,0,3,,,,,2,,,42,64
60,note_on,,,,,10,0,3,,,,,2,,,40,0
60,note_on,,,,,4,0,2,,,,,1,,,56,0
90,control_change,,,,,30,0,3,,,,,2,7,78,,
90,note_on,,,,,0,0,1,,,,,0,,,75,64
90,note_on,,,,,60,0,1,,,,,0,,,76,0
116,note_on,,,,,0,0,2,,,,,1,,,59,64
116,note_on,,,,,56,0,2,,,,,1,,,57,0
120,note_on,,,,,30,0,3,,,,,2,,,42,0
120,set_tempo,,,,,120,1,0,,1190476,,,,,,,
120,note_on,,,,,0,0,3,,,,,2,,,44,64
140,control_change,,,,,20,0,3,,,,,2,7,79,,
150,note_on,,,,,60,0,1,,,,,0,,,75,0
150,note_on,,,,,0,0,1,,,,,0,,,74,64
176,note_on,,,,,60,0,2,,,,,1,,,59,0
180,note_on,,,,,0,0,3,,,,,2,,,45,64
180,note_on,,,,,40,0,3,,,,,2,,,44,0
180,control_change,,,,,0,0,3,,,,,2,7,80,,
180,note_on,,,,,4,0,2,,,,,1,,,61,64
210,note_on,,,,,0,0,1,,,,,0,,,73,64
210,note_on,,,,,60,0,1,,,,,0,,,74,0
220,control_change,,,,,40,0,3,,,,,2,7,81,,
230,set_tempo,,,,,110,1,0,,1202405,,,,,,,
240,note_on,,,,,0,0,3,,,,,2,,,47,64
240,note_on,,,,,20,0,3,,,,,2,,,45,0
240,note_on,,,,,60,0,2,,,,,1,,,61,0
246,note_on,,,,,6,0,2,,,,,1,,,63,64
270,note_on,,,,,0,0,1,,,,,0,,,71,64
270,note_on,,,,,60,0,1,,,,,0,,,73,0
270,control_change,,,,,30,0,3,,,,,2,7,82,,
298,note_on,,,,,52,0,2,,,,,1,,,64,64
300,note_on,,,,,0,0,3,,,,,2,,,49,64
300,note_on,,,,,30,0,3,,,,,2,,,47,0
306,note_on,,,,,8,0,2,,,,,1,,,63,0
310,control_change,,,,,10,0,3,,,,,2,7,83,,
