tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,2,51,64
0,program_change,0,0,3,,,,,,,0,2,,
0,track_name,0,1,3,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,
0,track_name,0,1,2,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,
0,track_name,0,1,1,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,750000,,,,
0,key_signature,0,1,0,,,,,C,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,
60,note_on,60,0,1,,,,,,,,0,67,64
120,note_on,0,0,1,,,,,,,,0,68,64
120,note_on,60,0,1,,,,,,,,0,67,0
180,note_on,0,0,1,,,,,,,,0,70,64
180,note_on,60,0,1,,,,,,,,0,68,0
240,note_on,60,0,1,,,,,,,,0,70,0
240,note_on,0,0,1,,,,,,,,0,68,64
300,note_on,60,0,1,,,,,,,,0,68,0
300,note_on,0,0,1,,,,,,,,0,67,64
360,note_on,60,0,1,,,,,,,,0,67,0
360,note_on,0,0,1,,,,,,,,0,65,64
420,note_on,0,0,1,,,,,,,,0,63,64
420,note_on,60,0,1,,,,,,,,0,65,0
480,note_on,60,0,1,,,,,,,,0,73,64
540,note_on,540,0,2,,,,,,,,1,55,64
600,note_on,0,0,2,,,,,,,,1,56,64
600,note_on,60,0,2,,,,,,,,1,55,0
660,note_on,0,0,2,,,,,,,,1,58,64
660,note_on,60,0,2,,,,,,,,1,56,0
720,note_on,0,0,2,,,,,,,,1,56,64
720,note_on,60,0,2,,,,,,,,1,58,0
780,note_on,0,0,2,,,,,,,,1,55,64
780,note_on,60,0,2,,,,,,,,1,56,0
840,note_on,0,0,2,,,,,,,,1,53,64
840,note_on,60,0,2,,,,,,,,1,55,0
900,note_on,60,0,2,,,,,,,,1,53,0
900,note_on,0,0,2,,,,,,,,1,51,64
960,note_on,60,0,2,,,,,,,,1,51,0
960,note_on,0,0,2,,,,,,,,1,56,64
1020,note_on,540,0,1,,,,,,,,0,73,0
1020,note_on,0,0,1,,,,,,,,0,72,64
