tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,1,,,,0,121,127,,
0,control_change,,,,,0,0,1,,,,0,91,80,,
0,control_change,,,,,0,0,1,,,,0,1,15,,
0,control_change,,,,,0,0,1,,,,0,10,30,,
0,control_change,,,,,0,0,1,,,,0,11,90,,
0,program_change,,,,,0,0,2,,,71,1,,,,
0,control_change,,,,,0,0,4,,,,3,11,90,,
0,control_change,,,,,0,0,4,,,,3,10,60,,
0,control_change,,,,,0,0,4,,,,3,1,15,,
0,control_change,,,,,0,0,4,,,,3,91,80,,
0,control_change,,,,,0,0,4,,,,3,121,127,,
0,program_change,,,,,0,0,4,,,74,3,,,,
0,track_name,,,,,0,1,4,,,,,,,,
0,control_change,,,,,0,0,3,,,,2,11,75,,
0,control_change,,,,,0,0,3,,,,2,10,80,,
0,control_change,,,,,0,0,3,,,,2,1,15,,
0,control_change,,,,,0,0,3,,,,2,91,80,,
0,control_change,,,,,0,0,3,,,,2,121,127,,
0,program_change,,,,,0,0,3,,,42,2,,,,
0,track_name,,,,,0,1,3,,,,,,,,
0,control_change,,,,,0,0,2,,,,1,11,110,,
0,control_change,,,,,0,0,2,,,,1,10,50,,
0,control_change,,,,,0,0,2,,,,1,1,15,,
0,control_change,,,,,0,0,2,,,,1,91,80,,
0,control_change,,,,,0,0,2,,,,1,121,127,,
0,program_change,,,,,0,0,1,,,73,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,
0,track_name,,,,,0,1,0,,,,,,,,
0,set_tempo,,,,,0,1,0,,1333333,,,,,,
0,key_signature,,,,,0,1,0,D,,,,,,,
2048,note_on,,,,,2048,0,1,,,,0,,,71,41
2048,set_tempo,,,,,2048,1,0,,1428571,,,,,,
2048,note_on,,,,,2048,0,4,,,,3,,,62,41
2048,note_on,,,,,0,0,4,,,,3,,,71,41
2048,note_on,,,,,0,0,4,,,,3,,,59,41
2048,note_on,,,,,2048,0,3,,,,2,,,59,41
2304,note_on,,,,,256,0,1,,,,0,,,71,0
2304,note_on,,,,,0,0,1,,,,0,,,78,41
2560,note_on,,,,,256,0,1,,,,0,,,78,0
2560,note_on,,,,,0,0,1,,,,0,,,83,41
2560,note_on,,,,,512,0,4,,,,3,,,62,0
2560,note_on,,,,,0,0,4,,,,3,,,71,0
2560,note_on,,,,,0,0,4,,,,3,,,66,41
2816,note_on,,,,,256,0,1,,,,0,,,83,0
2816,note_on,,,,,0,0,1,,,,0,,,86,41
2995,note_on,,,,,179,0,1,,,,0,,,86,0
3072,note_on,,,,,512,0,4,,,,3,,,66,0
3072,note_on,,,,,77,0,1,,,,0,,,85,40
3072,note_on,,,,,0,0,4,,,,3,,,64,40
3072,note_on,,,,,0,0,4,,,,3,,,67,40
3430,note_on,,,,,358,0,4,,,,3,,,59,0
3430,note_on,,,,,1382,0,3,,,,2,,,59,0
3533,note_on,,,,,461,0,1,,,,0,,,85,0
3584,note_on,,,,,154,0,3,,,,2,,,58,42
3584,note_on,,,,,51,0,1,,,,0,,,76,42
3584,note_on,,,,,0,0,4,,,,3,,,67,0
3584,note_on,,,,,154,0,4,,,,3,,,64,0
3584,note_on,,,,,0,0,4,,,,3,,,58,42
3584,note_on,,,,,0,0,4,,,,3,,,66,42
3584,note_on,,,,,0,0,4,,,,3,,,61,42
3840,note_on,,,,,0,0,4,,,,3,,,66,0
3840,note_on,,,,,0,0,4,,,,3,,,58,0
3840,note_on,,,,,0,0,4,,,,3,,,56,43
3840,note_on,,,,,0,0,3,,,,2,,,56,43
3840,note_on,,,,,256,0,3,,,,2,,,58,0
3840,note_on,,,,,256,0,4,,,,3,,,61,0
3840,note_on,,,,,0,0,4,,,,3,,,59,43
4096,note_on,,,,,0,0,3,,,,2,,,58,44
4096,note_on,,,,,256,0,3,,,,2,,,56,0
4096,note_on,,,,,0,0,4,,,,3,,,58,44
4096,note_on,,,,,256,0,4,,,,3,,,59,0
4096,note_on,,,,,0,0,4,,,,3,,,61,44
4096,note_on,,,,,0,0,4,,,,3,,,66,44
4096,note_on,,,,,0,0,4,,,,3,,,56,0
4608,note_on,,,,,1024,0,1,,,,0,,,76,0
4608,note_on,,,,,0,0,1,,,,0,,,74,45
5018,note_on,,,,,922,0,4,,,,3,,,58,0
5018,note_on,,,,,922,0,3,,,,2,,,58,0
5120,note_on,,,,,512,0,1,,,,0,,,74,0
5120,note_on,,,,,0,0,1,,,,0,,,73,47
5120,note_on,,,,,0,0,4,,,,3,,,66,0
5120,note_on,,,,,0,0,4,,,,3,,,67,47
5120,note_on,,,,,0,0,4,,,,3,,,64,47
5120,note_on,,,,,102,0,4,,,,3,,,61,0
5632,note_on,,,,,0,0,4,,,,3,,,58,50
5632,note_on,,,,,0,0,4,,,,3,,,66,50
5632,note_on,,,,,0,0,4,,,,3,,,54,50
5632,note_on,,,,,0,0,4,,,,3,,,67,0
5632,note_on,,,,,614,0,3,,,,2,,,54,50
5632,note_on,,,,,512,0,4,,,,3,,,64,0
5792,set_tempo,,,,,3744,1,0,,1428571,,,,,,
5880,set_tempo,,,,,88,1,0,,1463414,,,,,,
5888,note_on,,,,,768,0,1,,,,0,,,73,0
5888,note_on,,,,,0,0,1,,,,0,,,74,49
5968,set_tempo,,,,,88,1,0,,1538461,,,,,,
5990,note_on,,,,,358,0,4,,,,3,,,54,0
5990,note_on,,,,,358,0,3,,,,2,,,54,0
6016,note_on,,,,,0,0,1,,,,0,,,76,49
6016,note_on,,,,,128,0,1,,,,0,,,74,0
6056,set_tempo,,,,,88,1,0,,1578947,,,,,,
6144,note_on,,,,,0,0,1,,,,0,,,74,48
6144,note_on,,,,,154,0,3,,,,2,,,59,48
6144,note_on,,,,,0,0,4,,,,3,,,66,0
6144,note_on,,,,,0,0,4,,,,3,,,59,48
6144,note_on,,,,,0,0,4,,,,3,,,59,48
6144,note_on,,,,,154,0,4,,,,3,,,58,0
6144,note_on,,,,,0,0,4,,,,3,,,66,48
6144,note_on,,,,,128,0,1,,,,0,,,76,0
6176,set_tempo,,,,,120,1,0,,1395348,,,,,,
6400,note_on,,,,,256,0,1,,,,0,,,74,0
6400,note_on,,,,,0,0,1,,,,0,,,71,47
6502,note_on,,,,,358,0,4,,,,3,,,59,0
6502,note_on,,,,,358,0,3,,,,2,,,59,0
6656,note_on,,,,,0,0,1,,,,0,,,66,46
6656,note_on,,,,,0,0,4,,,,3,,,62,46
6656,note_on,,,,,0,0,4,,,,3,,,62,46
6656,note_on,,,,,0,0,4,,,,3,,,66,0
6656,note_on,,,,,154,0,4,,,,3,,,59,0
6656,note_on,,,,,154,0,3,,,,2,,,62,46
6656,note_on,,,,,256,0,1,,,,0,,,71,0
6912,note_on,,,,,0,0,1,,,,0,,,71,45
6912,note_on,,,,,256,0,1,,,,0,,,66,0
7014,note_on,,,,,358,0,4,,,,3,,,62,0
7014,note_on,,,,,358,0,3,,,,2,,,62,0
7168,note_on,,,,,154,0,4,,,,3,,,62,0
7168,note_on,,,,,256,0,1,,,,0,,,71,0
7168,note_on,,,,,0,0,4,,,,3,,,62,44
7168,note_on,,,,,0,0,4,,,,3,,,59,44
7168,note_on,,,,,0,0,4,,,,3,,,54,44
7168,note_on,,,,,0,0,1,,,,0,,,74,44
7168,set_tempo,,,,,992,1,0,,1428571,,,,,,
7168,note_on,,,,,154,0,3,,,,2,,,54,44
7339,note_on,,,,,171,0,1,,,,0,,,74,0
7339,note_on,,,,,0,0,1,,,,0,,,73,43
7344,set_tempo,,,,,176,1,0,,1463414,,,,,,
7432,set_tempo,,,,,88,1,0,,1500000,,,,,,
7509,note_on,,,,,170,0,1,,,,0,,,73,0
7509,note_on,,,,,0,0,1,,,,0,,,71,43
7526,note_on,,,,,358,0,3,,,,2,,,54,0
7526,note_on,,,,,358,0,4,,,,3,,,54,0
7608,set_tempo,,,,,176,1,0,,1538461,,,,,,
7680,note_on,,,,,0,0,4,,,,3,,,61,42
7680,note_on,,,,,0,0,4,,,,3,,,62,0
7680,note_on,,,,,154,0,4,,,,3,,,59,0
7680,note_on,,,,,154,0,3,,,,2,,,58,42
7680,note_on,,,,,0,0,1,,,,0,,,76,42
7680,note_on,,,,,171,0,1,,,,0,,,71,0
7680,note_on,,,,,0,0,4,,,,3,,,58,42
7696,set_tempo,,,,,88,1,0,,1578947,,,,,,
7851,note_on,,,,,0,0,1,,,,0,,,74,41
7851,note_on,,,,,171,0,1,,,,0,,,76,0
7872,set_tempo,,,,,176,1,0,,1621621,,,,,,
7960,set_tempo,,,,,88,1,0,,1666666,,,,,,
8021,note_on,,,,,0,0,1,,,,0,,,73,40
8021,note_on,,,,,170,0,1,,,,0,,,74,0
8038,note_on,,,,,358,0,4,,,,3,,,58,0
