tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,
0,program_change,,,,,0,0,3,,,0,2,,
0,program_change,,,,,0,0,2,,,0,1,,
0,track_name,,,,,0,1,4,,,,,,
0,program_change,,,,,0,0,4,,,0,3,,
0,track_name,,,,,0,1,2,,,,,,
0,program_change,,,,,0,0,1,,,0,0,,
0,set_tempo,,,,,0,1,0,,625000,,,,
0,key_signature,,,,,0,1,0,Am,,,,,
0,track_name,,,,,0,1,1,,,,,,
3072,note_on,,,,,3072,0,1,,,,0,64,96
3072,note_on,,,,,3072,0,3,,,,2,57,96
3072,note_on,,,,,3072,0,2,,,,1,60,96
3072,note_on,,,,,3072,0,4,,,,3,45,96
4096,note_on,,,,,0,0,4,,,,3,52,96
4096,note_off,,,,,1024,0,4,,,,3,45,0
4096,note_on,,,,,0,0,2,,,,1,64,96
4096,note_off,,,,,1024,0,2,,,,1,60,0
4096,note_off,,,,,1024,0,1,,,,0,64,0
4096,note_off,,,,,1024,0,3,,,,2,57,0
4096,note_on,,,,,0,0,3,,,,2,59,96
4096,note_on,,,,,0,0,1,,,,0,67,96
4608,note_off,,,,,512,0,2,,,,1,64,0
4608,note_on,,,,,0,0,2,,,,1,62,96
5120,note_off,,,,,1024,0,3,,,,2,59,0
5120,note_off,,,,,1024,0,4,,,,3,52,0
5120,note_on,,,,,0,0,4,,,,3,53,96
5120,note_on,,,,,0,0,3,,,,2,57,96
5120,note_on,,,,,0,0,2,,,,1,60,96
5120,note_off,,,,,512,0,2,,,,1,62,0
5120,note_off,,,,,1024,0,1,,,,0,67,0
5120,note_on,,,,,0,0,1,,,,0,69,96
5632,note_on,,,,,0,0,2,,,,1,62,96
5632,note_on,,,,,0,0,3,,,,2,59,96
5632,note_off,,,,,512,0,3,,,,2,57,0
5632,note_off,,,,,512,0,2,,,,1,60,0
6144,note_off,,,,,1024,0,4,,,,3,53,0
6144,note_on,,,,,0,0,4,,,,3,48,96
6144,note_off,,,,,512,0,2,,,,1,62,0
6144,note_on,,,,,0,0,2,,,,1,64,96
6144,note_on,,,,,0,0,3,,,,2,60,96
6144,note_off,,,,,512,0,3,,,,2,59,0
6144,note_off,,,,,1024,0,1,,,,0,69,0
6144,note_on,,,,,0,0,1,,,,0,67,96
6656,note_on,,,,,0,0,4,,,,3,50,96
6656,note_off,,,,,512,0,4,,,,3,48,0
6656,note_on,,,,,0,0,2,,,,1,65,96
6656,note_off,,,,,512,0,2,,,,1,64,0
7168,note_off,,,,,1024,0,1,,,,0,67,0
7168,note_on,,,,,0,0,1,,,,0,72,96
7168,note_on,,,,,0,0,3,,,,2,60,96
7168,note_off,,,,,1024,0,3,,,,2,60,0
7168,note_on,,,,,0,0,4,,,,3,52,96
7168,note_off,,,,,512,0,4,,,,3,50,0
7168,note_off,,,,,512,0,2,,,,1,65,0
7168,note_on,,,,,0,0,2,,,,1,67,96
7680,note_off,,,,,512,0,4,,,,3,52,0
7680,note_on,,,,,0,0,3,,,,2,62,96
7680,note_on,,,,,0,0,4,,,,3,53,96
7680,note_off,,,,,512,0,3,,,,2,60,0
8192,note_off,,,,,1024,0,2,,,,1,67,0
8192,note_on,,,,,0,0,2,,,,1,67,96
8192,note_off,,,,,512,0,3,,,,2,62,0
8192,note_on,,,,,0,0,4,,,,3,55,96
8192,note_off,,,,,512,0,4,,,,3,53,0
8192,note_off,,,,,1024,0,1,,,,0,72,0
8192,note_on,,,,,0,0,1,,,,0,72,96
8192,note_on,,,,,0,0,3,,,,2,64,96
8704,note_on,,,,,0,0,3,,,,2,62,96
8704,note_off,,,,,512,0,3,,,,2,64,0
8960,note_off,,,,,256,0,3,,,,2,62,0
8960,note_on,,,,,0,0,3,,,,2,60,96
9216,note_off,,,,,1024,0,2,,,,1,67,0
9216,note_on,,,,,0,0,1,,,,0,71,96
9216,note_on,,,,,0,0,3,,,,2,62,96
9216,note_on,,,,,0,0,2,,,,1,67,96
9216,note_on,,,,,0,0,4,,,,3,43,96
9216,note_off,,,,,1024,0,4,,,,3,55,0
9216,note_off,,,,,256,0,3,,,,2,60,0
